COUNTRY_NAME;RAW_OBS_VALUE;TIME_PERIOD;ATTR_ENDPOINT
Afghanistan;95.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Albania;155;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Algeria;86;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Andorra;184.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Angola;125;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Antigua and Barbuda;107.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Argentina;188.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Armenia;133;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Australia;170;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Austria;151.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Azerbaijan;139.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Bahamas;111;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Bahrain;88.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Bangladesh;154.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Barbados;133;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Belarus;103.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Belgium;213;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Belize;122;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Benin;138;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Bhutan;141.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Bolivia;177;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Bosnia and Herzegovina;154.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Botswana;105;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Brazil;186.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Brunei Darussalam;66;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Bulgaria;173.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Burkina Faso;155;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Burundi;136.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Cambodia;89.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Cameroon;91;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Canada;186;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Cape Verde;153;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Central African Republic;84.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Chad;138.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Chile;134;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
China;91.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Colombia;176;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Comoros;93.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Congo;82;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Costa Rica;173;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Cote d'Ivoire;61.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Croatia;177;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Cuba;46.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Cyprus;162.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Czech Republic;160;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Congo, Democratic Republic of the;113;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Denmark;164;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Djibouti;142.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Dominica;98.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Dominican Republic;185.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Ecuador;166;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Egypt;120;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
El Salvador;183;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Equatorial Guinea;30;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Eritrea;34.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Estonia;176;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Ethiopia;94;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Fiji;119;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Finland;199.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
France;180;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Gabon;130;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Gambia;112.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Georgia;155;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Germany;153.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Ghana;122;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Greece;173.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Grenada;137;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Guatemala;170;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Guinea;117.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Guinea-Bissau;72.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Guyana;132;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Haiti;103.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Honduras;175;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Hungary;169;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Iceland;194;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
India;167;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Indonesia;115;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Iran, Islamic Republic of;73.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Iraq;82;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Ireland;162.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Israel;174;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Italy;163.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Jamaica;154.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Japan;145;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Jordan;67;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Kazakhstan;150.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Kenya;196.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Kiribati;94;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Korea, Democratic People's Republic of;68.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Korea, Republic of;143;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Kosovo;141.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Kuwait;54.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
Kyrgyzstan;134.5;2016;https://archive.crin.org/sites/default/files/access_to_justice_data.xls
