;COUNTRY_ISO_3;RAW_OBS_VALUE;TIME_PERIOD;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
0;AFG;1;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
1;ALB;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
2;AND;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
3;DZA;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
4;AGO;2;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
5;ATG;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
6;ARG;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
7;ARM;4;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
8;AUS;0;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
9;AUT;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
