SOURCE_ID;SOURCE_ID;STARTPERIOD;ENDPERIOD;TIMEPERIOD;FILE_PATH;WPA_OBS_RAW_COL;VALUE_ID;WPA_YEAR_COL;TIME_PERIOD;startPeriod;endPeriod;SHEET_NAME;RAW_OBS_VALUE_COLUMN_NAME;EXTRACTOR_CLASS;RAW_OBS_VALUE_TYPE;INVERT_NORMALIZATION;NORMALISE_TO_100000;SOURCE_TITLE;ENDPOINT_URL;SOMETHING;STUFF;ADDRESS;INDICATOR_ID;VALUE_ID_default;SOURCE_TYPE;SOURCE_BODY;SOURCE_TITLE_default;ADDRESS_default;EXTRACTOR_CLASS_default;FORMER_SOURCE_ID;ENDPOINT_URL_default;un_treaty_data_col;WPA_OBS_RAW_COL_default;WPA_YEAR_COL_default;RAW_OBS_VALUE_COLUMN_NAME_default;COUNTRY_NAME_COLUMN_NAME;RAW_OBS_VALUE_TYPE_default;ATTR_RATIFICATION_DATE_COLUMN_NAME;ATTR_UNIT_MEASURE;INVERT_NORMALIZATION_default;DIMENSION_VALUES_NORMALIZATION;UNIT_MEASURE;COMMENT;COMMENTS;FILE_PATH_default;NRGI_SECTOR;LINKT_TO;NORMALISE_TO_100000_default;PROJECT;INDEX;ISSUE;CATEGORY;INDICATOR_CODE_2018;INDICATOR_NAME;INDICATOR_DESCRIPTION;INDICATOR_EXPLANATION;STATUS;COMMENTS_default;EFFECTIVE_OF;CURRENT;CALCULATION_TYPE;LEGACY_DATA_FROM;REPLACES_IND_ID;DIMENSION_VALUES_NORMALIZATION_default;UNIT_MEASURE_default;CORRESPONDING_SOURCE;CORRESPONDING_VALUE_TYPE;SORTING_COLUMN;INDICATOR_ACR;COMMENT_default;INDEX_CODE;ISSUE_CODE;CATEGORY_CODE;INDICATOR_CODE;TYPE;RANGE;VALUE_ENCODING;VALUE_LABELS;NA_ENCODING;UNITS;CRBA_RELEASE_YEAR
0;X-1;xxx;xxx;xxx;;;V-1;;;;;;;etl.source_adapter.ilo.ILO_Extractor;;;;Ratification by Convention.  Ratifications of C138 - Minimum Age Convention, 1973 (No. 138).;;;;https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:11300:0::NO:11300:P11300_INSTRUMENT_ID:312283:NO;I-1;V-1;Website (static html);ILO NORMLEX;Ratification by Convention.  Ratifications of C138 - Minimum Age Convention, 1973 (No. 138).;https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:11300:0::NO:11300:P11300_INSTRUMENT_ID:312283:NO;etl.source_adapter.ilo.ILO_Extractor;S-1;;;;;;;;;;;;;;;;;;;CRBA;Workplace;Child labour;Legal framework international;1.1.1.1;Minimum Age Convention;Ratification of ILO convention No. 138. Minimum Age Convention;This indicator assesses whether a country has made an international commitment to establish a minimum age for work that is no less than 15 years of age for regular work and no less than 18 for hazardous work. Exceptions are permitted for countries with an economy, or educational facilities, that are insufficiently developed.;Created;;2018.0;1.0;research;2018.0;;;;;;1.0;MIAGCO;;WP;CL;LF;WP_CL_LF_MIAGCO;Categorical;[0,1,2];"2=Yes [Ratified/signed]; 1=No [Not ratified/signed]; 0=No data/not applicable";"2=Yes [Ratified/signed]; 1=No [Not ratified/signed]; 0=No data/not applicable";;;2023
1;X-2;xxx;xxx;xxx;;;V-1;;;;;;;etl.source_adapter.ilo.ILO_Extractor;;;;Ratification by Convention. Ratifications of C182 - Worst Forms of Child Labour Convention, 1999 (No. 182). ;;;;https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312327;I-2;V-1;Website (static html);ILO NORMLEX;Ratification by Convention. Ratifications of C182 - Worst Forms of Child Labour Convention, 1999 (No. 182). ;https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312327;etl.source_adapter.ilo.ILO_Extractor;S-2;;;;;;;;;;;;;;;;;;;CRBA;Workplace;Child labour;Legal framework international;1.1.3.1;Worst Forms of Child Labour Convention;Ratification of ILO convention No. 182. Worst Forms of Child Labour Convention;This indicator assesses whether a country has made an international commitment to prohibit and eliminate the worst forms of child labor which include all forms of slavery or practices similar to slavery such as the sale and trafficking of children, debt bondage, forced labor, recruitment of children into armed conflict, child prostitution and pornography, drugs, and any hazardous work which is likely to harm the health, safety or morals of children.;Created;;2018.0;1.0;research;2018.0;;;;;;2.0;WOFCLC;;WP;CL;LF;WP_CL_LF_WOFCLC;Categorical;[0,1,2];"2=Yes [Ratified/signed]; 1=No [Not ratified/signed]; 0=No data/not applicable";"2=Yes [Ratified/signed]; 1=No [Not ratified/signed]; 0=No data/not applicable";;;2023
2;X-3;xxx;xxx;xxx;;;V-1;;;;;;;etl.source_adapter.un.UnTreaties;;;;11. c Optional Protocol to the Convention on the Rights of the Child on the sale of children, child prostitution and child pornography;nan;;;https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-11-c&chapter=4&clang=_en;I-3;V-1;Website (static html);UN Treaties;11. c Optional Protocol to the Convention on the Rights of the Child on the sale of children, child prostitution and child pornography;https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=IV-11-c&chapter=4&clang=_en;etl.source_adapter.un.UnTreaties;S-3;nan;;;;;;;;;;;;;;;;;;CRBA;Workplace;Child labour;Legal framework international;1.1.2.1;Optional Protocol to CRC on the Sale of Children, Child Prostitution and Child Pornography;Ratification of Optional Protocol to the Convention on the Rights of the Child on the Sale of Children, Child Prostitution and Child Pornography;This indicator assesses whether a country has made an international commitment to criminalize the sexual exploitation and abuse of children, as well as the sale of children for non-sexual purposes – such as other forms of forced labour, illegal adoption and organ donation. The Protocol also requires governments to protect the rights and interests of child victims.;Created;;2018.0;1.0;research;2018.0;;;;;;3.0;OPCSCC;;WP;CL;LF;WP_CL_LF_OPCSCC;Categorical;[0,1,2];"2=Yes [Ratified/signed]; 1=No [Not ratified/signed]; 0=No data/not applicable";"2=Yes [Ratified/signed]; 1=No [Not ratified/signed]; 0=No data/not applicable";;;2023
3;X-4;xxx;xxx;xxx;;;V-1;;;;;;;etl.source_adapter.un.UnTreaties;;;;UN Protocol to Prevent, Suppress and Punish Trafficking in Persons, Especially Women and Children;nan;;;https://treaties.un.org/pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XVIII-12-a&chapter=18&clang=_en;I-4;V-1;Website (static html);UN Treaties;UN Protocol to Prevent, Suppress and Punish Trafficking in Persons, Especially Women and Children;https://treaties.un.org/pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XVIII-12-a&chapter=18&clang=_en;etl.source_adapter.un.UnTreaties;S-4;nan;;;;;;;;;;;;;;;;;;CRBA;Workplace;Child labour;Legal framework international;1.1.2.4;UN Protocol to Prevent, Suppress and Punish Trafficking;Ratification of UN Protocol to Prevent, Suppress and Punish Trafficking in Persons, Especially Women and Children;This indicator assesses whether a country has made an international commitment to prevent and combat trafficking in persons, paying particular attention to women and children, as well as to protect and assist the victims of such trafficking, with full respect for their human rights.;Created;;2018.0;1.0;research;2018.0;;;;;;4.0;UPPSPT;;WP;CL;LF;WP_CL_LF_UPPSPT;Categorical;[0,1,2];"2=Yes [Ratified/signed]; 1=No [Not ratified/signed]; 0=No data/not applicable";"2=Yes [Ratified/signed]; 1=No [Not ratified/signed]; 0=No data/not applicable";;;2023
4;X-5;xxx;xxx;xxx;;;V-1;;;;;;;etl.source_adapter.ilo.ILO_Extractor;;;;Ratification by Convention. Ratifications of C029 - Forced Labour Convention, 1930 (No. 29). ;nan;;;https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:11300:0::NO:11300:P11300_INSTRUMENT_ID:312174:NO;I-5;V-1;Website (static html);ILO NORMLEX;Ratification by Convention. Ratifications of C029 - Forced Labour Convention, 1930 (No. 29). ;https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:11300:0::NO:11300:P11300_INSTRUMENT_ID:312174:NO;etl.source_adapter.ilo.ILO_Extractor;S-5;nan;;;;;;;;;;;;;;;;;;CRBA;Workplace;Child labour;Legal framework international;1.1.2.5;Forced Labour Convention;Ratification of ILO Convention No. 29. Forced Labour Convention;This indicator assesses whether a country has made an international commitment to suppress the use of forced or compulsory labour, defined as all work or service which is exacted from any person under the menace of any penalty and for which the said person has not offered himself voluntarily.;Created;;2018.0;1.0;research;2018.0;;;;;;5.0;FOLACO;;WP;CL;LF;WP_CL_LF_FOLACO;Categorical;[0,1,2];"2=Yes [Ratified/signed]; 1=No [Not ratified/signed]; 0=No data/not applicable";"2=Yes [Ratified/signed]; 1=No [Not ratified/signed]; 0=No data/not applicable";;;2023
5;X-6;xxx;xxx;xxx;;;V-1;;;;;;;etl.source_adapter.ilo.ILO_Extractor;;;;Ratification by Convention. Ratifications of C105 - Abolition of Forced Labour Convention, 1957 (No. 105). ;nan;;;https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:11300:0::NO:11300:P11300_INSTRUMENT_ID:312250:NO;I-6;V-1;Website (static html);ILO NORMLEX;Ratification by Convention. Ratifications of C105 - Abolition of Forced Labour Convention, 1957 (No. 105). ;https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:11300:0::NO:11300:P11300_INSTRUMENT_ID:312250:NO;etl.source_adapter.ilo.ILO_Extractor;S-6;nan;;;;;;;;;;;;;;;;;;CRBA;Workplace;Child labour;Legal framework international;1.1.2.6;Abolition of Forced Labour Convention;Ratification of ILO Convention No. 105. Abolition of Forced Labour Convention;This indicator assesses whether a country has made an international commitment to suppress the use of forced or compulsory labour in all its forms, with a particular focus on forced labor imposed by state authorities e.g. as punishment for the expression of political views, for the purposes of economic development, for participation in strikes, as a means of racial or other discrimination or as labour discipline.;Created;;2018.0;1.0;research;2018.0;;;;;;6.0;ABFOLC;;WP;CL;LF;WP_CL_LF_ABFOLC;Categorical;[0,1,2];"2=Yes [Ratified/signed]; 1=No [Not ratified/signed]; 0=No data/not applicable";"2=Yes [Ratified/signed]; 1=No [Not ratified/signed]; 0=No data/not applicable";;;2023
6;X-7;xxx;xxx;xxx;;;V-1;;;;;;;etl.source_adapter.ilo.ILO_Extractor;;;;Ratification by Convention. Ratifications of P029 - Protocol of 2014 to the Forced Labour Convention, 1930. ;nan;;;https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:11300:0::NO:11300:P11300_INSTRUMENT_ID:3174672:NO;I-7;V-1;Website (static html);ILO NORMLEX;Ratification by Convention. Ratifications of P029 - Protocol of 2014 to the Forced Labour Convention, 1930. ;https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:11300:0::NO:11300:P11300_INSTRUMENT_ID:3174672:NO;etl.source_adapter.ilo.ILO_Extractor;S-7;nan;;;;;;;;;;;;;;;;;;CRBA;Workplace;Child labour;Legal framework international;1.1.2.7;Protocol to the Forced Labour Convention;Ratification of Protocol P029 to the Forced Labour Convention;This indicator assesses whether a country has made an international commitment to take measures of prevention, protection and remedy in efforts to suppress forced labour after ratifying ILO Convention No. 29 on Forced Labor.;Created;;2018.0;1.0;research;2018.0;;;;;;7.0;PRFOLC;;WP;CL;LF;WP_CL_LF_PRFOLC;Categorical;[0,1,2];"2=Yes [Ratified/signed]; 1=No [Not ratified/signed]; 0=No data/not applicable";"2=Yes [Ratified/signed]; 1=No [Not ratified/signed]; 0=No data/not applicable";;;2023
7;X-15;xxx;xxx;xxx;;;V-5;;;;;;;etl.source_adapter.json.DefaultJsonExtractor;;inverted;;SDG Indicator 8.3.1. Informal Employment (% of total non-agricultural employment)  ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_ISV_IFEM&pageSize=999999999;;;https://unstats.un.org/sdgs/indicators/database/;I-17;V-5;API (SDG);UN SDG;SDG Indicator 8.3.1. Informal Employment (% of total non-agricultural employment)  ;https://unstats.un.org/sdgs/indicators/database/;etl.source_adapter.json.DefaultJsonExtractor;S-23;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_ISV_IFEM&pageSize=999999999;;;;;;;;;inverted;"DIM_SEX==""BOTH_SEXES""& DIM_SECTOR==""Non-agriculture""";PCNT;;;;;;;CRBA;Workplace;Decent working conditions;Enforcement;3.1.5;Informal employment;Informal employment (% of total non-agricultural employment);;Created;;2018.0;1.0;manual;2018.0;;"DIM_SEX==""BOTH_SEXES""& DIM_SECTOR==""Non-agriculture""";PCNT;;;17.0;INFEMP;;WP;DW;EN;WP_DW_EN_INFEMP;Numeric;[0-100];Continuous variable;Continuous variable;;;2023
8;X-16;xxx;xxx;xxx;;;V-5;;;;;;;etl.source_adapter.json.DefaultJsonExtractor;;inverted;;SDG Indicator 8.3.1. Informal Employment (% of total non-agricultural employment)  ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_ISV_IFEM&pageSize=999999999;;;https://unstats.un.org/sdgs/indicators/database/;I-199;V-5;API (SDG);UN SDG;SDG Indicator 8.3.1. Informal Employment (% of total non-agricultural employment)  ;https://unstats.un.org/sdgs/indicators/database/;etl.source_adapter.json.DefaultJsonExtractor;S-23;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_ISV_IFEM&pageSize=999999999;;;;;;;;;inverted;"DIM_SEX==""FEMALE""& DIM_SECTOR==""NO BREAKDOWN""";PCNT;;;;;;;CRBA;Workplace;Decent working conditions;Enforcement;3.1.5;Women in informal employment ;Informal employment of women (% of total employment);;Created;;2018.0;1.0;manual;2018.0;;"DIM_SEX==""FEMALE""& DIM_SECTOR==""NO BREAKDOWN""";PCNT;;;199.0;WOINEM;;WP;DW;EN;WP_DW_EN_WOINEM;Numeric;[0-100];Continuous variable;Continuous variable;;;2023
9;X-17;xxx;xxx;xxx;;;V-5;;;;;;;etl.source_adapter.json.DefaultJsonExtractor;;inverted;;SDG Indicator 8.7.1. Proportion of children aged 5-17 years engaged in child labour;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999;;;https://unstats.un.org/SDGAPI/swagger/#!/Indicator/V1SdgIndicatorByIndicatorCodeSeriesListGet;I-14;V-5;API (SDG);UN SDG;SDG Indicator 8.7.1. Proportion of children aged 5-17 years engaged in child labour;https://unstats.un.org/SDGAPI/swagger/#!/Indicator/V1SdgIndicatorByIndicatorCodeSeriesListGet;etl.source_adapter.json.DefaultJsonExtractor;S-24;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_CHLDEC&pageSize=999999999;;;;;;;;;inverted;"DIM_SEX==""BOTH_SEXES""";PCNT;;;;;;;CRBA;Workplace;Child labour;Outcome;3.1.1;Child labour rate (5-17) ;Proportion of children aged 5-17 years engaged in child labour;;Created;;2018.0;1.0;manual;2018.0;;"DIM_SEX==""BOTH_SEXES""";PCNT;;;14.0;CHLAR5;;WP;CL;OC;WP_CL_OC_CHLAR5;Numeric;[0-100];Continuous variable;Continuous variable;;;2023
