;COUNTRY_ISO_3;TIME_PERIOD;RAW_OBS_VALUE;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
0;AFG;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
1;ALB;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
2;AND;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
3;DZA;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
4;AGO;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
5;ATG;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
6;ARG;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
7;ARM;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
8;AUS;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
9;AUT;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
