;COUNTRY_ISO_3;COUNTRY_NAME;DIM_SEX;DIM_SEX;DIM_SEX;DIM_SEX;DIM_AGE_GROUP;DIM_AGE_GROUP;DIM_AGE_GROUP;DIM_AGE_GROUP;TIME_PERIOD;RAW_OBS_VALUE;ATTR_SOURCE_OF_SOURCE
0;AFG;Afghanistan;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;44.9;GSHS 2014
1;AFG;Afghanistan;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;42.3;GSHS 2014
2;AFG;Afghanistan;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;44.2;GSHS 2014
3;AIA;Anguilla;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;30.2;GSHS 2016
4;AIA;Anguilla;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;22.2;GSHS 2016
5;AIA;Anguilla;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;26.1;GSHS 2016
6;ALB;Albania;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;18.5;HBSC 2017/18
7;ALB;Albania;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;17.3;HBSC 2017/18
8;ALB;Albania;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;17.9;HBSC 2017/18
9;ARE;United Arab Emirates;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;21.8;GSHS 2016
10;ARE;United Arab Emirates;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;32.5;GSHS 2016
11;ARE;United Arab Emirates;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;27.1;GSHS 2016
12;ARG;Argentina;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2012;24.2;GSHS 2012
13;ARG;Argentina;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2012;24.8;GSHS 2012
14;ARG;Argentina;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2012;24.5;GSHS 2012
15;ARM;Armenia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;14.5;HBSC 2017/18
16;ARM;Armenia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;19.1;HBSC 2017/18
17;ARM;Armenia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;16.8;HBSC 2017/18
18;ATG;Antigua and Barbuda;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;26.7;GSHS 2009
19;ATG;Antigua and Barbuda;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;23.5;GSHS 2009
20;ATG;Antigua and Barbuda;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;24.9;GSHS 2009
21;AUS;Australia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;34.0;TIMSS 2015
22;AUT;Austria;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;21.1;HBSC 2017/18
23;AUT;Austria;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;20.4;HBSC 2017/18
24;AUT;Austria;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;20.8;HBSC 2017/18
25;AZE;Azerbaijan;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;26.5;HBSC 2017/18
26;AZE;Azerbaijan;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;25.0;HBSC 2017/18
27;AZE;Azerbaijan;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;25.7;HBSC 2017/18
28;BEL;Belgium;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;18.2;HBSC 2017/18
29;BEL;Belgium;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;16.1;HBSC 2017/18
30;BEL;Belgium;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;17.1;HBSC 2017/18
31;BEN;Benin;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;51.5;GSHS 2016
32;BEN;Benin;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;47.4;GSHS 2016
33;BEN;Benin;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;49.0;GSHS 2016
34;BGD;Bangladesh;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;17.3;GSHS 2014
35;BGD;Bangladesh;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;27.1;GSHS 2014
36;BGD;Bangladesh;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;23.6;GSHS 2014
37;BGR;Bulgaria;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;33.0;HBSC 2017/18
38;BGR;Bulgaria;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;35.1;HBSC 2017/18
39;BGR;Bulgaria;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;34.0;HBSC 2017/18
40;BHR;Bahrain;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;22.8;GSHS 2016
41;BHR;Bahrain;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;35.6;GSHS 2016
42;BHR;Bahrain;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;29.4;GSHS 2016
43;BHS;Bahamas;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;22.0;GSHS 2013
44;BHS;Bahamas;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;24.7;GSHS 2013
45;BHS;Bahamas;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;23.6;GSHS 2013
46;BIH;Bosnia and Herzegovina;_T;Total;_T;Total;Y15;15 years old;Y15;15 years old;2018;25.0;PISA 2018
47;BLZ;Belize;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;31.1;GSHS 2011
48;BLZ;Belize;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;30.3;GSHS 2011
49;BLZ;Belize;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;30.7;GSHS 2011
50;BOL;Bolivia (Plurinational State of);F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2012;28.2;GSHS 2012
51;BOL;Bolivia (Plurinational State of);M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2012;31.7;GSHS 2012
52;BOL;Bolivia (Plurinational State of);_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2012;30.2;GSHS 2012
53;BRA;Brazil;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;42.8;TERCE 2013
54;BRB;Barbados;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;11.0;GSHS 2011
55;BRB;Barbados;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;15.4;GSHS 2011
