;Unnamed: 11;Score;Unnamed: 20;Score.1;Unnamed: 29;Score.2;Unnamed: 38;Score.3;Unnamed: 47;Score.4
0;United Kingdom;83.9;Sweden;82.9;India;85.5;United Kingdom;86.2;United Kingdom;98.0
1;Sweden;82.3;Canada;78.0;Australia;82.6;South Korea;84.9;Sweden;93.3
2;Australia;76.1;Germany;78.0;Sweden;82.5;Sweden;74.8;United States;93.3
3;Canada;76.0;France;77.9;Canada;81.3;Australia;72.9;Canada;86.7
4;Germany;73.6;United Kingdom;77.5;El Salvador;79.4;Colombia;72.6;Brazil;81.3
5;United States;72.9;Australia;73.2;Italy;79.3;Germany;70.1;Australia;80.0
6;South Korea;72.6;Japan;71.9;United States;77.9;Peru;67.5;Japan;80.0
7;Italy;70.3;Italy;69.8;South Africa;77.2;Italy;67.4;Germany;73.3
8;France;65.5;UAE;69.8;Peru;75.4;United States;65.7;Uganda;72.7
9;Japan;63.9;South Korea;66.3;Colombia;74.1;Canada;64.9;Italy;68.3
10;Colombia;63.5;Serbia;64.4;Germany;73.0;Tanzania;61.1;South Korea;68.3
11;Peru;63.5;Malaysia;64.2;United Kingdom;73.0;Kenya;61.0;France;66.7
12;Brazil;62.9;United States;63.8;Cambodia;71.0;Cambodia;59.7;South Africa;63.3
13;Serbia;59.1;Argentina;63.1;Brazil;70.0;Philippines;58.2;Turkey;61.0
14;India;58.2;Brazil;62.4;Mexico;69.3;Mexico;55.8;Tanzania;58.3
15;South Africa;58.1;Saudi Arabia;62.4;Serbia;68.6;France;54.6;Sri Lanka;58.0
16;Uganda;57.3;Nepal;62.3;Kenya;68.5;Uganda;54.2;Malaysia;54.7
17;Philippines;56.7;Russia;62.2;Romania;68.1;UAE;53.6;Nigeria;54.7
18;Turkey;56.7;Rwanda;61.4;Malaysia;67.6;Turkey;53.0;Peru;54.3
19;Tanzania;56.5;Uzbekistan;61.2;Philippines;66.4;Serbia;52.6;Serbia;54.3
20;Thailand;55.4;India;60.8;South Korea;64.6;Rwanda;52.3;Kazakhstan;52.7
21;Malaysia;54.5;Romania;60.8;France;64.0;Japan;52.1;Colombia;50.7
22;Mexico;54.5;Vietnam;60.8;Thailand;63.9;Thailand;51.2;India;50.0
23;El Salvador;53.8;Indonesia;60.7;Russia;63.7;Brazil;48.1;Thailand;50.0
24;Kenya;53.8;Jamaica;60.3;Nigeria;61.8;India;47.5;El Salvador;48.7
25;Cambodia;53.7;Mongolia;60.2;Morocco;61.3;Mongolia;47.4;Morocco;48.3
26;Romania;53.1;Sri Lanka;59.8;Jamaica;59.9;Romania;47.3;Albania;45.0
27;Sri Lanka;51.5;China;59.4;Ethiopia;59.4;South Africa;46.7;Philippines;45.0
28;UAE;51.1;Thailand;59.1;Uganda;57.2;Nigeria;46.1;Indonesia;44.3
29;Rwanda;50.3;Peru;58.7;Turkey;56.7;Albania;45.7;Jamaica;42.3
30;Jamaica;50.0;Kazakhstan;58.1;Tanzania;55.1;El Salvador;44.5;Madagascar;41.7
31;Albania;49.8;Turkey;57.9;Nepal;54.9;Sri Lanka;40.8;Romania;39.7
32;Mongolia;47.9;Ghana;57.6;Egypt;54.8;Jamaica;40.7;Mexico;38.3
33;Morocco;47.7;Philippines;57.6;Dem Rep of Congo;54.3;Indonesia;40.6;Russia;35.0
34;Indonesia;47.6;Morocco;57.3;Mongolia;54.1;Argentina;40.4;Kenya;31.7
35;Nigeria;47.3;Albania;56.9;Madagascar;54.0;Nepal;39.8;China;31.0
36;Kazakhstan;47.2;South Africa;56.6;Uzbekistan;54.0;Madagascar;39.6;Rwanda;30.7
37;Russia;47.2;Colombia;56.3;Japan;53.1;Malaysia;39.3;Saudi Arabia;28.7
38;Nepal;46.4;Myanmar;56.2;Kazakhstan;52.9;Mozambique;38.6;Cambodia;28.3
39;Argentina;46.3;Mexico;56.1;Vietnam;52.1;Vietnam;38.4;UAE;28.3
40;Madagascar;43.6;Cambodia;55.1;Albania;51.9;China;36.4;Nepal;28.0
41;China;43.4;Egypt;55.0;Argentina;51.9;Russia;33.6;Argentina;27.7
42;Vietnam;42.8;Algeria;54.3;Rwanda;51.8;Morocco;32.2;Cote d'Ivoire;26.7
43;Mozambique;37.7;El Salvador;53.7;Sri Lanka;50.4;Ghana;32.0;Mongolia;26.7
44;Saudi Arabia;37.6;Kenya;53.2;Cameroon;49.5;Kazakhstan;31.5;Myanmar;26.0
