;ATTR_SOURCE_OF_SOURCE;COUNTRY_NAME;RAW_OBS_VALUE;RAW_OBS_VALUE;RAW_OBS_VALUE;RAW_OBS_VALUE;TIME_PERIOD;COUNTRY_ISO_2;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
0;;;0;0;0;0;2023.0;;AFG;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
1;;;0;0;0;0;2023.0;;ALB;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
2;;;0;0;0;0;2023.0;;AND;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
3;;;0;0;0;0;2023.0;;DZA;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
4;;;0;0;0;0;2023.0;;AGO;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
5;;;0;0;0;0;2023.0;;ATG;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
6;;;0;0;0;0;2023.0;;ARG;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
7;;;0;0;0;0;2023.0;;ARM;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
8;;;0;0;0;0;2023.0;;AUS;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
9;;;0;0;0;0;2023.0;;AUT;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
