;goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;dimensions.Reporting Type;COUNTRY_NAME;COUNTRY_ISO_2;COUNTRY_ISO_3
0;['11'];['11.5'];['11.5.3'];VC_DSR_OBDN;Number of disruptions to other basic services attributed to disasters (number);1826;4;Afghanistan;2017;423;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Afghanistan;AF;AFG
1;['11'];['11.5'];['11.5.3'];VC_DSR_OBDN;Number of disruptions to other basic services attributed to disasters (number);1826;4;Afghanistan;2018;398;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Afghanistan;AF;AFG
2;['11'];['11.5'];['11.5.3'];VC_DSR_OBDN;Number of disruptions to other basic services attributed to disasters (number);1826;4;Afghanistan;2019;498;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Afghanistan;AF;AFG
3;['11'];['11.5'];['11.5.3'];VC_DSR_OBDN;Number of disruptions to other basic services attributed to disasters (number);1826;8;Albania;2005;0;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Albania;AL;ALB
4;['11'];['11.5'];['11.5.3'];VC_DSR_OBDN;Number of disruptions to other basic services attributed to disasters (number);1826;8;Albania;2006;0;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Albania;AL;ALB
5;['11'];['11.5'];['11.5.3'];VC_DSR_OBDN;Number of disruptions to other basic services attributed to disasters (number);1826;8;Albania;2007;0;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Albania;AL;ALB
6;['11'];['11.5'];['11.5.3'];VC_DSR_OBDN;Number of disruptions to other basic services attributed to disasters (number);1826;8;Albania;2008;0;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Albania;AL;ALB
7;['11'];['11.5'];['11.5.3'];VC_DSR_OBDN;Number of disruptions to other basic services attributed to disasters (number);1826;8;Albania;2009;0;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Albania;AL;ALB
8;['11'];['11.5'];['11.5.3'];VC_DSR_OBDN;Number of disruptions to other basic services attributed to disasters (number);1826;8;Albania;2010;0;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Albania;AL;ALB
9;['11'];['11.5'];['11.5.3'];VC_DSR_OBDN;Number of disruptions to other basic services attributed to disasters (number);1826;8;Albania;2011;0;Float;;;;;;United Nations Office for Disaster Risk Reduction (2022);;"['Disclaimer: The data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) DesInventar disaster loss databases. Some of the data has not followed an official validation process and may be subject to revision at a later date.']";C;NUMBER;G;Albania;AL;ALB
