;DIM_SDG_INDICATOR;ATTR_SDG_INDICATOR_DESCRIPTION;COUNTRY_NAME;TIME_PERIOD;RAW_OBS_VALUE;ATTR_SOURCE_OF_SOURCE;ATTR_FOOTNOTE_OF_SOURCE;DIM_REP_TYPE;DIM_QUANTILE;COUNTRY_ISO_2;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR
0;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Afghanistan;2007.0;0.16405;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);AF;AFG;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
1;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Afghanistan;2007.0;0.53904;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;AF;AFG;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
2;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Albania;2012.0;38.22971;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);AL;ALB;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
3;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Albania;2012.0;36.25506;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;AL;ALB;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
4;_T;;;2023.0;;;;_T;_T;;AND;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
5;_T;;;2023.0;;;;_T;_T;;DZA;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
6;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Angola;2018.0;0.719;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);AO;AGO;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
7;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Angola;2018.0;3.63217;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;AO;AGO;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
8;_T;;;2023.0;;;;_T;_T;;ATG;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
9;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Argentina;2019.0;22.52761;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);AR;ARG;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
