;DIM_SDG_INDICATOR;ATTR_SDG_INDICATOR_DESCRIPTION;COUNTRY_NAME;TIME_PERIOD;RAW_OBS_VALUE;ATTR_SOURCE_OF_SOURCE;ATTR_FOOTNOTE_OF_SOURCE;DIM_REP_TYPE;COUNTRY_ISO_2;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR
0;_T;;;2023.0;;;;_T;;AFG;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
1;_T;;;2023.0;;;;_T;;ALB;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
2;_T;;;2023.0;;;;_T;;AND;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
3;_T;;;2023.0;;;;_T;;DZA;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
4;_T;;;2023.0;;;;_T;;AGO;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
5;_T;;;2023.0;;;;_T;;ATG;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
6;_T;;;2023.0;;;;_T;;ARG;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
7;_T;;;2023.0;;;;_T;;ARM;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
8;_T;;;2023.0;;;;_T;;AUS;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
9;12.5.1;Electronic waste recycling, per capita (Kg);Austria;2018.0;13.17;Eurostat;[''];Global;AT;AUT;both;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
