;TIME_PERIOD;RAW_OBS_VALUE;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR
0;2022.0;5+;AFG;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
1;2022.0;3;ALB;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
2;2022.0;0;AND;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
3;2022.0;5;DZA;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
4;2022.0;4;AGO;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
5;2022.0;0;ATG;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
6;2022.0;3;ARG;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
7;2022.0;3;ARM;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
8;2022.0;4;AUS;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
9;2022.0;1;AUT;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
10;2022.0;0;AZE;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
11;2022.0;3;BHS;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
12;2022.0;5;BHR;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
13;2022.0;5;BGD;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
14;2022.0;2;BRB;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
15;2022.0;5;BLR;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
16;2022.0;3;BEL;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
17;2022.0;3;BLZ;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
18;2022.0;4;BEN;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
19;2022.0;0;BTN;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
20;2022.0;3;BOL;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
21;2022.0;3;BIH;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
22;2022.0;4;BWA;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
23;2022.0;5;BRA;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
24;2022.0;0;BRN;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
25;2022.0;3;BGR;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
26;2022.0;4;BFA;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
27;2022.0;5+;BDI;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
28;2022.0;0;CPV;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
29;2022.0;5;KHM;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
30;2022.0;4;CMR;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
31;2022.0;3;CAN;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
32;2022.0;5+;CAF;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
33;2022.0;4;TCD;both;Trade union representation;Workplace;Decent working conditions;Enforcement;WP_DW_EN_TRUNRE;https://www.globalrightsindex.org/en/2022/countries/bdi;International Trade Union Confederation;Trade union density rate (%);;IDX;;(2017). Workers’ rights in law.;nan;2023
