;country;iso2;iso3;region;wb_econ;anyprotect_dis;anyprotect_relig;anyprotect_race;anyprotect_politic;anyprotect_class;anyprotect_age;anyprotect_marital;anyprotect_parent;anyprotect_mig;anyprotect_fno;anyprotect_preg;anyprotect_sexor;anyprotect_genid;hir_dis;hir_relig;hir_race;hir_politic;hir_class;hir_age;hir_marital;hir_mig;hir_fno;hir_preg;hir_parent;hir_sexor;hir_genid;promdemo_dis;promdemo_relig;promdemo_race;promdemo_politic;promdemo_class;promdemo_age;promdemo_marital;promdemo_mig;promdemo_fno;promdemo_preg;promdemo_parent;promdemo_sexor;promdemo_genid;train_dis;train_relig;train_race;train_class;train_age;train_marital;train_preg;train_parent;train_sexor;train_genid;pay_dis;pay_relig;pay_race;pay_politic;pay_class;pay_age;pay_marital;pay_mig;pay_fno;pay_preg;pay_parent;pay_sexor;pay_genid;harass_dis;harass_relig;harass_race;harass_politic;harass_class;harass_age;harass_marital;harass_mig;harass_fno;term_gender;term_dis;term_relig;term_race;term_politic;term_class;term_age;term_marital;term_mig;term_fno;term_preg;term_parent;term_sexor;term_genid;indir_dis;indir_marital;indir_preg;indir_parent;indir_sexor;indir_genid;ret_dis;ret_relig;ret_race;ret_politic;ret_class;ret_age;ret_marital;ret_mig;ret_fno;ret_sexor;ret_genid;TIME_PERIOD
0;Afghanistan;AF;AFG;South Asia;1;1;1;1;1;1;1;1;1;1;1;5;1;1;2;2;2;2;2;2;2;2;2;5;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;2020.0
1;Albania;AL;ALB;Europe & Central Asia;3;5;5;5;5;5;5;5;5;1;1;5;5;5;5;5;5;5;5;5;5;2;2;5;5;5;5;5;5;5;5;5;5;5;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;5;5;5;5;5;5;5;5;5;5;5;2;2;5;5;5;5;5;5;5;5;2;2;5;5;5;5;5;5;5;5;5;5;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;5.0;5;2020.0
2;Algeria;DZ;DZA;Middle East & North Africa;3;5;1;5;5;5;5;5;1;1;5;1;1;1;5;1;4;4;4;4;4;1;4;1;1;1;1;4;1;4;4;4;4;4;1;4;1;1;1;1;4;1;4;4;4;4;1;1;1;1;5;2;5;5;5;5;5;2;5;2;1;2;2;4;2;4;5;5;5;5;2;4;4;4;1;4;4;4;4;4;1;4;1;1;1;1;1;1;1;1;1;1;2.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;1;2020.0
3;Andorra;AD;AND;Europe & Central Asia;4;5;5;5;1;1;1;1;1;1;1;1;5;1;4;4;4;1;1;1;1;1;1;1;1;4;1;5;5;5;2;2;2;2;2;2;2;1;5;2;5;5;5;2;2;2;2;1;5;2;3;4;4;2;2;2;2;2;2;2;1;4;2;4;4;4;2;2;2;2;2;2;5;5;5;5;2;2;2;2;2;2;2;1;5;2;1;1;1;1;1;1;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1;2020.0
4;Angola;AO;AGO;Sub-Saharan Africa;3;5;5;5;5;5;1;5;1;5;5;1;5;1;5;5;5;5;5;1;4;1;5;1;1;5;1;1;5;5;5;5;1;4;1;5;1;1;5;1;5;4;4;4;1;4;1;1;1;1;2;5;5;5;5;2;5;4;2;2;1;2;2;1;3;3;3;3;1;3;1;1;5;5;5;5;5;5;1;5;5;5;1;1;5;1;1;1;1;1;1;1;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;1;2020.0
5;Antigua and Barbuda;AG;ATG;Latin America & Caribbean;4;1;5;5;5;1;5;1;1;1;1;1;1;1;1;5;5;5;1;5;1;1;1;1;1;1;1;1;4;4;4;1;4;1;1;1;1;1;1;1;1;4;4;1;4;1;1;1;1;1;1;4;4;4;1;4;1;1;1;1;1;1;1;1;3;3;3;1;3;1;1;1;5;1;5;5;5;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;2.0;2.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1;2020.0
6;Argentina;AR;ARG;Latin America & Caribbean;3;1;5;5;5;5;5;5;5;5;5;5;1;1;1;4;4;4;4;4;5;4;4;1;5;1;1;2;5;5;5;5;5;5;5;5;2;5;2;2;2;5;5;5;5;5;2;5;2;2;1;3;3;3;3;3;5;3;3;1;3;1;1;2;5;5;5;5;5;5;4;5;5;1;4;4;4;4;4;5;4;4;5;5;1;1;1;5;1;1;1;1;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1;2020.0
7;Armenia;AM;ARM;Europe & Central Asia;2;5;5;5;5;5;5;5;5;5;1;5;1;1;5;4;4;4;4;4;4;4;1;4;2;1;1;5;4;4;4;4;4;5;4;1;5;5;1;1;1;4;4;4;4;4;4;2;1;1;4;3;3;3;3;3;4;3;1;4;5;1;1;1;3;3;3;3;3;3;3;1;5;5;5;5;5;5;5;5;5;1;5;5;1;1;1;1;1;1;1;1;;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1;2020.0
8;Australia;AU;AUS;East Asia & Pacific;4;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;4;5;4;5;5;5;5;5;5;3;3;3;3;3;3;3;1;3;3;3;3;3;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;5.0;5.0;5;2020.0
9;Austria;AT;AUT;Europe & Central Asia;4;5;5;5;1;1;5;5;5;1;1;1;5;1;5;5;5;1;1;5;5;1;1;1;5;5;1;5;5;5;1;1;5;5;1;1;1;5;5;1;5;5;5;1;5;5;1;5;5;1;4;5;5;1;1;5;5;1;1;1;5;5;1;5;5;5;1;1;5;5;1;1;5;5;5;5;1;1;5;5;1;1;1;5;5;1;5;5;1;5;5;1;5.0;5.0;5.0;1.0;1.0;5.0;5.0;1.0;1.0;5.0;1;2020.0
