;COUNTRY_NAME;TIME_PERIOD
0;Afghanistan;2018
1;Albania;2018
2;Algeria;2018
3;Angola;2018
4;Antigua and Barbuda;2018
5;Argentina;2018
6;Armenia;2018
7;Australia;2018
8;Austria;2018
9;Azerbaijan;2018
10;Bahamas;2018
11;Bahrain;2018
12;Bangladesh;2018
13;Barbados;2018
14;Belarus;2018
15;Belgium;2018
16;Belize;2018
17;Benin;2018
18;Bolivia;2018
19;Bosnia and Herzegovina;2018
20;Botswana;2018
21;Brazil;2018
22;Brunei Darussalam;2018
23;Bulgaria;2018
24;Burkina Faso;2018
25;Burundi;2018
26;Cambodia;2018
27;Cameroon;2018
28;Canada;2018
29;Cape Verde;2018
30;Central African Republic;2018
31;Chad;2018
32;Chile;2018
33;China;2018
34;Colombia;2018
35;Costa Rica;2018
36;Côte d'Ivoire;2018
37;Croatia;2018
38;Cuba;2018
39;Cyprus;2018
40;Czechia;2018
41;Democratic Republic of the Congo;2018
42;Denmark;2018
43;Djibouti;2018
44;Dominican Republic;2018
45;Ecuador;2018
46;Egypt;2018
47;El Salvador;2018
48;Equatorial Guinea;2018
49;Eritrea;2018
50;Estonia;2018
51;Eswatini;2018
52;Ethiopia;2018
53;Fiji;2018
54;Finland;2018
55;France;2018
56;Gabon;2018
57;Gambia;2018
58;Georgia;2018
59;Germany;2018
60;Ghana;2018
61;Greece;2018
62;Guatemala;2018
63;Guinea;2018
64;Guinea-Bissau;2018
65;Guyana;2018
66;Haiti;2018
67;Honduras;2018
68;Hong Kong;2018
69;Hungary;2018
70;Iceland;2018
71;India;2018
72;Indonesia;2018
73;Iran;2018
74;Iraq;2018
75;Ireland;2018
76;Israel;2018
77;Italy;2018
78;Jamaica;2018
79;Japan;2018
80;Jordan;2018
81;Kazakhstan;2018
82;Kenya;2018
83;Kosovo;2018
84;Kuwait;2018
85;Kyrgyzstan;2018
86;Lao PDR;2018
87;Latvia;2018
88;Lebanon;2018
89;Lesotho;2018
90;Liberia;2018
91;Libya;2018
92;Liechtenstein;2018
93;Lithuania;2018
94;Luxembourg;2018
95;Madagascar;2018
96;Malawi;2018
97;Malaysia;2018
98;Maldives;2018
99;Mali;2018
100;Malta;2018
101;Mauritania;2018
102;Mauritius;2018
103;Mexico;2018
104;Moldova;2018
105;Mongolia;2018
106;Montenegro;2018
107;Morocco;2018
108;Mozambique;2018
109;Myanmar;2018
110;Namibia;2018
111;Nepal;2018
112;Netherlands;2018
113;New Zealand;2018
114;Nicaragua;2018
115;Niger;2018
116;Nigeria;2018
117;North Korea;2018
118;North Macedonia;2018
119;Norway;2018
120;Oman;2018
121;Pakistan;2018
122;Palau;2018
123;Panama;2018
124;Papua New Guinea;2018
125;Paraguay;2018
126;Peru;2018
127;Philippines;2018
128;Poland;2018
129;Portugal;2018
130;Qatar;2018
131;Republic of the Congo;2018
132;Romania;2018
133;Russia;2018
134;Rwanda;2018
135;Saint Lucia;2018
136;Saint Vincent and the Grenadines;2018
137;Saudi Arabia;2018
138;Senegal;2018
139;Serbia;2018
140;Seychelles;2018
141;Sierra Leone;2018
142;Singapore;2018
143;Slovakia;2018
144;Slovenia;2018
145;Solomon Islands;2018
146;Somalia;2018
147;South Africa;2018
148;South Korea;2018
149;South Sudan;2018
150;Spain;2018
151;Sri Lanka;2018
152;Sudan;2018
153;Suriname;2018
154;Sweden;2018
155;Switzerland;2018
156;Syria;2018
157;Taiwan;2018
158;Tajikistan;2018
159;Tanzania;2018
160;Thailand;2018
161;Timor-Leste;2018
162;Togo;2018
163;Trinidad and Tobago;2018
164;Tunisia;2018
165;Türkiye;2018
166;Turkmenistan;2018
167;Uganda;2018
168;Ukraine;2018
169;United Arab Emirates;2018
170;United Kingdom;2018
171;United States of America;2018
172;Uruguay;2018
173;Uzbekistan;2018
174;Vanuatu;2018
175;Venezuela;2018
176;Viet Nam;2018
177;Yemen;2018
178;Zambia;2018
179;Zimbabwe;2018
