;TIME_PERIOD;RAW_OBS_VALUE;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
0;2021.0;1;AFG;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
1;2021.0;0;ALB;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
2;2021.0;0;AND;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
3;2021.0;3;DZA;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
4;2021.0;1;AGO;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
5;2021.0;3;ATG;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
6;2021.0;3;ARG;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
7;2021.0;0;ARM;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
8;2021.0;3;AUS;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
9;2021.0;3;AUT;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
10;2021.0;2;AZE;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
11;2021.0;3;BHS;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
12;2021.0;3;BHR;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
13;2021.0;3;BGD;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
14;2021.0;1;BRB;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
15;2021.0;3;BLR;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
16;2021.0;3;BEL;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
17;2021.0;3;BLZ;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
18;2021.0;3;BEN;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
19;2021.0;3;BTN;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
20;2021.0;1;BOL;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
