;TIME_PERIOD;RAW_OBS_VALUE;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR
0;2022.0;224918.0;AFG;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
1;2022.0;11376.0;ALB;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
2;2022.0;202.0;AND;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
3;2022.0;731167.0;DZA;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
4;2022.0;22644.0;AGO;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
5;2022.0;351.0;ATG;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
6;2022.0;136040.0;ARG;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
7;2022.0;3971.0;ARM;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
8;2022.0;182050.0;AUS;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
9;2022.0;18501.0;AUT;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
10;2022.0;10077.0;AZE;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
11;2022.0;1513.0;BHS;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
12;2022.0;25896.0;BHR;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
13;2022.0;2145098.0;BGD;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
14;2022.0;2486.0;BRB;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
15;2022.0;6598.0;BLR;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
16;2022.0;50255.0;BEL;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
17;2022.0;6103.0;BLZ;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
18;2022.0;6203.0;BEN;both;Reports of online child sexual exploitation material (CSAM);Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_ROCSEM;https://www.missingkids.org/content/dam/missingkids/pdfs/2022-reports-by-country.pdf;CyberTipline Reports by country ;Reports of online child sexual exploitation material (CSAM) per 100,000 population;Number of CSAM reports sent by US companies to the NCMEC CyberTipline, per 100,000 population.;RATE_100000;;NCMEC 2022 CyberTipline Reports by country;;2023
