;country;iso2;iso3;region;wb_econ;maternal_leave;paternal_leave;matandpat;matandpat_12;mat_yn_1995;mat_yn_1996;mat_yn_1997;mat_yn_1998;mat_yn_1999;mat_yn_2000;mat_yn_2001;mat_yn_2002;mat_yn_2003;mat_yn_2004;mat_yn_2005;mat_yn_2006;mat_yn_2007;mat_yn_2008;mat_yn_2009;mat_yn_2010;mat_yn_2011;mat_yn_2012;mat_yn_2013;mat_yn_2014;mat_yn_2015;mat_yn_2016;mat_yn_2017;mat_yn_2018;mat_yn_2019;mat_yn_2020;mat_yn_2021;mat_yn_2022;pat_yn_1995;pat_yn_1996;pat_yn_1997;pat_yn_1998;pat_yn_1999;pat_yn_2000;pat_yn_2001;pat_yn_2002;pat_yn_2003;pat_yn_2004;pat_yn_2005;pat_yn_2006;pat_yn_2007;pat_yn_2008;pat_yn_2009;pat_yn_2010;pat_yn_2011;pat_yn_2012;pat_yn_2013;pat_yn_2014;pat_yn_2015;pat_yn_2016;pat_yn_2017;pat_yn_2018;pat_yn_2019;pat_yn_2020;pat_yn_2021;pat_yn_2022;mat_14wks_1995;mat_14wks_1996;mat_14wks_1997;mat_14wks_1998;mat_14wks_1999;mat_14wks_2000;mat_14wks_2001;mat_14wks_2002;mat_14wks_2003;mat_14wks_2004;mat_14wks_2005;mat_14wks_2006;mat_14wks_2007;mat_14wks_2008;mat_14wks_2009;mat_14wks_2010;mat_14wks_2011;mat_14wks_2012;mat_14wks_2013;mat_14wks_2014;mat_14wks_2015;mat_14wks_2016;mat_14wks_2017;mat_14wks_2018;mat_14wks_2019;mat_14wks_2020;mat_14wks_2021;mat_14wks_2022;pat_14wks_1995;pat_14wks_1996;pat_14wks_1997;pat_14wks_1998;pat_14wks_1999;pat_14wks_2000;pat_14wks_2001;pat_14wks_2002;pat_14wks_2003;pat_14wks_2004;pat_14wks_2005;pat_14wks_2006;pat_14wks_2007;pat_14wks_2008;pat_14wks_2009;pat_14wks_2010;pat_14wks_2011;pat_14wks_2012;pat_14wks_2013;pat_14wks_2014;pat_14wks_2015;pat_14wks_2016;pat_14wks_2017;pat_14wks_2018;pat_14wks_2019;pat_14wks_2020;pat_14wks_2021;pat_14wks_2022;dadstoo;maternity_leave;paternity_leave;parental_leave;mtlv_min_wrr_ilo;ptlv_min_wrr_ilo;prlv_min_wrr_ilo;prlv_job_protect;ptlv_job_protect;adopt_lv;genderequal_adopt;breastfeed_duration;mat_bfeed_6mon;maternal_self;paternal_self;maternal_ag;paternal_ag;maternal_dom;paternal_dom;maternal_part;paternal_part;TIME_PERIOD
0;Afghanistan;AF;AFG;South Asia;1;2;2;5;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;2;2.0;1;5;5;1.0;1;2.0;2;1;5.0;3.0;3.0;3.0;4.0;4.0;4;4.0;4.0;4.0;2022.0
1;Albania;AL;ALB;Europe & Central Asia;2;5;5;5;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;1;1;1;1;1;1;1;1;1;3.0;5;2.0;1;3;5;1.0;1;2.0;5;5;5.0;5.0;5.0;5.0;4.0;4.0;3;4.0;5.0;5.0;2022.0
2;Algeria;DZ;DZA;Middle East & North Africa;2;3;2;5;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;3;2.0;1;5;5;1.0;1;2.0;2;1;1.0;1.0;3.0;3.0;5.0;4.0;4;4.0;2.0;2.0;2022.0
3;Andorra;AD;AND;Europe & Central Asia;4;3;4;5;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;1;1;1;1;4.0;3;3.0;1;5;5;1.0;1;5.0;3;5;5.0;3.0;5.0;5.0;4.0;4.0;4;4.0;4.0;4.0;2022.0
4;Angola;AO;AGO;Sub-Saharan Africa;2;2;2;5;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;2;2.0;1;5;5;1.0;1;5.0;2;1;5.0;3.0;5.0;3.0;5.0;5.0;4;4.0;5.0;5.0;2022.0
5;Antigua and Barbuda;AG;ATG;Americas;4;2;1;3;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;2;1.0;1;3;1;1.0;1;1.0;2;1;1.0;1.0;5.0;1.0;4.0;1.0;4;1.0;4.0;1.0;2022.0
6;Argentina;AR;ARG;Americas;2;2;2;5;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;2;2.0;1;5;5;1.0;1;2.0;2;1;5.0;3.0;3.0;3.0;5.0;5.0;5;5.0;5.0;4.0;2022.0
7;Armenia;AM;ARM;Europe & Central Asia;2;5;5;5;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;2.0;3;1.0;5;5;1;2.0;2;1.0;5;5;5.0;5.0;5.0;5.0;4.0;4.0;4;4.0;5.0;5.0;2022.0
8;Australia;AU;AUS;East Asia & Pacific;4;3;4;5;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;3.0;3;2.0;1;2;2;1.0;1;2.0;5;5;1.0;1.0;5.0;5.0;4.0;4.0;4;4.0;4.0;4.0;2022.0
9;Austria;AT;AUT;Europe & Central Asia;4;5;5;5;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;1;1;1;1;1;1;1;5.0;3;3.0;5;5;2;2.0;5;5.0;5;5;5.0;5.0;5.0;5.0;5.0;5.0;5;5.0;5.0;5.0;2022.0
