DATAFLOW;REF_AREA:Geographic area;INDICATOR:Indicator;SEX:Sex;AGE:Current age;EDUCATION_LEVEL:Education Level;WEALTH_QUINTILE:Wealth Quintile;RESIDENCE:Residence;NUMBER_CHLD:Number of Living Children;TIME_PERIOD:Time period;OBS_VALUE:Observation Value;UNIT_MULTIPLIER:Unit multiplier;UNIT_MEASURE:Unit of measure;SOURCE_LINK:Citation of or link to the data source;SERIES_FOOTNOTE:Series footnote;SOWC_FLAG_C:SOWC flag C;SOWC_FLAG_A:SOWC flag A;SOWC_FLAG_B:SOWC flag B;OBS_STATUS:Observation Status;OBS_CONF:Observation confidentaility;DATA_SOURCE:Data Source;LOWER_BOUND:Lower Bound;UPPER_BOUND:Upper Bound;WGTD_SAMPL_SIZE:Weighted Sample Size;UNWGTD_SAMPL_SIZE:Unweighted Sample Size;TIME_PERIOD_METHOD:Time period activity related to when the data are collected;COVERAGE_TIME:The period of time for which data are provided;FREQ_COLL:Time interval at which the source data are collected;OBS_FOOTNOTE:Observation footnote;ATTR_ENDPOINT
UNICEF:PT(1.0): Child Protection;AFG: Afghanistan;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;F: Female;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2014;44.9;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2014;;;;;EOF: End of fieldwork;2014;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;AFG: Afghanistan;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;M: Male;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2014;42.3;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2014;;;;;EOF: End of fieldwork;2014;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;AFG: Afghanistan;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;_T: Total;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2014;44.2;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2014;;;;;EOF: End of fieldwork;2014;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;AIA: Anguilla;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;F: Female;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2016;30.2;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2016;;;;;EOF: End of fieldwork;2016;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;AIA: Anguilla;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;M: Male;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2016;22.2;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2016;;;;;EOF: End of fieldwork;2016;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;AIA: Anguilla;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;_T: Total;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2016;26.1;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2016;;;;;EOF: End of fieldwork;2016;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;ALB: Albania;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;F: Female;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;18.455;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;ALB: Albania;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;M: Male;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;17.312;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;ALB: Albania;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;_T: Total;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;17.884;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;ARE: United Arab Emirates;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;F: Female;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2016;21.8;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2016;;;;;EOF: End of fieldwork;2016;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
