COUNTRY_NAME;RAW_OBS_VALUE;TIME_PERIOD;ATTR_ENDPOINT
Iceland;0.8;2022.0;nan
Sweden;0.667;2022.0;nan
Finland;0.667;2022.0;nan
Netherlands;0.667;2022.0;nan
Germany;0.7;2022.0;nan
Luxembourg;0.786;2022.0;nan
Denmark;0.6;2022.0;nan
Austria;0.667;2022.0;nan
Slovenia;0.643;2022.0;nan
Norway;0.583;2022.0;nan
Portugal;0.583;2022.0;nan
France;0.667;2022.0;nan
Thailand;0.833;2022.0;nan
Latvia;0.714;2022.0;nan
Chile;0.667;2022.0;nan
Republic of Korea;0.667;2022.0;nan
Czechia;0.643;2022.0;nan
Italy;0.571;2022.0;nan
Cuba;0.75;2022.0;nan
Kazakhstan;0.667;2022.0;nan
Japan;0.5;2022.0;nan
Croatia;0.643;2022.0;nan
Estonia;0.583;2022.0;nan
Oman;0.714;2022.0;nan
Turkey;0.571;2022.0;nan
Uruguay;0.643;2022.0;nan
Bulgaria;0.667;2022.0;nan
Belgium;0.5;2022.0;nan
Malta;0.5;2022.0;nan
Barbados;0.75;2022.0;nan
Switzerland;0.429;2022.0;nan
Greece;0.417;2022.0;nan
Qatar;0.8;2022.0;nan
Serbia;0.667;2022.0;nan
Cyprus;0.5;2022.0;nan
Bahrain;0.5;2022.0;nan
Singapore;0.429;2022.0;nan
Egypt;0.714;2022.0;nan
Mexico;0.667;2022.0;nan
Hungary;0.5;2022.0;nan
Peru;0.714;2022.0;nan
Malaysia;0.75;2022.0;nan
Georgia;0.571;2022.0;nan
Colombia;0.643;2022.0;nan
North Macedonia;0.571;2022.0;nan
Lebanon;0.667;2022.0;nan
Saint Vincent and the Grenadines;0.667;2022.0;nan
Canada;0.417;2022.0;nan
Montenegro;0.643;2022.0;nan
Antigua and Barbuda;0.75;2022.0;nan
San Marino;0.7;2022.0;nan
Albania;0.5;2022.0;nan
Ireland;0.333;2022.0;nan
Bosnia and Herzegovina;0.5;2022.0;nan
Israel;0.357;2022.0;nan
Viet Nam;0.643;2022.0;nan
Mauritius;0.643;2022.0;nan
Brunei Darussalam;0.583;2022.0;nan
Cabo Verde;0.714;2022.0;nan
Algeria;0.5;2022.0;nan
Republic of Moldova;0.643;2022.0;nan
Tonga;0.583;2022.0;nan
Turkmenistan;0.643;2022.0;nan
Azerbaijan;0.571;2022.0;nan
Bolivia (Plurinational State of);0.714;2022.0;nan
Morocco;0.5;2022.0;nan
Paraguay;0.75;2022.0;nan
Jamaica;0.583;2022.0;nan
Tunisia;0.417;2022.0;nan
Philippines;0.75;2022.0;nan
Guyana;0.75;2022.0;nan
Nicaragua;0.714;2022.0;nan
Honduras;0.714;2022.0;nan
Costa Rica;0.357;2022.0;nan
Ecuador;0.5;2022.0;nan
United Arab Emirates;0.357;2022.0;nan
Belize;0.5;2022.0;nan
Grenada;0.5;2022.0;nan
Samoa;0.7;2022.0;nan
Saint Lucia;0.5;2022.0;nan
Jordan;0.5;2022.0;nan
Spain;0.25;2022.0;nan
Trinidad and Tobago;0.5;2022.0;nan
Ukraine;0.357;2022.0;nan
Botswana;0.643;2022.0;nan
Belarus;0.286;2022.0;nan
South Africa;0.571;2022.0;nan
Uzbekistan;0.357;2022.0;nan
Slovakia;0.286;2022.0;nan
Iran (Islamic Republic of);0.286;2022.0;nan
Brazil;0.333;2022.0;nan
Russian Federation;0.286;2022.0;nan
Kyrgyzstan;0.429;2022.0;nan
Kuwait;0.429;2022.0;nan
Lithuania;0.25;2022.0;nan
Argentina;0.3;2022.0;nan
Mongolia;0.417;2022.0;nan
Bhutan;0.429;2022.0;nan
China;0.357;2022.0;nan
Libya;0.5;2022.0;nan
Fiji;0.5;2022.0;nan
Bangladesh;0.714;2022.0;nan
State of Palestine;0.357;2022.0;nan
Venezuela (Bolivarian Republic of);0.571;2022.0;nan
Tajikistan;0.5;2022.0;nan
Dominican Republic;0.429;2022.0;nan
Palau;0.4;2022.0;nan
Sao Tome and Principe;0.5;2022.0;nan
Timor-Leste;0.75;2022.0;nan
Namibia;0.7;2022.0;nan
Suriname;0.417;2022.0;nan
Indonesia;0.417;2022.0;nan
Nauru;0.571;2022.0;nan
Armenia;0.25;2022.0;nan
India;0.5;2022.0;nan
Romania;0.214;2022.0;nan
