iso3;cl_haz_minage;ATTR_ENDPOINT
AFG;18.0;nan
ALB;18.0;nan
DZA;18.0;nan
AND;18.0;nan
AGO;;nan
ATG;16.0;nan
ARG;18.0;nan
ARM;18.0;nan
AUS;0.0;nan
AUT;18.0;nan
AZE;18.0;nan
BHS;18.0;nan
BHR;16.0;nan
BGD;18.0;nan
BRB;16.0;nan
BLR;18.0;nan
BEL;18.0;nan
BLZ;15.0;nan
BEN;18.0;nan
BTN;18.0;nan
BOL;18.0;nan
BIH;18.0;nan
BWA;18.0;nan
BRA;18.0;nan
BRN;18.0;nan
BGR;18.0;nan
BFA;18.0;nan
BDI;16.0;nan
KHM;18.0;nan
CMR;18.0;nan
CAN;17.0;nan
CPV;;nan
CAF;18.0;nan
TCD;16.0;nan
CHL;18.0;nan
CHN;18.0;nan
COL;18.0;nan
COM;;nan
COD;18.0;nan
COG;16.0;nan
CRI;18.0;nan
CIV;18.0;nan
HRV;;nan
CUB;18.0;nan
CYP;18.0;nan
CZE;18.0;nan
DNK;18.0;nan
DJI;18.0;nan
DMA;14.0;nan
DOM;18.0;nan
ECU;18.0;nan
EGY;18.0;nan
SLV;18.0;nan
GNQ;16.0;nan
ERI;18.0;nan
EST;18.0;nan
SWZ;15.0;nan
ETH;18.0;nan
FJI;18.0;nan
FIN;18.0;nan
FRA;18.0;nan
GAB;18.0;nan
GMB;18.0;nan
GEO;;nan
DEU;18.0;nan
GHA;18.0;nan
GRC;18.0;nan
GRD;;nan
GTM;18.0;nan
GIN;18.0;nan
GNB;18.0;nan
GUY;18.0;nan
HTI;18.0;nan
HND;18.0;nan
HUN;16.0;nan
ISL;18.0;nan
IND;14.0;nan
IDN;16.0;nan
IRN;18.0;nan
IRQ;18.0;nan
IRL;18.0;nan
ISR;16.0;nan
ITA;18.0;nan
JAM;18.0;nan
JPN;18.0;nan
JOR;17.0;nan
KAZ;18.0;nan
KEN;18.0;nan
KIR;18.0;nan
PRK;16.0;nan
KOR;18.0;nan
KWT;18.0;nan
KGZ;18.0;nan
LAO;18.0;nan
LVA;18.0;nan
LBN;15.0;nan
LSO;18.0;nan
LBR;16.0;nan
LBY;18.0;nan
LIE;18.0;nan
LTU;18.0;nan
LUX;18.0;nan
MDG;;nan
MWI;18.0;nan
MYS;16.0;nan
MDV;18.0;nan
MLI;16.0;nan
MLT;18.0;nan
MHL;;nan
MRT;18.0;nan
MUS;18.0;nan
MEX;16.0;nan
FSM;0.0;nan
MDA;18.0;nan
MCO;;nan
MNG;18.0;nan
MNE;18.0;nan
MAR;18.0;nan
MOZ;18.0;nan
MMR;;nan
NAM;16.0;nan
NRU;;nan
NPL;16.0;nan
NLD;18.0;nan
NZL;15.0;nan
NIC;18.0;nan
NER;;nan
NGA;16.0;nan
MKD;18.0;nan
NOR;18.0;nan
OMN;15.0;nan
PAK;14.0;nan
PLW;;nan
PAN;18.0;nan
PNG;16.0;nan
PRY;18.0;nan
PER;18.0;nan
PHL;18.0;nan
POL;18.0;nan
PRT;16.0;nan
QAT;16.0;nan
ROU;18.0;nan
RUS;18.0;nan
RWA;18.0;nan
WSM;15.0;nan
SMR;;nan
STP;18.0;nan
SAU;18.0;nan
SEN;18.0;nan
SRB;18.0;nan
SYC;18.0;nan
SLE;18.0;nan
SGP;16.0;nan
SVK;18.0;nan
SVN;18.0;nan
SLB;15.0;nan
SOM;16.0;nan
ZAF;18.0;nan
SSD;;nan
ESP;18.0;nan
LKA;18.0;nan
KNA;;nan
LCA;18.0;nan
VCT;14.0;nan
SDN;16.0;nan
SUR;18.0;nan
SWE;18.0;nan
CHE;18.0;nan
SYR;16.0;nan
TJK;18.0;nan
TZA;18.0;nan
THA;18.0;nan
TLS;17.0;nan
TGO;;nan
TON;0.0;nan
TTO;18.0;nan
TUN;18.0;nan
TUR;18.0;nan
TKM;18.0;nan
TUV;15.0;nan
UGA;18.0;nan
UKR;18.0;nan
ARE;17.0;nan
GBR;18.0;nan
USA;18.0;nan
URY;18.0;nan
UZB;18.0;nan
VUT;18.0;nan
VEN;18.0;nan
VNM;18.0;nan
YEM;15.0;nan
ZMB;16.0;nan
ZWE;18.0;nan
