COUNTRY_ISO_3;time_period_not_used;population;GHO;PUBLISHSTATE;YEAR;REGION;country_not_used;SEX;ENVCAUSE;obs_value_no_used_2;Numeric;Low;High;StdErr;StdDev;Comments;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_ENDPOINT
AFG;2019;37769.4985;AIR_4;PUBLISHED;2019;EMR;AFG;BTSX;ENVCAUSE039;2 155 [1 575-2 779];2154.64204;1575.49607;2778.75101;;;;5.704714453648359;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
AGO;2019;32353.588;AIR_4;PUBLISHED;2019;AFR;AGO;BTSX;ENVCAUSE039;2 229 [284-4 679];2229.28417;283.64561;4678.7775;;;;6.890376949845563;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
ALB;2019;2873.8835;AIR_4;PUBLISHED;2019;EUR;ALB;BTSX;ENVCAUSE039;3 [2-5];3.449;1.67377;5.34598;;;;0.12001182372215156;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
ARE;2019;9211.657;AIR_4;PUBLISHED;2019;EMR;ARE;BTSX;ENVCAUSE039;8 [6-10];7.89728;5.59778;10.29439;;;;0.0857313727595372;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
ARG;2019;44745.52;AIR_4;PUBLISHED;2019;AMR;ARG;BTSX;ENVCAUSE039;35 [14-62];34.85399;13.57044;61.6808;;;;0.07789380925732901;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
ARM;2019;2820.6015;AIR_4;PUBLISHED;2019;EUR;ARM;BTSX;ENVCAUSE039;14 [9-18];13.56516;8.62609;18.38465;;;;0.4809314608958408;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
ATG;2019;92.1165;AIR_4;PUBLISHED;2019;AMR;ATG;BTSX;ENVCAUSE039;0 [0-0];0.05826;0.01204;0.1287;;;;0.06324599827392487;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
AUS;2019;25357.17;AIR_4;PUBLISHED;2019;WPR;AUS;BTSX;ENVCAUSE039;2 [1-4];2.00237;0.65918;4.00842;;;;0.007896661969770286;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
AUT;2019;8879.9395;AIR_4;PUBLISHED;2019;EUR;AUT;BTSX;ENVCAUSE039;0 [0-1];0.3998;0.1572;0.7047;;;;0.004502282926589759;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
AZE;2019;10232.753;AIR_4;PUBLISHED;2019;EUR;AZE;BTSX;ENVCAUSE039;87 [45-131];86.79764;44.90895;131.20052;;;;0.8482335105713975;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
