GHO;PUBLISHSTATE;YEAR;REGION;UNREGION;WHOINCOMEREGION;COUNTRY;RESIDENCEAREATYPE;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
SDGPM25;PUBLISHED;2010;EMR;;;AFG;CITY;92.79 [66.17-128.44];92.79277;66.16662;128.44125;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2010;EMR;;;AFG;TOTL;68.97 [49.48-96.51];68.96605;49.48253;96.51297;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2010;EMR;;;AFG;RUR;61.81 [42.68-87.77];61.81464;42.68402;87.77431;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2010;EMR;;;AFG;TOWN;69.67 [48.91-98.81];69.67321;48.91039;98.81156;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2010;EMR;;;AFG;URB;83.13 [60.37-117.80];83.12652;60.36542;117.79976;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2011;EMR;;;AFG;CITY;89.57 [64.75-122.95];89.56683;64.75261;122.94666;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2011;EMR;;;AFG;TOTL;66.94 [48.90-92.62];66.94454;48.90072;92.61683;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2011;EMR;;;AFG;RUR;60.11 [42.82-83.13];60.1099;42.81533;83.13299;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2011;EMR;;;AFG;TOWN;67.72 [48.37-93.74];67.71935;48.37312;93.74326;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2011;EMR;;;AFG;URB;80.45 [57.67-110.73];80.45496;57.6739;110.73294;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2012;EMR;;;AFG;CITY;92.04 [66.43-125.87];92.03952;66.42646;125.86934;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2012;EMR;;;AFG;TOTL;68.26 [49.60-94.02];68.25744;49.59602;94.01766;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2012;EMR;;;AFG;RUR;61.09 [42.74-83.77];61.09035;42.73541;83.76946;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2012;EMR;;;AFG;TOWN;68.88 [49.03-95.50];68.87935;49.03133;95.50037;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2012;EMR;;;AFG;URB;82.40 [58.99-112.42];82.40277;58.99375;112.41686;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2013;EMR;;;AFG;CITY;97.49 [70.24-132.95];97.49402;70.23622;132.94704;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2013;EMR;;;AFG;TOTL;72.18 [52.57-99.67];72.18289;52.57123;99.66944;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2013;EMR;;;AFG;RUR;64.50 [45.48-88.98];64.49672;45.48141;88.98175;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2013;EMR;;;AFG;TOWN;73.01 [51.94-101.69];73.01433;51.94303;101.68761;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2013;EMR;;;AFG;URB;87.33 [62.40-118.86];87.33072;62.40365;118.85741;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2014;EMR;;;AFG;CITY;91.92 [66.24-125.70];91.91565;66.23644;125.69501;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2014;EMR;;;AFG;TOTL;68.06 [49.36-93.43];68.05715;49.35964;93.42773;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2014;EMR;;;AFG;RUR;60.79 [42.86-83.22];60.7896;42.85654;83.22114;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2014;EMR;;;AFG;TOWN;68.85 [49.33-95.36];68.8538;49.33139;95.35871;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2014;EMR;;;AFG;URB;82.36 [58.88-111.54];82.36092;58.8827;111.53815;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2015;EMR;;;AFG;CITY;90.88 [65.86-123.35];90.8823;65.86298;123.34804;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2015;EMR;;;AFG;TOTL;67.20 [49.05-92.67];67.2032;49.04869;92.66884;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2015;EMR;;;AFG;RUR;59.99 [42.52-81.99];59.99269;42.52335;81.99041;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2015;EMR;;;AFG;TOWN;67.90 [48.45-94.10];67.89566;48.44933;94.09811;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2015;EMR;;;AFG;URB;81.38 [58.50-110.14];81.37742;58.50318;110.13638;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2016;EMR;;;AFG;CITY;86.91 [63.04-118.61];86.90798;63.04097;118.61047;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2016;EMR;;;AFG;TOTL;64.00 [46.01-87.23];64.00314;46.00713;87.23201;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2016;EMR;;;AFG;RUR;57.00 [40.09-78.69];56.99896;40.08932;78.6921;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2016;EMR;;;AFG;TOWN;64.73 [46.41-88.39];64.73451;46.40931;88.39155;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2016;EMR;;;AFG;URB;77.76 [55.59-105.83];77.75643;55.58758;105.83117;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2017;EMR;;;AFG;CITY;83.49 [60.22-114.88];83.49087;60.22479;114.88189;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2017;EMR;;;AFG;TOTL;61.78 [44.81-85.24];61.77561;44.80775;85.24496;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2017;EMR;;;AFG;RUR;55.08 [39.01-75.78];55.08079;39.00972;75.77676;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2017;EMR;;;AFG;TOWN;62.66 [45.03-86.93];62.6579;45.0329;86.93407;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2017;EMR;;;AFG;URB;74.91 [53.88-103.01];74.90788;53.87638;103.00719;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
SDGPM25;PUBLISHED;2018;EMR;;;AFG;CITY;92.57 [67.33-126.55];92.57329;67.32551;126.54507;;;;http://apps.who.int/gho/athena/api/GHO/SDGPM25.csv
