Participant 2;Signature;Ratification, Accession(a), Succession(d);ATTR_ENDPOINT
Afghanistan;;24 Jan 1983 a;nan
Albania;;4 Oct 1991 a;nan
Algeria;10 Dec 1968;12 Sep 1989;nan
Angola;;10 Jan 1992 a;nan
Antigua and Barbuda;;3 Jul 2019 a;nan
Argentina;19 Feb 1968;8 Aug 1986;nan
Armenia;;13 Sep 1993 a;nan
Australia;18 Dec 1972;10 Dec 1975;nan
Austria;10 Dec 1973;10 Sep 1978;nan
Azerbaijan;;13 Aug 1992 a;nan
Bahamas;4 Dec 2008;23 Dec 2008;nan
Bahrain;;27 Sep 2007 a;nan
Bangladesh;;5 Oct 1998 a;nan
Barbados;;5 Jan 1973 a;nan
Belarus;19 Mar 1968;12 Nov 1973;nan
Belgium;10 Dec 1968;21 Apr 1983;nan
Belize;6 Sep 2000;9 Mar 2015;nan
Benin;;12 Mar 1992 a;nan
Bolivia (Plurinational State of);;12 Aug 1982 a;nan
Bosnia and Herzegovina 3;;1 Sep 1993 d;nan
Brazil;;24 Jan 1992 a;nan
Bulgaria;8 Oct 1968;21 Sep 1970;nan
Burkina Faso;;4 Jan 1999 a;nan
Burundi;;9 May 1990 a;nan
Cabo Verde;;6 Aug 1993 a;nan
Cambodia 4, 5;17 Oct 1980;26 May 1992 a;nan
Cameroon;;27 Jun 1984 a;nan
Canada;;19 May 1976 a;nan
Central African Republic;;8 May 1981 a;nan
Chad;;9 Jun 1995 a;nan
Chile;16 Sep 1969;10 Feb 1972;nan
China 6, 7, 8;27 Oct 1997;27 Mar 2001;nan
Colombia;21 Dec 1966;29 Oct 1969;nan
Comoros;25 Sep 2008;;nan
Congo;;5 Oct 1983 a;nan
Costa Rica;19 Dec 1966;29 Nov 1968;nan
Côte d'Ivoire;;26 Mar 1992 a;nan
Croatia 3;;12 Oct 1992 d;nan
Cuba;28 Feb 2008;;nan
Cyprus;9 Jan 1967;2 Apr 1969;nan
Czech Republic 9;;22 Feb 1993 d;nan
Democratic People's Republic of Korea;;14 Sep 1981 a;nan
Democratic Republic of the Congo;;1 Nov 1976 a;nan
Denmark;20 Mar 1968;6 Jan 1972;nan
Djibouti;;5 Nov 2002 a;nan
Dominica;;17 Jun 1993 a;nan
Dominican Republic;;4 Jan 1978 a;nan
Ecuador;29 Sep 1967;6 Mar 1969;nan
Egypt;4 Aug 1967;14 Jan 1982;nan
El Salvador;21 Sep 1967;30 Nov 1979;nan
Equatorial Guinea;;25 Sep 1987 a;nan
Eritrea;;17 Apr 2001 a;nan
Estonia;;21 Oct 1991 a;nan
Eswatini;;26 Mar 2004 a;nan
Ethiopia;;11 Jun 1993 a;nan
Fiji;;16 Aug 2018 a;nan
Finland;11 Oct 1967;19 Aug 1975;nan
France;;4 Nov 1980 a;nan
Gabon;;21 Jan 1983 a;nan
Gambia;;29 Dec 1978 a;nan
Georgia;;3 May 1994 a;nan
Germany 2, 10;9 Oct 1968;17 Dec 1973;nan
Ghana;7 Sep 2000;7 Sep 2000;nan
Greece;;16 May 1985 a;nan
Grenada;;6 Sep 1991 a;nan
Guatemala;;19 May 1988 a;nan
Guinea;28 Feb 1967;24 Jan 1978;nan
Guinea-Bissau;;2 Jul 1992 a;nan
Guyana;22 Aug 1968;15 Feb 1977;nan
Haiti;;8 Oct 2013 a;nan
Honduras;19 Dec 1966;17 Feb 1981;nan
Hungary;25 Mar 1969;17 Jan 1974;nan
Iceland;30 Dec 1968;22 Aug 1979;nan
India;;10 Apr 1979 a;nan
Indonesia;;23 Feb 2006 a;nan
Iran (Islamic Republic of);4 Apr 1968;24 Jun 1975;nan
Iraq;18 Feb 1969;25 Jan 1971;nan
Ireland;1 Oct 1973;8 Dec 1989;nan
Israel;19 Dec 1966;3 Oct 1991;nan
Italy;18 Jan 1967;15 Sep 1978;nan
Jamaica;19 Dec 1966;3 Oct 1975;nan
Japan;30 May 1978;21 Jun 1979;nan
Jordan;30 Jun 1972;28 May 1975;nan
Kazakhstan;2 Dec 2003;24 Jan 2006;nan
Kenya;;1 May 1972 a;nan
Kuwait;;21 May 1996 a;nan
Kyrgyzstan;;7 Oct 1994 a;nan
Lao People's Democratic Republic;7 Dec 2000;13 Feb 2007;nan
Latvia;;14 Apr 1992 a;nan
Lebanon;;3 Nov 1972 a;nan
Lesotho;;9 Sep 1992 a;nan
Liberia;18 Apr 1967;22 Sep 2004;nan
Libya;;15 May 1970 a;nan
Liechtenstein;;10 Dec 1998 a;nan
Lithuania;;20 Nov 1991 a;nan
Luxembourg;26 Nov 1974;18 Aug 1983;nan
Madagascar;14 Apr 1970;22 Sep 1971;nan
Malawi;;22 Dec 1993 a;nan
Maldives;;19 Sep 2006 a;nan
Mali;;16 Jul 1974 a;nan
Malta;22 Oct 1968;13 Sep 1990;nan
Marshall Islands;;12 Mar 2018 a;nan
Mauritania;;17 Nov 2004 a;nan
Mauritius;;12 Dec 1973 a;nan
Mexico;;23 Mar 1981 a;nan
Monaco;26 Jun 1997;28 Aug 1997;nan
Mongolia;5 Jun 1968;18 Nov 1974;nan
Montenegro 11;;23 Oct 2006 d;nan
Morocco;19 Jan 1977;3 May 1979;nan
Myanmar;16 Jul 2015;6 Oct 2017;nan
Namibia;;28 Nov 1994 a;nan
Nepal;;14 May 1991 a;nan
Netherlands 12;25 Jun 1969;11 Dec 1978;nan
New Zealand 13;12 Nov 1968;28 Dec 1978;nan
Nicaragua;;12 Mar 1980 a;nan
Niger;;7 Mar 1986 a;nan
Nigeria;;29 Jul 1993 a;nan
North Macedonia 3;;18 Jan 1994 d;nan
Norway;20 Mar 1968;13 Sep 1972;nan
Oman;;9 Jun 2020 a;nan
Pakistan;3 Nov 2004;17 Apr 2008;nan
Palau;20 Sep 2011;;nan
Panama;27 Jul 1976;8 Mar 1977;nan
Papua New Guinea;;21 Jul 2008 a;nan
Paraguay;;10 Jun 1992 a;nan
Peru;11 Aug 1977;28 Apr 1978;nan
Philippines;19 Dec 1966;7 Jun 1974;nan
Poland;2 Mar 1967;18 Mar 1977;nan
Portugal 6;7 Oct 1976;31 Jul 1978;nan
Qatar;;21 May 2018 a;nan
Republic of Korea;;10 Apr 1990 a;nan
Republic of Moldova;;26 Jan 1993 a;nan
Romania;27 Jun 1968;9 Dec 1974;nan
Russian Federation;18 Mar 1968;16 Oct 1973;nan
Rwanda;;16 Apr 1975 a;nan
San Marino;;18 Oct 1985 a;nan
Sao Tome and Principe;31 Oct 1995;10 Jan 2017;nan
Senegal;6 Jul 1970;13 Feb 1978;nan
Serbia 3;;12 Mar 2001 d;nan
Seychelles;;5 May 1992 a;nan
Sierra Leone;;23 Aug 1996 a;nan
Slovakia 9;;28 May 1993 d;nan
Slovenia 3;;6 Jul 1992 d;nan
Solomon Islands 14;;17 Mar 1982 d;nan
Somalia;;24 Jan 1990 a;nan
South Africa;3 Oct 1994;12 Jan 2015;nan
Spain;28 Sep 1976;27 Apr 1977;nan
Sri Lanka;;11 Jun 1980 a;nan
St. Vincent and the Grenadines;;9 Nov 1981 a;nan
State of Palestine;;2 Apr 2014 a;nan
Sudan;;18 Mar 1986 a;nan
Suriname;;28 Dec 1976 a;nan
Sweden;29 Sep 1967;6 Dec 1971;nan
Switzerland;;18 Jun 1992 a;nan
Syrian Arab Republic;;21 Apr 1969 a;nan
Tajikistan;;4 Jan 1999 a;nan
Thailand;;5 Sep 1999 a;nan
Timor-Leste;;16 Apr 2003 a;nan
Togo;;24 May 1984 a;nan
Trinidad and Tobago;;8 Dec 1978 a;nan
Tunisia;30 Apr 1968;18 Mar 1969;nan
Türkiye;15 Aug 2000;23 Sep 2003;nan
Turkmenistan;;1 May 1997 a;nan
Uganda;;21 Jan 1987 a;nan
Ukraine;20 Mar 1968;12 Nov 1973;nan
United Kingdom of Great Britain and Northern Ireland 8, 15;16 Sep 1968;20 May 1976;nan
United Republic of Tanzania;;11 Jun 1976 a;nan
United States of America;5 Oct 1977;;nan
Uruguay;21 Feb 1967;1 Apr 1970;nan
Uzbekistan;;28 Sep 1995 a;nan
Venezuela (Bolivarian Republic of);24 Jun 1969;10 May 1978;nan
Viet Nam;;24 Sep 1982 a;nan
Yemen 16;;9 Feb 1987 a;nan
Zambia;;10 Apr 1984 a;nan
Zimbabwe;;13 May 1991 a;nan
