ISO_Code;UN_Reg;UN_SubReg;country_name_not_used;Ctry_Land;IC_T;IC_T_Src;IC_T_Cat;IC_F;IC_F_Src;IC_F_Cat;IC_NF;IC_NF_Src;IC_NF_Cat;IC_Notes;TIME_PERIOD;ATTR_ENDPOINT
ALA;Europe;Northern Europe;Ã…land Islands (Finland);131766.97;No data;;No data;11.7;(Fabrice Dubertret, 2015 - Calculation based on RRI, 2015);5.1-20%;No data;;No data;0.155 Mha out of the total Ã…land land area (1.33 Mha) are recognized as Local Community Ownership. Thus, 11.65% of the archipelago land base is formally recognized as owned by Indigenous peoples and local communities. It represents 0.51% of the total Finland area.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
AFG;Asia;Southern Asia;Afghanistan;64175884.4;No data;;No data;;;No data;No data;;No data;No estimates of the country land area being indigenous and community lands could be found for Afghanistan. Still, some not formally recognized lands are occupied and used by communities in the country. See the community level data displayed on LandMark for Afghanistan.<br>Source of the dataset : Solidarites International, 2013, 22 community pastures in Afghanistan. SI, Afghanistan.;2017;
ALB;Europe;Southern Europe;Albania;2816323.63;No data;;No data;;;No data;No data;;No data;;2017;
DZA;Africa;Northern Africa;Algeria;230683118.2;92.1%;(Liz Alden Wily, 2015);80.1-100%;14.2;(Liz Alden Wily, 2015);5.1-20%;77.8%;(Liz Alden Wily, 2015);60.1-80%;Limited information.<br>In accordance with land reform law of 1990, secure rural tenure is only available through issue of Certificates of Possession for developing arable farming, now well extended into grazing and alfa steppe land.<br>Families, clans and other groups secure possession under Exploitation Agricole Collectives (EAC), legally provided for in 1987 for occupation of traditional communal and tribal collective property (arch). No data on present allocations but in 2004 EAC and other registered family societies and cooperatives held nearly one million ha (FAO, 2005, Utilisation des engrais par culture en Algerie, Rome).<br>After abandonment of Pastoral Code in 1982, a High Commission for Steppe Development establishes pastoral development partnerships with communes (local governments) and which allocate use rights.<br>On the basis of information in D. Nedjraoui, 2006, Country Pasture/Forage Resource Profiles, FAO, this assessment assumes that all grazing and alfa steppe (32.7 million ha) now likely to be under use agreements or Certificates of Possession as above.<br>81% of Algeria is defined as unproductive lands (deserts) and status of traditional tribal based rights to these lands is unknown.<br>Sharp decline in nomadic pastoralism reported by Nedjraoui, 2006. FAO 2005 gives official figure of private rural lands as 2.46%.<br>Refer review of laws elsewhere on site (Liz Alden Wily).;2017;
ASM;Oceania;Polynesia;American Samoa (U.S.);22333.4794;0.85;(Fabrice Dubertret, based on Don Paterson, 2012);80.1-100%;85.0;(Fabrice Dubertret, based on Don Paterson, 2012);80.1-100%;0;(Fabrice Dubertret, based on Don Paterson, 2012);0;A large majority of American Samoa land is customary land (80-90%).<br>Source : Don Paterson, 2012, Overview of Land Systems in English-speaking Island Countries of the South Pacific, Law and Culture 2012: Pacific Law and NZ/Aotearoa Conference. Available at http://www.paclii.org/law-and-culture/An overview of Land Systems in English speaking Island countries of the South Pacific_Power Point.pdf<br><br>An indicative figure of 85% is used here.<br><br>As customary tenure is extensively protected in the constitution or by law, we may consider that all customary lands are formally recognized in the country.;2017;
AND;Europe;Southern Europe;Andorra;45107.6949;No data;;No data;;;No data;No data;;No data;;2017;
AGO;Africa;Middle Africa;Angola;125125522.545;76.9%;(Liz Alden Wily, 2015);60.1-80%;0;(Liz Alden Wily, 2015);0;76.8%;(Liz Alden Wily, 2015);60.1-80%;"Secure occupation and use includes issue of one Certificate of Useful Domain to a San group in 2005 for 1,389 ha and two other Certificates issued to agricultural groups in Huambo Province at 602 ha.<br>Private titled rural lands: no data from Cadastre available but estimates ranged between 10-15% in 2007-2010.<br>Sources on data include:<br>pers. comm., Allan Cain, Development Workshop, Luanda (Aug-Sept 2015);<br>pers comm. Aaron de Grassi (Aug 2015);<br>USAID, 2007, Strengthening Land Tenure and Property Rights in Angola;<br>USAID, 2010, USAID Country Profile, Property Rights and Resource Governance;<br>USAID, 2008, Land Rights Formalization in Rural and Peri-Urban Settings in Angola, Draft Operations Manual;<br>Aaron de Grassi, 2012, Geographies of Construction and Trajectories of Agrarian Change in Oil-Boom Angola, Cornell University;<br>Francosco Carranza and Jordan Treakle, April 2014, Land, Territorial Development and Family Farming in Angola A holistic approach to community based natural resource governance: The case of Bier, Huambo and Huila Provinces, Land and Water Division Working Paper 9, FAO;<br>Allan Cain (2013), Angola: Land resources and conflict, in Land and Post-Conflict Peacebuilding (Jon Unruh, Rhodri C. Williams (eds). Earthscan from Routledge; Nicholas Shaxson, Joao Neves & Fernando Pacheco, March 2008 for DFID, Drivers of Change, Angola.<br>Refer review of laws against indicators elsewhere (Liz Alden Wily).";2017;
AIA;Americas;Caribbean;Anguilla (UK);8221.745;No data;;No data;;;No data;No data;;No data;;2017;
ATG;Americas;Caribbean;Antigua and Barbuda;42981.768000000004;No data;;No data;;;No data;No data;;No data;;2017;
ARG;Americas;South America;Argentina;272985130.0;5.5%;(INAI, 2012);0.1-5%;2.9;(RRI, 2015);0.1-5%;2.6%;"(Fabrice Dubertret, 2015 - Calculation based on RRI,2015; INAI,2012)";0.1-5%;Lands managed and owned by Indigenous peoples total 2.74 Mha (1.00% of Argentina), Additionally, 5.29 Mha (1.93% of the  country land area) are designated as lands traditionally occupied by Indigenous peoples in public and private lands. Some lands reserved by the government for Indigenous peoples and communities under the process of titling and ownership also exist, but no data was available on their total area. Thus, 2.93% of Argentina is now formally recognized as Indigenous and community lands, at different levels of documentation.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br><br>According to the National Institute of Indigenous Affairs (INAI), Indigenous communities occupy 15 Mha in Argentina.<br>Source : Instituto Nacional de Asuntos IndÃ­genas, 2012. Informe de Auditoria : Programa 16 - AtenciÃ³n y Desarrollo de Poblaciones IndÃ­genas. Available at : http://agn.gov.ar/files/informes/2012_083info.pdf;2017;
