Country;ATTR_RATIFICATION_DATE;TIME_PERIOD;ATTR_ENDPOINT
Afghanistan;26.09.1956;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Albania;27.05.1957;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Algeria;03.07.1962;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Andorra;17.09.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Angola;20.09.1984;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Antigua and Barbuda;06.10.1986;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Argentina;18.09.1956;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Armenia;07.06.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Australia;14.10.1958;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Austria;27.08.1953;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Azerbaijan;01.06.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Bahamas;11.07.1975;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Bahrain;30.11.1971;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Bangladesh;04.04.1972;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Barbados;10.09.1968;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Belarus;03.08.1954;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Belgium;03.09.1952;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Belize;29.06.1984;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Benin;14.12.1961;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Bhutan;10.01.1991;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Bolivia;10.12.1976;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Bosnia and Herzegovina;31.12.1992;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Botswana;29.03.1968;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Brazil;29.06.1957;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Brunei Darussalam;14.10.1991;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Bulgaria;22.07.1954;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Burkina Faso;07.11.1961;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Burundi;27.12.1971;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Cabo Verde;11.05.1984;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
