Country;Date;Status;Note;ATTR_ENDPOINT
Afghanistan;07 Apr 2010;In Force;;nan
Albania;02 Aug 2001;In Force;;nan
Algeria;09 Feb 2001;In Force;;nan
Angola;13 Jun 2001;In Force;;nan
Antigua and Barbuda;16 Sep 2002;In Force;;nan
Argentina;05 Feb 2001;In Force;;nan
Armenia;02 Jan 2006;In Force;;nan
Australia;19 Dec 2006;In Force;;nan
Austria;04 Dec 2001;In Force;;nan
Azerbaijan;30 Mar 2004;In Force;;nan
Bahamas;14 Jun 2001;In Force;;nan
Bahrain;23 Mar 2001;In Force;;nan
Bangladesh;12 Mar 2001;In Force;;nan
Barbados;23 Oct 2000;In Force;;nan
Belarus;31 Oct 2000;In Force;;nan
Belgium;08 May 2002;In Force;;nan
Belize;06 Mar 2000;In Force;;nan
Benin;06 Nov 2001;In Force;;nan
Bolivia (Plurinational State of);06 Jun 2003;In Force;;nan
Bosnia and Herzegovina;05 Oct 2001;In Force;;nan
Botswana;03 Jan 2000;In Force;;nan
Brazil;02 Feb 2000;In Force;;nan
Brunei Darussalam;09 Jun 2008;In Force;;nan
Bulgaria;28 Jul 2000;In Force;;nan
Burkina Faso;25 Jul 2001;In Force;;nan
Burundi;11 Jun 2002;In Force;;nan
Cabo Verde;23 Oct 2001;In Force;;nan
Cambodia;14 Mar 2006;In Force;;nan
Cameroon;05 Jun 2002;In Force;;nan
Canada;06 Jun 2000;In Force;;nan
Central African Republic;28 Jun 2000;In Force;;nan
Chad;06 Nov 2000;In Force;;nan
Chile;17 Jul 2000;In Force;;nan
China;08 Aug 2002;In Force;;nan
Colombia;28 Jan 2005;In Force;;nan
Comoros;17 Mar 2004;In Force;;nan
Congo;23 Aug 2002;In Force;;nan
Cook Islands;15 Aug 2018;In Force;;nan
Costa Rica;10 Sep 2001;In Force;;nan
Croatia;17 Jul 2001;In Force;;nan
Cuba;28 Sep 2015;In Force;;nan
Cyprus;27 Nov 2000;In Force;;nan
Czechia;19 Jun 2001;In Force;;nan
Côte d'Ivoire;07 Feb 2003;In Force;;nan
Democratic Republic of the Congo;20 Jun 2001;In Force;;nan
Denmark;14 Aug 2000;In Force;;nan
Djibouti;28 Feb 2005;In Force;;nan
Dominica;04 Jan 2001;In Force;;nan
Dominican Republic;15 Nov 2000;In Force;;nan
Ecuador;19 Sep 2000;In Force;;nan
Egypt;06 May 2002;In Force;;nan
El Salvador;12 Oct 2000;In Force;;nan
Equatorial Guinea;13 Aug 2001;In Force;;nan
Eritrea;03 Jun 2019;In Force;;nan
Estonia;24 Sep 2001;In Force;;nan
Eswatini;23 Oct 2002;In Force;;nan
Ethiopia;02 Sep 2003;In Force;;nan
Fiji;17 Apr 2002;In Force;;nan
Finland;17 Jan 2000;In Force;;nan
France;11 Sep 2001;In Force;;nan
Gabon;28 Mar 2001;In Force;;nan
Gambia;03 Jul 2001;In Force;;nan
Georgia;24 Jul 2002;In Force;;nan
Germany;18 Apr 2002;In Force;;nan
Ghana;13 Jun 2000;In Force;;nan
Greece;06 Nov 2001;In Force;;nan
Grenada;14 May 2003;In Force;;nan
Guatemala;11 Oct 2001;In Force;;nan
Guinea;06 Jun 2003;In Force;;nan
Guinea - Bissau;26 Aug 2008;In Force;;nan
Guyana;15 Jan 2001;In Force;;nan
Haiti;19 Jul 2007;In Force;;nan
Honduras;25 Oct 2001;In Force;;nan
Hungary;20 Apr 2000;In Force;;nan
Iceland;29 May 2000;In Force;;nan
India;13 Jun 2017;In Force;;nan
Indonesia;28 Mar 2000;In Force;;nan
Iran (Islamic Republic of);08 May 2002;In Force;;nan
Iraq;09 Jul 2001;In Force;;nan
Ireland;20 Dec 1999;In Force;;nan
Israel;15 Mar 2005;In Force;;nan
Italy;07 Jun 2000;In Force;;nan
Jamaica;13 Oct 2003;In Force;;nan
Japan;18 Jun 2001;In Force;;nan
Jordan;20 Apr 2000;In Force;;nan
Kazakhstan;26 Feb 2003;In Force;;nan
Kenya;07 May 2001;In Force;;nan
Kiribati;17 Jun 2009;In Force;;nan
Kuwait;15 Aug 2000;In Force;;nan
Kyrgyzstan;10 May 2004;In Force;;nan
Lao People's Democratic Republic;13 Jun 2005;In Force;;nan
