COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2023;No;This indicator assesses whether a country has joined the Voluntary Principles on Security and Human Rights and therefore, whether it actively promotes the implementation of a set of principles that guide companies on providing security for their operations while respecting human rights.;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2023;No;This indicator assesses whether a country has joined the Voluntary Principles on Security and Human Rights and therefore, whether it actively promotes the implementation of a set of principles that guide companies on providing security for their operations while respecting human rights.;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2023;No;This indicator assesses whether a country has joined the Voluntary Principles on Security and Human Rights and therefore, whether it actively promotes the implementation of a set of principles that guide companies on providing security for their operations while respecting human rights.;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2023;No;This indicator assesses whether a country has joined the Voluntary Principles on Security and Human Rights and therefore, whether it actively promotes the implementation of a set of principles that guide companies on providing security for their operations while respecting human rights.;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2023;No;This indicator assesses whether a country has joined the Voluntary Principles on Security and Human Rights and therefore, whether it actively promotes the implementation of a set of principles that guide companies on providing security for their operations while respecting human rights.;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2023;No;This indicator assesses whether a country has joined the Voluntary Principles on Security and Human Rights and therefore, whether it actively promotes the implementation of a set of principles that guide companies on providing security for their operations while respecting human rights.;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2023;Yes;This indicator assesses whether a country has joined the Voluntary Principles on Security and Human Rights and therefore, whether it actively promotes the implementation of a set of principles that guide companies on providing security for their operations while respecting human rights.;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2023;No;This indicator assesses whether a country has joined the Voluntary Principles on Security and Human Rights and therefore, whether it actively promotes the implementation of a set of principles that guide companies on providing security for their operations while respecting human rights.;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2023;Yes;This indicator assesses whether a country has joined the Voluntary Principles on Security and Human Rights and therefore, whether it actively promotes the implementation of a set of principles that guide companies on providing security for their operations while respecting human rights.;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2023;No;This indicator assesses whether a country has joined the Voluntary Principles on Security and Human Rights and therefore, whether it actively promotes the implementation of a set of principles that guide companies on providing security for their operations while respecting human rights.;;;;;;;;;;;;AT;AUT;AUT;nan
