country_col_not_used;ISO3;Earthquake;Flood;Tsunami;Tropical Cyclone;Drought;Epidemic;Natural;Projected Conflict Risk;Current Highly Violent Conflict Intensity;Human;HAZARD & EXPOSURE;Development & Deprivation;Inequality;Economic Dependency;Socio-Economic Vulnerability;Uprooted people;Health Conditions;Children U5;Recent Shocks;Food Security;Other Vulnerable Groups;Vulnerable Groups;VULNERABILITY;DRR;Governance;Institutional;Communication;Physical infrastructure;Access to health care;Infrastructure;LACK OF COPING CAPACITY;RAW_OBS_VALUE;RISK CLASS;Rank;Lack of Reliability (*);Number of Missing Indicators;% of Missing Indicators;Countries in HVC;Recentness data (average years);TIME_PERIOD;ATTR_ENDPOINT
Afghanistan;AFG;9.7;7.2;0;0;8.4;6.9;6.7;10;10;10;8.9;8.6;7.7;5.1;7.5;10;2.1;4.5;7.2;7.8;5.8;8.7;8.2;6.3;8.2;7.3;6.3;7.3;8.3;7.3;7.3;8.1;Very High;2;2.774774774774775;4;0.0784313725490196;YES;0.21621621621621623;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Albania;ALB;9.3;4.7;7.8;0;6.9;4.8;6.4;0.9;0;0.6;4.1;1.9;2.6;2.2;2.2;0;0.2;0.5;3.6;0.8;1.4;0.7;1.5;x;5.7;5.7;2.2;1.7;2.5;2.1;4.1;2.9;Low;120;3.686274509803922;10;0.19607843137254902;;0.19117647058823528;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Algeria;DZA;8.8;5.2;4.6;0;2.3;3.4;4.7;6.8;0;4.8;4.8;3.1;3.3;0.2;2.4;5.3;0.4;1.3;0.1;0.4;0.6;3.3;2.9;3.5;6.2;4.9;3.3;4.1;3.9;3.8;4.4;3.9;Medium;84;2.829629629629629;2;0.0392156862745098;;0.4305555555555556;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Angola;AGO;0.1;5.1;0;0;3.7;6.6;3.1;5.5;0;3.9;3.5;8.1;7.2;0.1;5.9;4.8;5.5;5.1;0.1;4.9;4.2;4.5;5.2;5.3;7.3;6.3;7.1;8;7.3;7.5;6.9;5;High;47;1.441441441441441;0;0;;0.2702702702702703;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Antigua and Barbuda;ATG;5.2;0.1;0;8.4;0;3.5;3.7;0;0;0;2;2.5;x;1.1;2;0;0.1;0.5;0;5.4;1.8;0.9;1.5;5.4;5;5.2;0.8;0.7;2.7;1.4;3.5;2.2;Low;147;4.946236559139785;19;0.37254901960784315;;0.1774193548387097;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Argentina;ARG;6.7;6.5;0;0;3.6;4;4;1.8;0;1.3;2.8;1.4;4.4;0;1.8;3;0.4;0.6;0.1;1.1;0.6;1.9;1.9;3.8;5.2;4.5;1.6;3;1.5;2;3.4;2.6;Low;126;2.859259259259259;6;0.11764705882352941;;0.2361111111111111;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Armenia;ARM;8.2;4.3;0;0;5.2;5.1;4.5;2.3;0;1.6;3.2;1.5;2.9;2.1;2;4.6;0.3;0.8;0.3;1.6;0.8;2.9;2.5;7.5;5.4;6.5;1.9;1.2;2.7;1.9;4.6;3.3;Low;103;2.097297297297297;3;0.058823529411764705;;0.24324324324324326;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Australia;AUS;0.2;5.3;7.2;4.8;6.5;2.2;4.8;0;0;0;2.7;0;1.9;0;0.5;6.2;0.1;0.3;0;1.1;0.4;3.9;2.4;2.4;2.1;2.3;1.9;3;0.5;1.8;2.1;2.4;Low;135;3.621890547263681;10;0.19607843137254902;;0.1791044776119403;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Austria;AUT;4.2;5.5;0;0;1.9;1.6;2.5;0;0;0;1.3;0;1.1;0.1;0.3;7;0.1;0.3;0;0.4;0.2;4.4;2.6;2;2.2;2.1;1.7;0;0.6;0.8;1.5;1.7;Very Low;168;4.615384615384615;13;0.2549019607843137;;0.2153846153846154;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Azerbaijan;AZE;8.8;4.9;0;0;5.3;5.5;4.9;5.6;0;3.9;4.4;2.9;4.3;0.4;2.6;8.1;1;1.4;0;1.4;1;5.6;4.3;x;6.1;6.1;1.7;3.1;2.1;2.3;4.5;4.4;Medium;67;4.2285714285714295;9;0.17647058823529413;;0.34285714285714286;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Bahamas;BHS;0.1;0.1;0;8.8;1.9;3.7;3.4;0;0;0;1.9;1.9;4.7;1.8;2.6;0.9;1.2;0.8;1.9;6.5;3;2;2.3;x;3.8;3.8;2.2;2;3.2;2.5;3.2;2.4;Low;135;5.166666666666667;16;0.3137254901960784;;0.21875;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Bahrain;BHR;0.1;0.1;0;0;0;4.1;0.9;0.3;0;0.2;0.6;1.2;2.8;0;1.3;1.1;0.1;0.5;0;1.2;0.5;0.8;1.1;3.8;5.2;4.5;1;0;2.6;1.2;3;1.3;Very Low;180;4.761904761904762;18;0.35294117647058826;;0.14285714285714285;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Bangladesh;BGD;9.2;10;8.2;6.9;4.7;7.6;8.2;9.3;0;6.5;7.4;6.7;4.5;1.2;4.8;7.7;2;3.6;4;4.1;3.5;6;5.4;3;7;5;5;4.9;5.2;5;5;5.8;High;26;1.6533333333333324;3;0.058823529411764705;;0.16;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Barbados;BRB;5.6;0.1;5.7;4.6;0.5;4.4;3.8;0;0;0;2.1;2.6;3.4;0.5;2.3;0;1.1;0.9;0;2.2;1.1;0.6;1.5;2.8;4;3.4;1.6;0.2;3;1.6;2.5;2;Low;153;5.349253731343284;12;0.23529411764705882;;0.40298507462686567;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
