goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;attributes.Observation Status;dimensions.Reporting Type;dimensions.Policy instruments;ATTR_ENDPOINT
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;8;Albania;2019.0;1;Float;;;;;;Ministry of Tourism and Environment;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;19;Americas;2017.0;4;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;19;Americas;2019.0;2;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;19;Americas;2019.0;2;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_VOLSRG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;19;Americas;2019.0;5;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;19;Americas;2020.0;5;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;19;Americas;2020.0;3;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;19;Americas;2021.0;2;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;28;Antigua and Barbuda;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;28;Antigua and Barbuda;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;32;Argentina;2020.0;1;Float;;;;;;Ministry of Environment and Sustainable Development;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;36;Australia;2022.0;1;Float;;;;;;Department of Agriculture, Water and the Environment and Department of Climate Change, Energy, the Environment and Water;;[''];C;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;36;Australia;2022.0;1;Float;;;;;;Department of Agriculture, Water and the Environment and Department of Climate Change, Energy, the Environment and Water;;[''];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;53;Australia and New Zealand;2022.0;1;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;53;Australia and New Zealand;2022.0;1;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;40;Austria;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
