goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;dimensions.Reporting Type;ATTR_ENDPOINT
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;4;Afghanistan;2015.0;16.67;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;4;Afghanistan;2020.0;40;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;2;Africa;2015.0;40.71;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;2;Africa;2020.0;46.92;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;8;Albania;2015.0;33.33;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;8;Albania;2020.0;80;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;12;Algeria;2015.0;66.67;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;12;Algeria;2020.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;19;Americas;2015.0;61.27;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;19;Americas;2020.0;61.88;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
