iso3;day_of_rest;ATTR_ENDPOINT
AFG;3.0;nan
ALB;3.0;nan
DZA;3.0;nan
AND;3.0;nan
AGO;3.0;nan
ATG;3.0;nan
ARG;4.0;nan
ARM;4.0;nan
AUS;1.0;nan
AUT;4.0;nan
AZE;5.0;nan
BHS;3.0;nan
BHR;3.0;nan
BGD;3.0;nan
BRB;1.0;nan
BLR;5.0;nan
BEL;3.0;nan
BLZ;3.0;nan
BEN;3.0;nan
BTN;3.0;nan
BOL;3.0;nan
BIH;3.0;nan
BWA;3.0;nan
BRA;3.0;nan
BRN;3.0;nan
BGR;4.0;nan
BFA;3.0;nan
BDI;1.0;nan
KHM;3.0;nan
CMR;3.0;nan
CAN;3.0;nan
CPV;3.0;nan
CAF;3.0;nan
TCD;3.0;nan
CHL;4.0;nan
CHN;3.0;nan
COL;3.0;nan
COM;3.0;nan
CRI;3.0;nan
CIV;3.0;nan
HRV;3.0;nan
CUB;3.0;nan
CYP;3.0;nan
CZE;4.0;nan
PRK;3.0;nan
COD;5.0;nan
DNK;4.0;nan
DJI;3.0;nan
DMA;3.0;nan
DOM;4.0;nan
ECU;5.0;nan
EGY;3.0;nan
SLV;3.0;nan
GNQ;3.0;nan
ERI;3.0;nan
EST;4.0;nan
SWZ;1.0;nan
ETH;3.0;nan
FJI;3.0;nan
FIN;4.0;nan
FRA;3.0;nan
GAB;3.0;nan
GEO;1.0;nan
DEU;4.0;nan
GHA;5.0;nan
GRC;3.0;nan
GRD;3.0;nan
GTM;3.0;nan
GIN;3.0;nan
GNB;3.0;nan
GUY;1.0;nan
HTI;3.0;nan
HND;3.0;nan
HUN;5.0;nan
ISL;3.0;nan
IND;1.0;nan
IDN;3.0;nan
IRN;3.0;nan
IRQ;3.0;nan
IRL;4.0;nan
ISR;4.0;nan
ITA;3.0;nan
JAM;3.0;nan
JPN;3.0;nan
JOR;3.0;nan
KAZ;3.0;nan
KEN;3.0;nan
KIR;1.0;nan
KWT;3.0;nan
KGZ;3.0;nan
LAO;3.0;nan
LVA;5.0;nan
LBN;4.0;nan
LSO;3.0;nan
LBR;3.0;nan
LBY;3.0;nan
LIE;3.0;nan
LTU;4.0;nan
LUX;5.0;nan
MDG;3.0;nan
MWI;3.0;nan
MYS;3.0;nan
MDV;3.0;nan
MLI;3.0;nan
MLT;3.0;nan
MHL;1.0;nan
MRT;3.0;nan
MUS;3.0;nan
MEX;3.0;nan
FSM;1.0;nan
MDA;3.0;nan
MCO;3.0;nan
MNG;5.0;nan
MNE;3.0;nan
MAR;3.0;nan
MOZ;;nan
MMR;1.0;nan
NAM;4.0;nan
NRU;3.0;nan
NPL;3.0;nan
NZL;1.0;nan
NIC;3.0;nan
NER;3.0;nan
NGA;3.0;nan
MKD;3.0;nan
NOR;4.0;nan
OMN;5.0;nan
PAK;1.0;nan
PLW;;nan
PAN;3.0;nan
PNG;3.0;nan
PRY;3.0;nan
PER;3.0;nan
POL;4.0;nan
PRT;4.0;nan
QAT;3.0;nan
KOR;3.0;nan
COG;3.0;nan
ROU;5.0;nan
RUS;5.0;nan
RWA;3.0;nan
WSM;3.0;nan
SMR;3.0;nan
STP;3.0;nan
SAU;3.0;nan
SEN;3.0;nan
SRB;3.0;nan
SYC;3.0;nan
SLE;1.0;nan
SGP;3.0;nan
SVK;5.0;nan
SVN;3.0;nan
SLB;3.0;nan
SOM;3.0;nan
ZAF;4.0;nan
SSD;1.0;nan
ESP;4.0;nan
LKA;1.0;nan
KNA;;nan
LCA;3.0;nan
VCT;1.0;nan
SDN;1.0;nan
SUR;3.0;nan
SWE;4.0;nan
CHE;4.0;nan
SYR;3.0;nan
TJK;3.0;nan
TZA;3.0;nan
THA;3.0;nan
GMB;1.0;nan
NLD;4.0;nan
PHL;3.0;nan
TLS;3.0;nan
TGO;3.0;nan
TON;1.0;nan
TTO;1.0;nan
TUN;3.0;nan
TUR;3.0;nan
TKM;3.0;nan
TUV;1.0;nan
UGA;3.0;nan
UKR;3.0;nan
ARE;3.0;nan
GBR;3.0;nan
USA;1.0;nan
URY;3.0;nan
UZB;3.0;nan
VUT;3.0;nan
VEN;5.0;nan
VNM;3.0;nan
YEM;3.0;nan
ZMB;1.0;nan
ZWE;3.0;nan
