iso3;night_premium;ATTR_ENDPOINT
AFG;4.0;nan
ALB;5.0;nan
DZA;1.0;nan
AND;2.0;nan
AGO;2.0;nan
ATG;1.0;nan
ARG;2.0;nan
ARM;5.0;nan
AUS;1.0;nan
AUT;1.0;nan
AZE;;nan
BHS;1.0;nan
BHR;5.0;nan
BGD;1.0;nan
BRB;1.0;nan
BLR;4.0;nan
BEL;1.0;nan
BLZ;1.0;nan
BEN;1.0;nan
BTN;1.0;nan
BOL;4.0;nan
BIH;3.0;nan
BWA;1.0;nan
BRA;2.0;nan
BRN;1.0;nan
BGR;3.0;nan
BFA;1.0;nan
BDI;2.0;nan
KHM;5.0;nan
CMR;1.0;nan
CAN;1.0;nan
CPV;4.0;nan
CAF;1.0;nan
TCD;1.0;nan
CHL;1.0;nan
CHN;1.0;nan
COL;2.0;nan
COM;5.0;nan
CRI;1.0;nan
CIV;1.0;nan
HRV;3.0;nan
CUB;1.0;nan
CYP;1.0;nan
CZE;4.0;nan
PRK;1.0;nan
COD;4.0;nan
DNK;1.0;nan
DJI;1.0;nan
DMA;1.0;nan
DOM;4.0;nan
ECU;4.0;nan
EGY;1.0;nan
SLV;4.0;nan
GNQ;5.0;nan
ERI;1.0;nan
EST;4.0;nan
SWZ;1.0;nan
ETH;1.0;nan
FJI;1.0;nan
FIN;1.0;nan
FRA;3.0;nan
GAB;;nan
GEO;1.0;nan
DEU;3.0;nan
GHA;1.0;nan
GRC;4.0;nan
GRD;1.0;nan
GTM;1.0;nan
GIN;4.0;nan
GNB;4.0;nan
GUY;1.0;nan
HTI;5.0;nan
HND;4.0;nan
HUN;2.0;nan
ISL;1.0;nan
IND;1.0;nan
IDN;1.0;nan
IRN;5.0;nan
IRQ;1.0;nan
IRL;1.0;nan
ISR;1.0;nan
ITA;3.0;nan
JAM;1.0;nan
JPN;4.0;nan
JOR;1.0;nan
KAZ;5.0;nan
KEN;1.0;nan
KIR;1.0;nan
KWT;1.0;nan
KGZ;5.0;nan
LAO;4.0;nan
LVA;5.0;nan
LBN;1.0;nan
LSO;3.0;nan
LBR;1.0;nan
LBY;1.0;nan
LIE;2.0;nan
LTU;5.0;nan
LUX;4.0;nan
MDG;5.0;nan
MWI;1.0;nan
MYS;1.0;nan
MDV;1.0;nan
MLI;1.0;nan
MLT;1.0;nan
MHL;1.0;nan
MRT;1.0;nan
MUS;4.0;nan
MEX;1.0;nan
FSM;1.0;nan
MDA;5.0;nan
MCO;1.0;nan
MNG;1.0;nan
MNE;3.0;nan
MAR;1.0;nan
MOZ;4.0;nan
MMR;1.0;nan
NAM;4.0;nan
NRU;1.0;nan
NPL;1.0;nan
NZL;1.0;nan
NIC;1.0;nan
NER;1.0;nan
NGA;1.0;nan
MKD;3.0;nan
NOR;1.0;nan
OMN;1.0;nan
PAK;1.0;nan
PLW;;nan
PAN;1.0;nan
PNG;1.0;nan
PRY;5.0;nan
PER;5.0;nan
POL;4.0;nan
PRT;2.0;nan
QAT;2.0;nan
KOR;5.0;nan
COG;1.0;nan
ROU;4.0;nan
RUS;3.0;nan
RWA;1.0;nan
WSM;1.0;nan
SMR;4.0;nan
STP;4.0;nan
SAU;1.0;nan
SEN;1.0;nan
SRB;5.0;nan
SYC;1.0;nan
SLE;1.0;nan
SGP;1.0;nan
SVK;4.0;nan
SVN;;nan
SLB;1.0;nan
SOM;2.0;nan
ZAF;3.0;nan
SSD;1.0;nan
ESP;3.0;nan
LKA;2.0;nan
KNA;;nan
LCA;1.0;nan
VCT;1.0;nan
SDN;1.0;nan
SUR;1.0;nan
SWE;1.0;nan
CHE;4.0;nan
SYR;1.0;nan
TJK;5.0;nan
TZA;4.0;nan
THA;1.0;nan
GMB;1.0;nan
NLD;1.0;nan
PHL;4.0;nan
TLS;4.0;nan
TGO;1.0;nan
TON;1.0;nan
TTO;1.0;nan
TUN;1.0;nan
TUR;1.0;nan
TKM;5.0;nan
TUV;1.0;nan
UGA;1.0;nan
UKR;1.0;nan
ARE;1.0;nan
GBR;1.0;nan
USA;1.0;nan
URY;1.0;nan
UZB;5.0;nan
VUT;1.0;nan
VEN;5.0;nan
VNM;5.0;nan
YEM;4.0;nan
ZMB;4.0;nan
ZWE;1.0;nan
