iso3;minwage_leg;ATTR_ENDPOINT
AFG;5.0;nan
ALB;5.0;nan
DZA;5.0;nan
AND;5.0;nan
AGO;5.0;nan
ATG;5.0;nan
ARG;5.0;nan
ARM;5.0;nan
AUS;5.0;nan
AUT;5.0;nan
AZE;5.0;nan
BHS;5.0;nan
BHR;1.0;nan
BGD;5.0;nan
BRB;5.0;nan
BLR;5.0;nan
BEL;3.0;nan
BLZ;5.0;nan
BEN;5.0;nan
BTN;5.0;nan
BOL;5.0;nan
BIH;3.0;nan
BWA;5.0;nan
BRA;5.0;nan
BRN;1.0;nan
BGR;5.0;nan
BFA;5.0;nan
BDI;5.0;nan
KHM;5.0;nan
CMR;5.0;nan
CAN;5.0;nan
CPV;1.0;nan
CAF;5.0;nan
TCD;5.0;nan
CHL;5.0;nan
CHN;5.0;nan
COL;5.0;nan
COM;5.0;nan
COD;5.0;nan
COG;5.0;nan
CRI;5.0;nan
CIV;5.0;nan
HRV;3.0;nan
CUB;5.0;nan
CYP;5.0;nan
CZE;5.0;nan
DNK;3.0;nan
DJI;1.0;nan
DMA;5.0;nan
DOM;5.0;nan
ECU;5.0;nan
EGY;5.0;nan
SLV;5.0;nan
GNQ;5.0;nan
ERI;1.0;nan
EST;5.0;nan
SWZ;5.0;nan
ETH;1.0;nan
FJI;5.0;nan
FIN;3.0;nan
FRA;5.0;nan
GAB;5.0;nan
GMB;5.0;nan
GEO;5.0;nan
DEU;3.0;nan
GHA;5.0;nan
GRC;3.0;nan
GRD;5.0;nan
GTM;5.0;nan
GIN;1.0;nan
GNB;5.0;nan
GUY;5.0;nan
HTI;5.0;nan
HND;5.0;nan
HUN;5.0;nan
ISL;3.0;nan
IND;5.0;nan
IDN;5.0;nan
IRN;5.0;nan
IRQ;5.0;nan
IRL;5.0;nan
ISR;5.0;nan
ITA;3.0;nan
JAM;5.0;nan
JPN;5.0;nan
JOR;5.0;nan
KAZ;5.0;nan
KEN;5.0;nan
KIR;1.0;nan
PRK;;nan
KOR;5.0;nan
KWT;5.0;nan
KGZ;5.0;nan
LAO;5.0;nan
LVA;5.0;nan
LBN;5.0;nan
LSO;5.0;nan
LBR;5.0;nan
LBY;5.0;nan
LIE;;nan
LTU;5.0;nan
LUX;5.0;nan
MDG;5.0;nan
MWI;5.0;nan
MYS;1.0;nan
MDV;1.0;nan
MLI;5.0;nan
MLT;5.0;nan
MHL;5.0;nan
MRT;5.0;nan
MUS;5.0;nan
MEX;5.0;nan
FSM;;nan
MDA;5.0;nan
MCO;5.0;nan
MNG;5.0;nan
MNE;5.0;nan
MAR;5.0;nan
MOZ;5.0;nan
MMR;5.0;nan
NAM;1.0;nan
NRU;1.0;nan
NPL;5.0;nan
NLD;5.0;nan
NZL;5.0;nan
NIC;5.0;nan
NER;5.0;nan
NGA;5.0;nan
MKD;1.0;nan
NOR;3.0;nan
OMN;5.0;nan
PAK;5.0;nan
PLW;5.0;nan
PAN;5.0;nan
PNG;5.0;nan
PRY;5.0;nan
PER;5.0;nan
PHL;5.0;nan
POL;5.0;nan
PRT;5.0;nan
QAT;1.0;nan
ROU;5.0;nan
RUS;5.0;nan
RWA;5.0;nan
WSM;5.0;nan
SMR;5.0;nan
STP;5.0;nan
SAU;1.0;nan
SEN;5.0;nan
SRB;5.0;nan
SYC;5.0;nan
SLE;5.0;nan
SGP;1.0;nan
SVK;5.0;nan
SVN;5.0;nan
SLB;5.0;nan
SOM;1.0;nan
ZAF;5.0;nan
SSD;;nan
ESP;5.0;nan
LKA;5.0;nan
KNA;5.0;nan
LCA;5.0;nan
VCT;5.0;nan
SDN;5.0;nan
SUR;1.0;nan
SWE;3.0;nan
CHE;3.0;nan
SYR;5.0;nan
TJK;5.0;nan
TZA;5.0;nan
THA;5.0;nan
TLS;1.0;nan
TGO;5.0;nan
TON;1.0;nan
TTO;5.0;nan
TUN;5.0;nan
TUR;5.0;nan
TKM;5.0;nan
TUV;5.0;nan
UGA;5.0;nan
UKR;5.0;nan
ARE;1.0;nan
GBR;5.0;nan
USA;5.0;nan
URY;5.0;nan
UZB;5.0;nan
VUT;5.0;nan
VEN;5.0;nan
VNM;5.0;nan
YEM;1.0;nan
ZMB;5.0;nan
ZWE;5.0;nan
