iso3;paid_anlv;ATTR_ENDPOINT
AFG;5.0;nan
ALB;5.0;nan
DZA;5.0;nan
AND;5.0;nan
AGO;5.0;nan
ATG;3.0;nan
ARG;3.0;nan
ARM;5.0;nan
AUS;5.0;nan
AUT;5.0;nan
AZE;5.0;nan
BHS;3.0;nan
BHR;5.0;nan
BGD;3.0;nan
BRB;4.0;nan
BLR;5.0;nan
BEL;5.0;nan
BLZ;3.0;nan
BEN;5.0;nan
BTN;4.0;nan
BOL;;nan
BIH;4.0;nan
BWA;4.0;nan
BRA;5.0;nan
BRN;2.0;nan
BGR;5.0;nan
BFA;5.0;nan
BDI;4.0;nan
KHM;4.0;nan
CMR;4.0;nan
CAN;3.0;nan
CPV;5.0;nan
CAF;5.0;nan
TCD;5.0;nan
CHL;4.0;nan
CHN;2.0;nan
COL;4.0;nan
COM;5.0;nan
CRI;3.0;nan
CIV;5.0;nan
HRV;5.0;nan
CUB;5.0;nan
CYP;5.0;nan
CZE;5.0;nan
PRK;3.0;nan
COD;3.0;nan
DNK;5.0;nan
DJI;5.0;nan
DMA;3.0;nan
DOM;3.0;nan
ECU;4.0;nan
EGY;5.0;nan
SLV;4.0;nan
GNQ;5.0;nan
ERI;3.0;nan
EST;5.0;nan
SWZ;3.0;nan
ETH;3.0;nan
FJI;3.0;nan
FIN;5.0;nan
FRA;5.0;nan
GAB;5.0;nan
GEO;5.0;nan
DEU;5.0;nan
GHA;4.0;nan
GRC;5.0;nan
GRD;3.0;nan
GTM;4.0;nan
GIN;5.0;nan
GNB;5.0;nan
GUY;3.0;nan
HTI;4.0;nan
HND;3.0;nan
HUN;5.0;nan
ISL;5.0;nan
IND;1.0;nan
IDN;3.0;nan
IRN;5.0;nan
IRQ;5.0;nan
IRL;5.0;nan
ISR;3.0;nan
ITA;5.0;nan
JAM;3.0;nan
JPN;3.0;nan
JOR;3.0;nan
KAZ;5.0;nan
KEN;5.0;nan
KIR;1.0;nan
KWT;5.0;nan
KGZ;5.0;nan
LAO;4.0;nan
LVA;5.0;nan
LBN;4.0;nan
LSO;3.0;nan
LBR;3.0;nan
LBY;5.0;nan
LIE;5.0;nan
LTU;5.0;nan
LUX;5.0;nan
MDG;5.0;nan
MWI;4.0;nan
MYS;2.0;nan
MDV;5.0;nan
MLI;5.0;nan
MLT;5.0;nan
MHL;1.0;nan
MRT;4.0;nan
MUS;5.0;nan
MEX;2.0;nan
FSM;1.0;nan
MDA;5.0;nan
MCO;5.0;nan
MNG;4.0;nan
MNE;5.0;nan
MAR;4.0;nan
MOZ;3.0;nan
MMR;3.0;nan
NAM;5.0;nan
NRU;1.0;nan
NPL;;nan
NZL;5.0;nan
NIC;5.0;nan
NER;5.0;nan
NGA;2.0;nan
MKD;5.0;nan
NOR;5.0;nan
OMN;5.0;nan
PAK;1.0;nan
PLW;1.0;nan
PAN;5.0;nan
PNG;3.0;nan
PRY;3.0;nan
PER;5.0;nan
POL;5.0;nan
PRT;5.0;nan
QAT;4.0;nan
KOR;4.0;nan
COG;5.0;nan
ROU;5.0;nan
RUS;5.0;nan
RWA;4.0;nan
WSM;3.0;nan
SMR;3.0;nan
STP;5.0;nan
SAU;5.0;nan
SEN;5.0;nan
SRB;5.0;nan
SYC;5.0;nan
SLE;5.0;nan
SGP;2.0;nan
SVK;5.0;nan
SVN;5.0;nan
SLB;4.0;nan
SOM;4.0;nan
ZAF;5.0;nan
SSD;5.0;nan
ESP;5.0;nan
LKA;1.0;nan
KNA;3.0;nan
LCA;3.0;nan
VCT;1.0;nan
SDN;5.0;nan
SUR;3.0;nan
SWE;5.0;nan
CHE;5.0;nan
SYR;3.0;nan
TJK;5.0;nan
TZA;5.0;nan
THA;2.0;nan
GMB;;nan
NLD;5.0;nan
PHL;2.0;nan
TLS;3.0;nan
TGO;5.0;nan
TON;1.0;nan
TTO;1.0;nan
TUN;3.0;nan
TUR;3.0;nan
TKM;5.0;nan
TUV;1.0;nan
UGA;2.0;nan
UKR;5.0;nan
ARE;5.0;nan
GBR;5.0;nan
USA;1.0;nan
URY;5.0;nan
UZB;4.0;nan
VUT;4.0;nan
VEN;4.0;nan
VNM;3.0;nan
YEM;5.0;nan
ZMB;5.0;nan
ZWE;5.0;nan
