iso3;sickleave_duration;ATTR_ENDPOINT
AFG;2.0;nan
ALB;5.0;nan
DZA;5.0;nan
AND;5.0;nan
AGO;1.0;nan
ATG;5.0;nan
ARG;4.0;nan
ARM;5.0;nan
AUS;5.0;nan
AUT;5.0;nan
AZE;5.0;nan
BHS;5.0;nan
BHR;3.0;nan
BGD;2.0;nan
BRB;5.0;nan
BLR;;nan
BEL;5.0;nan
BLZ;5.0;nan
BEN;5.0;nan
BTN;2.0;nan
BOL;5.0;nan
BIH;5.0;nan
BWA;2.0;nan
BRA;5.0;nan
BRN;3.0;nan
BGR;5.0;nan
BFA;4.0;nan
BDI;4.0;nan
KHM;;nan
CMR;3.0;nan
CAN;4.0;nan
CPV;5.0;nan
CAF;2.0;nan
TCD;5.0;nan
CHL;;nan
CHN;5.0;nan
COL;5.0;nan
COM;5.0;nan
CRI;5.0;nan
CIV;3.0;nan
HRV;5.0;nan
CUB;5.0;nan
CYP;5.0;nan
CZE;5.0;nan
PRK;1.0;nan
COD;5.0;nan
DNK;5.0;nan
DJI;4.0;nan
DMA;5.0;nan
DOM;5.0;nan
ECU;5.0;nan
EGY;5.0;nan
SLV;5.0;nan
GNQ;5.0;nan
ERI;4.0;nan
EST;5.0;nan
SWZ;3.0;nan
ETH;4.0;nan
FJI;2.0;nan
FIN;5.0;nan
FRA;5.0;nan
GAB;5.0;nan
GEO;3.0;nan
DEU;5.0;nan
GHA;;nan
GRC;5.0;nan
GRD;5.0;nan
GTM;5.0;nan
GIN;5.0;nan
GNB;1.0;nan
GUY;5.0;nan
HTI;2.0;nan
HND;5.0;nan
HUN;5.0;nan
ISL;5.0;nan
IND;1.0;nan
IDN;5.0;nan
IRN;5.0;nan
IRQ;5.0;nan
IRL;5.0;nan
ISR;2.0;nan
ITA;5.0;nan
JAM;2.0;nan
JPN;5.0;nan
JOR;3.0;nan
KAZ;;nan
KEN;2.0;nan
KIR;1.0;nan
KWT;3.0;nan
KGZ;;nan
LAO;5.0;nan
LVA;5.0;nan
LBN;3.0;nan
LSO;3.0;nan
LBR;1.0;nan
LBY;5.0;nan
LIE;5.0;nan
LTU;4.0;nan
LUX;5.0;nan
MDG;5.0;nan
MWI;3.0;nan
MYS;3.0;nan
MDV;3.0;nan
MLI;3.0;nan
MLT;3.0;nan
MHL;1.0;nan
MRT;4.0;nan
MUS;2.0;nan
MEX;5.0;nan
FSM;1.0;nan
MDA;5.0;nan
MCO;5.0;nan
MNG;4.0;nan
MNE;5.0;nan
MAR;5.0;nan
MOZ;5.0;nan
MMR;5.0;nan
NAM;5.0;nan
NRU;1.0;nan
NPL;2.0;nan
NZL;5.0;nan
NIC;5.0;nan
NER;2.0;nan
NGA;2.0;nan
MKD;5.0;nan
NOR;5.0;nan
OMN;3.0;nan
PAK;4.0;nan
PLW;1.0;nan
PAN;5.0;nan
PNG;2.0;nan
PRY;5.0;nan
PER;5.0;nan
POL;5.0;nan
PRT;5.0;nan
QAT;3.0;nan
KOR;1.0;nan
COG;;nan
ROU;5.0;nan
RUS;5.0;nan
RWA;4.0;nan
WSM;2.0;nan
SMR;5.0;nan
STP;5.0;nan
SAU;4.0;nan
SEN;;nan
SRB;5.0;nan
SYC;4.0;nan
SLE;5.0;nan
SGP;3.0;nan
SVK;5.0;nan
SVN;5.0;nan
SLB;3.0;nan
SOM;1.0;nan
ZAF;5.0;nan
SSD;5.0;nan
ESP;5.0;nan
LKA;1.0;nan
KNA;5.0;nan
LCA;5.0;nan
VCT;5.0;nan
SDN;5.0;nan
SUR;;nan
SWE;5.0;nan
CHE;2.0;nan
SYR;5.0;nan
TJK;4.0;nan
TZA;4.0;nan
THA;5.0;nan
GMB;;nan
NLD;5.0;nan
PHL;4.0;nan
TLS;2.0;nan
TGO;3.0;nan
TON;1.0;nan
TTO;5.0;nan
TUN;5.0;nan
TUR;5.0;nan
TKM;5.0;nan
TUV;1.0;nan
UGA;3.0;nan
UKR;5.0;nan
ARE;3.0;nan
GBR;5.0;nan
USA;1.0;nan
URY;5.0;nan
UZB;;nan
VUT;2.0;nan
VEN;5.0;nan
VNM;5.0;nan
YEM;5.0;nan
ZMB;5.0;nan
ZWE;5.0;nan
