iso3;promdemo_gender;ATTR_ENDPOINT
AFG;1;nan
ALB;5;nan
DZA;4;nan
AND;5;nan
AGO;5;nan
ATG;4;nan
ARG;5;nan
ARM;5;nan
AUS;5;nan
AUT;5;nan
AZE;5;nan
BHS;5;nan
BHR;4;nan
BGD;1;nan
BRB;5;nan
BLR;4;nan
BEL;5;nan
BLZ;5;nan
BEN;5;nan
BTN;5;nan
BOL;5;nan
BIH;5;nan
BWA;1;nan
BRA;5;nan
BRN;1;nan
BGR;5;nan
BFA;5;nan
BDI;5;nan
KHM;5;nan
CMR;1;nan
CAN;5;nan
CPV;5;nan
CAF;4;nan
TCD;5;nan
CHL;4;nan
CHN;5;nan
COL;4;nan
COM;5;nan
COD;5;nan
COG;1;nan
CRI;4;nan
CIV;5;nan
HRV;5;nan
CUB;4;nan
CYP;5;nan
CZE;5;nan
DNK;5;nan
DJI;5;nan
DMA;1;nan
DOM;5;nan
ECU;4;nan
EGY;4;nan
SLV;4;nan
GNQ;4;nan
ERI;4;nan
EST;5;nan
ETH;4;nan
FJI;5;nan
FIN;5;nan
FRA;5;nan
GAB;4;nan
GMB;5;nan
GEO;5;nan
DEU;5;nan
GHA;4;nan
GRC;5;nan
DNK;5;nan
GRD;5;nan
GTM;1;nan
GIN;5;nan
GNB;4;nan
GUY;5;nan
HTI;4;nan
HND;5;nan
HUN;5;nan
ISL;5;nan
IND;5;nan
IDN;4;nan
IRN;4;nan
IRQ;5;nan
IRL;5;nan
ISR;5;nan
ITA;5;nan
JAM;1;nan
JPN;5;nan
JOR;1;nan
KAZ;5;nan
KEN;5;nan
KIR;5;nan
PRK;1;nan
KOR;5;nan
KWT;1;nan
KGZ;5;nan
LAO;4;nan
LVA;5;nan
LBN;5;nan
LSO;4;nan
LBR;5;nan
LBY;4;nan
LIE;5;nan
LTU;5;nan
LUX;5;nan
MKD;5;nan
MDG;5;nan
MWI;5;nan
MYS;1;nan
MDV;5;nan
MLI;5;nan
MLT;5;nan
MHL;5;nan
MRT;4;nan
MUS;5;nan
MEX;5;nan
FSM;1;nan
MDA;5;nan
MCO;1;nan
MNG;4;nan
MNE;5;nan
MAR;5;nan
MOZ;5;nan
MMR;1;nan
NAM;5;nan
NRU;1;nan
NPL;4;nan
NLD;5;nan
NZL;5;nan
NIC;5;nan
NER;5;nan
NGA;1;nan
NOR;5;nan
OMN;4;nan
PAK;5;nan
PLW;1;nan
PAN;4;nan
PNG;4;nan
PRY;4;nan
PER;5;nan
PHL;5;nan
POL;5;nan
PRT;5;nan
QAT;5;nan
ROU;5;nan
RUS;5;nan
RWA;4;nan
WSM;4;nan
SMR;5;nan
STP;5;nan
SAU;4;nan
SEN;1;nan
SRB;5;nan
SYC;5;nan
SLE;1;nan
SGP;1;nan
SVK;5;nan
SVN;5;nan
SLB;1;nan
SOM;4;nan
ZAF;5;nan
SSD;5;nan
ESP;5;nan
LKA;1;nan
KNA;1;nan
LCA;5;nan
VCT;1;nan
SDN;1;nan
SUR;1;nan
SWZ;4;nan
SWE;5;nan
CHE;5;nan
SYR;5;nan
TJK;5;nan
TZA;5;nan
THA;4;nan
TLS;4;nan
TGO;5;nan
TON;1;nan
TTO;5;nan
TUN;5;nan
TUR;5;nan
TKM;5;nan
TUV;5;nan
UGA;5;nan
UKR;5;nan
ARE;1;nan
GBR;5;nan
USA;4;nan
URY;5;nan
UZB;5;nan
VUT;1;nan
VEN;5;nan
VNM;5;nan
YEM;5;nan
ZMB;5;nan
ZWE;5;nan
