iso3;pay_gender;ATTR_ENDPOINT
AFG;2;nan
ALB;5;nan
DZA;5;nan
AND;5;nan
AGO;5;nan
ATG;4;nan
ARG;5;nan
ARM;4;nan
AUS;3;nan
AUT;5;nan
AZE;5;nan
BHS;5;nan
BHR;4;nan
BGD;5;nan
BRB;3;nan
BLR;3;nan
BEL;5;nan
BLZ;3;nan
BEN;5;nan
BTN;5;nan
BOL;4;nan
BIH;5;nan
BWA;1;nan
BRA;5;nan
BRN;1;nan
BGR;5;nan
BFA;5;nan
BDI;5;nan
KHM;5;nan
CMR;4;nan
CAN;5;nan
CPV;4;nan
CAF;4;nan
TCD;5;nan
CHL;4;nan
CHN;4;nan
COL;5;nan
COM;5;nan
COD;4;nan
COG;4;nan
CRI;5;nan
CIV;5;nan
HRV;5;nan
CUB;4;nan
CYP;5;nan
CZE;5;nan
DNK;5;nan
DJI;5;nan
DMA;4;nan
DOM;4;nan
ECU;4;nan
EGY;4;nan
SLV;4;nan
GNQ;5;nan
ERI;4;nan
EST;5;nan
ETH;4;nan
FJI;5;nan
FIN;5;nan
FRA;5;nan
GAB;5;nan
GMB;5;nan
GEO;4;nan
DEU;5;nan
GHA;4;nan
GRC;5;nan
DNK;5;nan
GRD;5;nan
GTM;5;nan
GIN;5;nan
GNB;4;nan
GUY;5;nan
HTI;5;nan
HND;4;nan
HUN;4;nan
ISL;5;nan
IND;4;nan
IDN;3;nan
IRN;4;nan
IRQ;5;nan
IRL;5;nan
ISR;5;nan
ITA;5;nan
JAM;4;nan
JPN;4;nan
JOR;5;nan
KAZ;4;nan
KEN;5;nan
KIR;5;nan
PRK;4;nan
KOR;5;nan
KWT;4;nan
KGZ;4;nan
LAO;4;nan
LVA;5;nan
LBN;4;nan
LSO;5;nan
LBR;5;nan
LBY;5;nan
LIE;4;nan
LTU;5;nan
LUX;5;nan
MKD;4;nan
MDG;5;nan
MWI;5;nan
MYS;1;nan
MDV;5;nan
MLI;5;nan
MLT;5;nan
MHL;5;nan
MRT;4;nan
MUS;5;nan
MEX;4;nan
FSM;1;nan
MDA;5;nan
MCO;5;nan
MNG;4;nan
MNE;5;nan
MAR;5;nan
MOZ;4;nan
MMR;1;nan
NAM;5;nan
NRU;1;nan
NPL;5;nan
NLD;5;nan
NZL;5;nan
NIC;4;nan
NER;5;nan
NGA;1;nan
NOR;5;nan
OMN;3;nan
PAK;3;nan
PLW;1;nan
PAN;4;nan
PNG;4;nan
PRY;5;nan
PER;5;nan
PHL;5;nan
POL;5;nan
PRT;5;nan
QAT;4;nan
ROU;5;nan
RUS;5;nan
RWA;5;nan
WSM;5;nan
SMR;4;nan
STP;5;nan
SAU;5;nan
SEN;4;nan
SRB;5;nan
SYC;4;nan
SLE;1;nan
SGP;1;nan
SVK;5;nan
SVN;5;nan
SLB;1;nan
SOM;5;nan
ZAF;5;nan
SSD;5;nan
ESP;5;nan
LKA;1;nan
KNA;4;nan
LCA;5;nan
VCT;4;nan
SDN;1;nan
SUR;3;nan
SWZ;4;nan
SWE;5;nan
CHE;4;nan
SYR;5;nan
TJK;5;nan
TZA;5;nan
THA;5;nan
TLS;5;nan
TGO;5;nan
TON;1;nan
TTO;3;nan
TUN;5;nan
TUR;5;nan
TKM;5;nan
TUV;5;nan
UGA;5;nan
UKR;4;nan
ARE;5;nan
GBR;5;nan
USA;4;nan
URY;4;nan
UZB;4;nan
VUT;4;nan
VEN;4;nan
VNM;5;nan
YEM;4;nan
ZMB;5;nan
ZWE;5;nan
