country;RAW_OBS_VALUE;ATTR_ENDPOINT
Afghanistan;1.0;nan
Algeria;4.0;nan
Andorra;1.0;nan
Angola;1.0;nan
Antigua and Barbuda;1.0;nan
Argentina;3.0;nan
Armenia;1.0;nan
Australia;4.0;nan
Austria;3.0;nan
Azerbaijan;4.0;nan
Bahamas;1.0;nan
Bahrain;1.0;nan
Bangladesh;1.0;nan
Barbados;1.0;nan
Belarus;1.0;nan
Belgium;1.0;nan
Belize;1.0;nan
Bhutan;1.0;nan
Bolivia;1.0;nan
Bosnia-Herzogovina;1.0;nan
Botswana;1.0;nan
Brazil;1.0;nan
Brunei;1.0;nan
Bulgaria;4.0;nan
Burkina Faso;1.0;nan
Burundi;1.0;nan
Cambodia;1.0;nan
Cameroon;1.0;nan
Canada;4.0;nan
Cape Verde;1.0;nan
Central African Republic;1.0;nan
Chad;1.0;nan
Chile;1.0;nan
Colombia;1.0;nan
Comoros;1.0;nan
Congo, Democratic Republic of the;1.0;nan
Congo, Republic of the Congo;1.0;nan
Costa Rica;1.0;nan
Cote d'Ivoire;1.0;nan
Cyprus;1.0;nan
Czech Republic;1.0;nan
Dominica;1.0;nan
Dominican Republic;1.0;nan
Egypt;1.0;nan
El Salvador;1.0;nan
Equatorial Guinea;1.0;nan
Eritrea;1.0;nan
Estonia;4.0;nan
Eswatini;1.0;nan
Ethiopia;1.0;nan
Fiji;1.0;nan
Finland;1.0;nan
France;5.0;nan
Gabon;4.0;nan
Gambia, the;1.0;nan
Georgia;1.0;nan
Germany;1.0;nan
Ghana;1.0;nan
Greece;1.0;nan
Grenada;1.0;nan
Guatemala;1.0;nan
Guyana;1.0;nan
Haiti;1.0;nan
Honduras;1.0;nan
Hungary;3.0;nan
Iceland;1.0;nan
India;1.0;nan
Indonesia;1.0;nan
Iran, Islamic Republic of;1.0;nan
Iraq;1.0;nan
Ireland;1.0;nan
Israel;1.0;nan
Jamaica;1.0;nan
Japan;4.0;nan
Jordan;1.0;nan
Kazakhstan;1.0;nan
Kenya;1.0;nan
Kiribati;1.0;nan
Korea, Democratic People's Republic of;1.0;nan
Korea, Republic of;1.0;nan
Kuwait;1.0;nan
Kyrgyzstan;1.0;nan
Laos;1.0;nan
Latvia;1.0;nan
Lesotho;1.0;nan
Liberia;1.0;nan
Liechtenstein;1.0;nan
Lithuania;1.0;nan
Luxembourg;4.0;nan
Madagascar;1.0;nan
Malawi;1.0;nan
Malaysia;1.0;nan
Maldives;1.0;nan
Mali;1.0;nan
Malta;1.0;nan
Marshall Islands;1.0;nan
Mauritania;1.0;nan
Mauritius;1.0;nan
Mexico;4.0;nan
Micronesia, Federated States of;1.0;nan
Moldova, Republic of;1.0;nan
Monaco;5.0;nan
Montenegro;1.0;nan
Morocco;1.0;nan
Myanmar;1.0;nan
Namibia;1.0;nan
Nepal;1.0;nan
Netherlands, the;1.0;nan
New Zealand;1.0;nan
Nicaragua;1.0;nan
Niger;1.0;nan
Nigeria;1.0;nan
North Macedonia;1.0;nan
Norway;4.0;nan
Oman;1.0;nan
Pakistan;1.0;nan
Palau;1.0;nan
Panama;1.0;nan
Papua New Guinea;1.0;nan
Paraguay;1.0;nan
Peru;1.0;nan
Philippines, the;1.0;nan
Poland;3.0;nan
Portugal;3.0;nan
Romania;1.0;nan
Russian Federation;1.0;nan
Rwanda;1.0;nan
Samoa;1.0;nan
Sao Tome / Principe;1.0;nan
Saudi Arabia;1.0;nan
Senegal;1.0;nan
Serbia;3.0;nan
Seychelles;1.0;nan
Sierra Leone;1.0;nan
Singapore;1.0;nan
Slovakia;1.0;nan
Slovenia;4.0;nan
Solomon Islands;1.0;nan
Somalia;1.0;nan
South Africa;1.0;nan
Spain;1.0;nan
St. Kitts and Nevis;1.0;nan
St. Lucia;1.0;nan
St. Vincent / Grenadines;1.0;nan
Sudan, the;1.0;nan
Suriname;1.0;nan
Sweden;1.0;nan
Switzerland;1.0;nan
Syria;1.0;nan
Tanzania, United Republic of;1.0;nan
Thailand;1.0;nan
Togo;1.0;nan
Tonga;1.0;nan
Trinidad and Tobago;3.0;nan
Tunisia;3.0;nan
Turkey;1.0;nan
Turkmenistan;4.0;nan
Tuvalu;1.0;nan
Uganda;1.0;nan
Ukraine;1.0;nan
United Arab Emirates;1.0;nan
United Kingdom;1.0;nan
United States of America;1.0;nan
Uruguay;1.0;nan
Uzbekistan;1.0;nan
Vanuatu;1.0;nan
Venezuela;1.0;nan
Vietnam;1.0;nan
Yemen;1.0;nan
Zambia;1.0;nan
Zimbabwe;1.0;nan
