iso3;minwage_ppp;ATTR_ENDPOINT
AFG;4.0;nan
ALB;5.0;nan
DZA;5.0;nan
AND;;nan
AGO;3.0;nan
ATG;5.0;nan
ARG;5.0;nan
ARM;4.0;nan
AUS;5.0;nan
AUT;5.0;nan
AZE;4.0;nan
BHS;5.0;nan
BHR;1.0;nan
BGD;2.0;nan
BRB;5.0;nan
BLR;5.0;nan
BEL;5.0;nan
BLZ;5.0;nan
BEN;3.0;nan
BTN;4.0;nan
BOL;4.0;nan
BIH;5.0;nan
BWA;4.0;nan
BRA;5.0;nan
BRN;1.0;nan
BGR;5.0;nan
BFA;3.0;nan
BDI;2.0;nan
KHM;2.0;nan
CMR;3.0;nan
CAN;5.0;nan
CPV;1.0;nan
CAF;2.0;nan
TCD;3.0;nan
CHL;5.0;nan
CHN;3.0;nan
COL;5.0;nan
COM;3.0;nan
COD;3.0;nan
COG;4.0;nan
CRI;5.0;nan
CIV;3.0;nan
HRV;5.0;nan
CUB;;nan
CYP;5.0;nan
CZE;5.0;nan
DNK;999.0;nan
DJI;1.0;nan
DMA;5.0;nan
DOM;4.0;nan
ECU;5.0;nan
EGY;4.0;nan
SLV;4.0;nan
GNQ;4.0;nan
ERI;1.0;nan
EST;5.0;nan
SWZ;3.0;nan
ETH;1.0;nan
FJI;4.0;nan
FIN;999.0;nan
FRA;5.0;nan
GAB;4.0;nan
GMB;2.0;nan
GEO;2.0;nan
DEU;999.0;nan
GHA;3.0;nan
GRC;5.0;nan
GRD;5.0;nan
GTM;4.0;nan
GIN;1.0;nan
GNB;3.0;nan
GUY;4.0;nan
HTI;4.0;nan
HND;5.0;nan
HUN;5.0;nan
ISL;999.0;nan
IND;3.0;nan
IDN;4.0;nan
IRN;5.0;nan
IRQ;4.0;nan
IRL;5.0;nan
ISR;5.0;nan
ITA;999.0;nan
JAM;5.0;nan
JPN;5.0;nan
JOR;4.0;nan
KAZ;4.0;nan
KEN;3.0;nan
KIR;1.0;nan
PRK;;nan
KOR;5.0;nan
KWT;4.0;nan
KGZ;;nan
LAO;3.0;nan
LVA;5.0;nan
LBN;5.0;nan
LSO;4.0;nan
LBR;3.0;nan
LBY;4.0;nan
LIE;;nan
LTU;5.0;nan
LUX;5.0;nan
MDG;3.0;nan
MWI;2.0;nan
MYS;1.0;nan
MDV;1.0;nan
MLI;3.0;nan
MLT;5.0;nan
MHL;;nan
MRT;4.0;nan
MUS;4.0;nan
MEX;4.0;nan
FSM;;nan
MDA;4.0;nan
MCO;;nan
MNG;4.0;nan
MNE;3.0;nan
MAR;5.0;nan
MOZ;4.0;nan
MMR;2.0;nan
NAM;1.0;nan
NRU;1.0;nan
NPL;4.0;nan
NLD;5.0;nan
NZL;5.0;nan
NIC;4.0;nan
NER;3.0;nan
NGA;4.0;nan
MKD;1.0;nan
NOR;999.0;nan
OMN;5.0;nan
PAK;4.0;nan
PLW;;nan
PAN;4.0;nan
PNG;4.0;nan
PRY;5.0;nan
PER;5.0;nan
PHL;4.0;nan
POL;5.0;nan
PRT;5.0;nan
QAT;1.0;nan
ROU;5.0;nan
RUS;4.0;nan
RWA;;nan
WSM;4.0;nan
SMR;;nan
STP;;nan
SAU;1.0;nan
SEN;3.0;nan
SRB;5.0;nan
SYC;5.0;nan
SLE;2.0;nan
SGP;1.0;nan
SVK;5.0;nan
SVN;5.0;nan
SLB;3.0;nan
SOM;1.0;nan
ZAF;4.0;nan
SSD;;nan
ESP;5.0;nan
LKA;3.0;nan
KNA;5.0;nan
LCA;3.0;nan
VCT;5.0;nan
SDN;3.0;nan
SUR;1.0;nan
SWE;999.0;nan
CHE;999.0;nan
SYR;4.0;nan
TJK;2.0;nan
TZA;4.0;nan
THA;4.0;nan
TLS;1.0;nan
TGO;3.0;nan
TON;1.0;nan
TTO;5.0;nan
TUN;4.0;nan
TUR;5.0;nan
TKM;;nan
TUV;;nan
UGA;2.0;nan
UKR;5.0;nan
ARE;1.0;nan
GBR;5.0;nan
USA;5.0;nan
URY;5.0;nan
UZB;3.0;nan
VUT;5.0;nan
VEN;5.0;nan
VNM;3.0;nan
YEM;1.0;nan
ZMB;3.0;nan
ZWE;;nan
