COUNTRY_NAME;"Population 
(from United Nations Population Division, World Population Prospects)";Region;RAW_OBS_VALUE;Est. number of people in modern slavery;Factor One Governance Issues ;Factor Two Nourishment and Access ;Factor Three Inequality;Factor Four Disenfranchised Groups;Factor Five Effects of Conflict;Final overall (normalised, weighted) vulnerability score;Support survivors;%;Criminal justice;%.1;Coordination;%.2;NEG Government  complicity (1.4.3);NEG State-imposed forced labour (1.8.1);Address risk;%.3;Supply chains;%.4;SUM/104;SUM Neg;TOTAL;Credit rating;TIME_PERIOD;ATTR_UNIT_MEASURE;ATTR_ENDPOINT
Korea, Democratic People's Republic of;25244000.0;Asia and the Pacific;104.56105246982418;2640000;87.61223074456922;51.976008471255355;30.290385372788723;32.44718528469679;12.307614911282256;73.30295191402617;0.0;0.0;-0.39999999999999997;-6.666666666666667;0.5;12.5;-1.0;-1.0;0.33333333333333326;4.761904761904761;0.0;0.0;0.4333333333333333;-2.0;-5.595238095238096;D;2018;Est. prevalence of population in modern slavery (victims per 1,000 population);
Eritrea;4847000.0;Africa;93.02943343158101;451000;70.9502754509352;50.63127622056752;33.67336950336016;48.11364589285827;25.931598550588618;69.55405725399065;0.0;0.0;-0.0666666666666666;-1.1111111111111098;0.0;0.0;-1.0;-1.0;1.5;21.428571428571427;0.0;0.0;1.4333333333333333;-2.0;-2.0238095238095237;D;2018;Est. prevalence of population in modern slavery (victims per 1,000 population);
Burundi;10199000.0;Africa;39.95421544047904;408000;72.43551340122345;42.58748882147158;42.08376666666666;48.11364589285827;41.735648703972494;72.92576511774043;1.9999999999999998;22.22222222222222;0.6666666666666666;11.11111111111111;0.5;12.5;-1.0;-1.0;1.8333333333333333;26.190476190476193;0.0;0.0;5.0;-2.0;10.714285714285714;C;2018;Est. prevalence of population in modern slavery (victims per 1,000 population);
Central African Republic;4546000.0;Africa;22.250705901097916;101000;85.39567451750253;50.19564590947298;62.66831546666666;57.957426266666666;81.55306173355754;100.00000000000024;-0.33333333333333337;-3.703703703703704;0.03333333333333338;0.5555555555555564;0.5;12.5;-1.0;0.0;1.5;21.428571428571427;0.0;0.0;1.7;-1.0;2.5;D;2018;Est. prevalence of population in modern slavery (victims per 1,000 population);
Afghanistan;33736000.0;Asia and the Pacific;22.192125832312346;749000;80.99880420409015;41.30448689827332;64.69922553333333;45.960379233333335;92.63116796905415;93.92462100911332;;;;;;;;;;;;;;;;;2018;Est. prevalence of population in modern slavery (victims per 1,000 population);
Mauritania;4182000.0;Africa;21.42940709292791;90000;67.34929275480026;33.67329127216748;39.336791725;50.45453106666667;22.33973460949157;62.00046789673248;0.5833333333333333;6.481481481481481;1.5;25.0;0.75;18.75;-1.0;0.0;2.5;35.714285714285715;0.0;0.0;5.333333333333333;-1.0;15.476190476190474;C;2018;Est. prevalence of population in modern slavery (victims per 1,000 population);
South Sudan;11882000.0;Africa;20.46431358205876;243000;75.71710930845165;51.06930197006943;62.85055536666667;56.06299816666666;85.69097097374181;94.65009261654576;;;;;;;;;;;;;;;;;2018;Est. prevalence of population in modern slavery (victims per 1,000 population);
Pakistan;189381000.0;Asia and the Pacific;16.822144904045736;3186000;56.82281399173845;36.21733749316363;45.868704725;55.31159089999999;92.80652055232008;74.11740351700493;1.9333333333333331;21.48148148148148;0.9333333333333333;15.555555555555555;0.5;12.5;-1.0;0.0;2.833333333333333;40.476190476190474;0.0;0.0;6.199999999999999;-1.0;18.57142857142857;C;2018;Est. prevalence of population in modern slavery (victims per 1,000 population);
Cambodia;15518000.0;Asia and the Pacific;16.810244554785154;261000;66.2567333538811;38.46843132858457;41.59174;56.6813653;14.832207207755232;63.51010052095709;3.633333333333333;40.37037037037037;2.8;46.666666666666664;1.75;43.75;0.0;0.0;2.333333333333333;33.33333333333333;0.0;0.0;10.516666666666666;0.0;37.5595238095238;CCC;2018;Est. prevalence of population in modern slavery (victims per 1,000 population);
Iran, Islamic Republic of;79360000.0;Asia and the Pacific;16.240337308690144;1289000;74.6286298761413;25.544928219039445;35.77028333333334;37.27130402311111;39.45899678420807;63.30178540336804;0.6666666666666666;7.4074074074074066;0.5666666666666667;9.444444444444445;0.0;0.0;-1.0;0.0;1.6666666666666665;23.809523809523807;0.0;0.0;2.9;-1.0;6.785714285714286;D;2018;Est. prevalence of population in modern slavery (victims per 1,000 population);
