iso3;mtlv_job_protect;ATTR_ENDPOINT
AFG;2;nan
ALB;5;nan
DZA;2;nan
AND;5;nan
AGO;5;nan
ATG;2;nan
ARG;5;nan
ARM;3;nan
AUS;5;nan
AUT;5;nan
AZE;2;nan
BHS;5;nan
BHR;5;nan
BGD;2;nan
BRB;5;nan
BLR;2;nan
BEL;5;nan
BLZ;5;nan
BEN;5;nan
BTN;2;nan
BOL;2;nan
BIH;5;nan
BWA;5;nan
BRA;5;nan
BRN;5;nan
BGR;5;nan
BFA;5;nan
BDI;5;nan
KHM;5;nan
CMR;5;nan
CAN;5;nan
CPV;2;nan
CAF;5;nan
TCD;5;nan
CHL;5;nan
CHN;5;nan
COL;5;nan
COM;5;nan
CRI;5;nan
CIV;5;nan
HRV;5;nan
CUB;5;nan
CYP;5;nan
CZE;5;nan
PRK;2;nan
COD;5;nan
DNK;5;nan
DJI;5;nan
DMA;2;nan
DOM;5;nan
ECU;5;nan
EGY;5;nan
SLV;5;nan
GNQ;5;nan
ERI;5;nan
EST;5;nan
SWZ;5;nan
ETH;2;nan
FJI;5;nan
FIN;5;nan
FRA;5;nan
GAB;5;nan
GEO;2;nan
DEU;5;nan
GHA;5;nan
GRC;5;nan
GRD;5;nan
GTM;5;nan
GIN;5;nan
GNB;2;nan
GUY;5;nan
HTI;2;nan
HND;5;nan
HUN;5;nan
ISL;5;nan
IND;5;nan
IDN;5;nan
IRN;2;nan
IRQ;2;nan
IRL;5;nan
ISR;5;nan
ITA;5;nan
JAM;5;nan
JPN;5;nan
JOR;5;nan
KAZ;5;nan
KEN;5;nan
KIR;5;nan
KWT;5;nan
KGZ;2;nan
LAO;5;nan
LVA;3;nan
LBN;5;nan
LSO;5;nan
LBR;5;nan
LBY;5;nan
LIE;5;nan
LTU;5;nan
LUX;5;nan
MDG;5;nan
MWI;5;nan
MYS;5;nan
MDV;5;nan
MLI;2;nan
MLT;5;nan
MHL;1;nan
MRT;5;nan
MUS;5;nan
MEX;5;nan
FSM;1;nan
MDA;5;nan
MCO;5;nan
MNG;5;nan
MNE;5;nan
MAR;5;nan
MOZ;5;nan
MMR;5;nan
NAM;5;nan
NRU;1;nan
NPL;2;nan
NZL;5;nan
NIC;5;nan
NER;5;nan
NGA;5;nan
MKD;5;nan
NOR;5;nan
OMN;5;nan
PAK;5;nan
PLW;1;nan
PAN;5;nan
PNG;1;nan
PRY;5;nan
PER;5;nan
POL;3;nan
PRT;5;nan
QAT;5;nan
KOR;5;nan
COG;2;nan
ROU;5;nan
RUS;2;nan
RWA;5;nan
WSM;5;nan
SMR;3;nan
STP;2;nan
SAU;5;nan
SEN;5;nan
SRB;5;nan
SYC;5;nan
SLE;2;nan
SGP;5;nan
SVK;5;nan
SVN;5;nan
SLB;5;nan
SOM;5;nan
ZAF;5;nan
SSD;5;nan
ESP;5;nan
LKA;5;nan
KNA;5;nan
LCA;5;nan
VCT;5;nan
SDN;5;nan
SUR;1;nan
SWE;5;nan
CHE;5;nan
SYR;5;nan
TJK;2;nan
TZA;5;nan
THA;5;nan
GMB;5;nan
NLD;5;nan
PHL;5;nan
TLS;5;nan
TGO;5;nan
TON;1;nan
TTO;5;nan
TUN;5;nan
TUR;5;nan
TKM;2;nan
TUV;5;nan
UGA;5;nan
UKR;2;nan
ARE;2;nan
GBR;5;nan
USA;1;nan
URY;5;nan
UZB;2;nan
VUT;5;nan
VEN;5;nan
VNM;5;nan
YEM;5;nan
ZMB;5;nan
ZWE;2;nan
