iso3;ptlv_job_protect;ATTR_ENDPOINT
AFG;2.0;nan
ALB;2.0;nan
DZA;2.0;nan
AND;5.0;nan
AGO;5.0;nan
ATG;1.0;nan
ARG;2.0;nan
ARM;2.0;nan
AUS;3.0;nan
AUT;5.0;nan
AZE;5.0;nan
BHS;1.0;nan
BHR;2.0;nan
BGD;1.0;nan
BRB;1.0;nan
BLR;5.0;nan
BEL;5.0;nan
BLZ;1.0;nan
BEN;2.0;nan
BTN;2.0;nan
BOL;5.0;nan
BIH;2.0;nan
BWA;1.0;nan
BRA;5.0;nan
BRN;1.0;nan
BGR;5.0;nan
BFA;1.0;nan
BDI;2.0;nan
KHM;1.0;nan
CMR;1.0;nan
CAN;5.0;nan
CPV;2.0;nan
CAF;1.0;nan
TCD;2.0;nan
CHL;5.0;nan
CHN;1.0;nan
COL;5.0;nan
COM;1.0;nan
COD;2.0;nan
COG;1.0;nan
CRI;1.0;nan
CIV;2.0;nan
HRV;3.0;nan
CUB;5.0;nan
CYP;5.0;nan
CZE;5.0;nan
DNK;5.0;nan
DJI;2.0;nan
DMA;1.0;nan
DOM;2.0;nan
ECU;2.0;nan
EGY;1.0;nan
SLV;2.0;nan
GNQ;2.0;nan
ERI;1.0;nan
EST;3.0;nan
ETH;1.0;nan
FJI;2.0;nan
FIN;5.0;nan
FRA;5.0;nan
GAB;1.0;nan
GMB;2.0;nan
GEO;1.0;nan
DEU;5.0;nan
GHA;1.0;nan
GRC;2.0;nan
GRD;1.0;nan
GTM;2.0;nan
GIN;1.0;nan
GNB;1.0;nan
GUY;1.0;nan
HTI;1.0;nan
HND;1.0;nan
HUN;3.0;nan
ISL;5.0;nan
IND;1.0;nan
IDN;2.0;nan
IRN;1.0;nan
IRQ;1.0;nan
IRL;5.0;nan
ISR;5.0;nan
ITA;5.0;nan
JAM;1.0;nan
JPN;5.0;nan
JOR;1.0;nan
KAZ;1.0;nan
KEN;5.0;nan
KIR;1.0;nan
PRK;1.0;nan
KOR;3.0;nan
KWT;1.0;nan
KGZ;1.0;nan
LAO;;nan
LVA;5.0;nan
LBN;1.0;nan
LSO;1.0;nan
LBR;1.0;nan
LBY;1.0;nan
LIE;1.0;nan
LTU;5.0;nan
LUX;3.0;nan
MKD;5.0;nan
MDG;1.0;nan
MWI;1.0;nan
MYS;1.0;nan
MDV;2.0;nan
MLI;2.0;nan
MLT;2.0;nan
MHL;1.0;nan
MRT;2.0;nan
MUS;2.0;nan
MEX;2.0;nan
FSM;1.0;nan
MDA;5.0;nan
MCO;5.0;nan
MNG;1.0;nan
MNE;3.0;nan
MAR;2.0;nan
MOZ;2.0;nan
MMR;2.0;nan
NAM;1.0;nan
NRU;1.0;nan
NPL;2.0;nan
NLD;2.0;nan
NZL;5.0;nan
NIC;1.0;nan
NER;1.0;nan
NGA;1.0;nan
NOR;5.0;nan
OMN;1.0;nan
PAK;1.0;nan
PLW;1.0;nan
PAN;1.0;nan
PNG;1.0;nan
PRY;2.0;nan
PER;2.0;nan
PHL;3.0;nan
POL;5.0;nan
PRT;5.0;nan
QAT;1.0;nan
ROU;5.0;nan
RUS;5.0;nan
RWA;2.0;nan
WSM;5.0;nan
SMR;5.0;nan
STP;1.0;nan
SAU;2.0;nan
SEN;1.0;nan
SRB;5.0;nan
SYC;2.0;nan
SLE;1.0;nan
SGP;2.0;nan
SVK;5.0;nan
SVN;3.0;nan
SLB;1.0;nan
SOM;1.0;nan
ZAF;2.0;nan
SSD;5.0;nan
ESP;5.0;nan
LKA;1.0;nan
KNA;1.0;nan
LCA;1.0;nan
VCT;1.0;nan
SDN;1.0;nan
SUR;5.0;nan
SWZ;1.0;nan
SWE;5.0;nan
CHE;1.0;nan
SYR;1.0;nan
TJK;1.0;nan
TZA;2.0;nan
THA;1.0;nan
TLS;2.0;nan
TGO;5.0;nan
TON;1.0;nan
TTO;1.0;nan
TUN;2.0;nan
TUR;;nan
TKM;5.0;nan
TUV;1.0;nan
UGA;5.0;nan
UKR;5.0;nan
ARE;1.0;nan
GBR;5.0;nan
USA;1.0;nan
URY;2.0;nan
UZB;5.0;nan
VUT;1.0;nan
VEN;2.0;nan
VNM;5.0;nan
YEM;1.0;nan
ZMB;1.0;nan
ZWE;1.0;nan
