iso3;maternal_leave;ATTR_ENDPOINT
AFG;2;nan
ALB;5;nan
DZA;3;nan
AND;3;nan
AGO;2;nan
ATG;2;nan
ARG;2;nan
ARM;5;nan
AUS;3;nan
AUT;5;nan
AZE;5;nan
BHS;2;nan
BHR;2;nan
BGD;3;nan
BRB;2;nan
BLR;5;nan
BEL;4;nan
BLZ;3;nan
BEN;3;nan
BTN;2;nan
BOL;2;nan
BIH;5;nan
BWA;2;nan
BRA;3;nan
BRN;2;nan
BGR;5;nan
BFA;3;nan
BDI;2;nan
KHM;2;nan
CMR;3;nan
CAN;5;nan
CPV;2;nan
CAF;3;nan
TCD;3;nan
CHL;4;nan
CHN;3;nan
COL;3;nan
COM;3;nan
CRI;3;nan
CIV;3;nan
HRV;5;nan
CUB;5;nan
CYP;3;nan
CZE;5;nan
PRK;2;nan
COD;3;nan
DNK;5;nan
DJI;3;nan
DMA;2;nan
DOM;2;nan
ECU;2;nan
EGY;2;nan
SLV;2;nan
GNQ;2;nan
ERI;2;nan
EST;5;nan
SWZ;2;nan
ETH;2;nan
FJI;2;nan
FIN;4;nan
FRA;4;nan
GAB;3;nan
GEO;4;nan
DEU;5;nan
GHA;2;nan
GRC;4;nan
GRD;2;nan
GTM;2;nan
GIN;3;nan
GNB;2;nan
GUY;2;nan
HTI;2;nan
HND;2;nan
HUN;5;nan
ISL;4;nan
IND;4;nan
IDN;2;nan
IRN;4;nan
IRQ;2;nan
IRL;4;nan
ISR;3;nan
ITA;4;nan
JAM;2;nan
JPN;5;nan
JOR;2;nan
KAZ;3;nan
KEN;2;nan
KIR;2;nan
KWT;2;nan
KGZ;3;nan
LAO;3;nan
LVA;5;nan
LBN;2;nan
LSO;2;nan
LBR;2;nan
LBY;3;nan
LIE;3;nan
LTU;5;nan
LUX;4;nan
MDG;3;nan
MWI;2;nan
MYS;2;nan
MDV;2;nan
MLI;3;nan
MLT;3;nan
MHL;1;nan
MRT;3;nan
MUS;2;nan
MEX;2;nan
FSM;1;nan
MDA;5;nan
MCO;3;nan
MNG;5;nan
MNE;5;nan
MAR;3;nan
MOZ;2;nan
MMR;3;nan
NAM;2;nan
NRU;1;nan
NPL;2;nan
NZL;3;nan
NIC;2;nan
NER;3;nan
NGA;2;nan
MKD;4;nan
NOR;4;nan
OMN;2;nan
PAK;2;nan
PLW;1;nan
PAN;3;nan
PNG;1;nan
PRY;2;nan
PER;2;nan
POL;5;nan
PRT;4;nan
QAT;2;nan
KOR;5;nan
COG;3;nan
ROU;5;nan
RUS;5;nan
RWA;2;nan
WSM;2;nan
SMR;5;nan
STP;2;nan
SAU;2;nan
SEN;3;nan
SRB;5;nan
SYC;3;nan
SLE;2;nan
SGP;2;nan
SVK;5;nan
SVN;5;nan
SLB;2;nan
SOM;3;nan
ZAF;3;nan
SSD;2;nan
ESP;3;nan
LKA;2;nan
KNA;2;nan
LCA;2;nan
VCT;2;nan
SDN;2;nan
SUR;1;nan
SWE;5;nan
CHE;3;nan
SYR;3;nan
TJK;5;nan
TZA;2;nan
THA;2;nan
GMB;4;nan
NLD;3;nan
PHL;2;nan
TLS;2;nan
TGO;3;nan
TON;1;nan
TTO;3;nan
TUN;2;nan
TUR;3;nan
TKM;5;nan
TUV;2;nan
UGA;2;nan
UKR;5;nan
ARE;2;nan
GBR;4;nan
USA;1;nan
URY;3;nan
UZB;5;nan
VUT;2;nan
VEN;4;nan
VNM;4;nan
YEM;2;nan
ZMB;3;nan
ZWE;3;nan
