COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_NOTE_OF_SOURCE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2010;10–32;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2010;66-89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2010;90-100;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2010;10–32;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2010;10–32;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2010;information is not available, could not be identified or is not applicable;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2010;90-100;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2010;33–65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2010;66-89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2010;90-100;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;AT;AUT;AUT;nan
