GHO;PUBLISHSTATE;YEAR;REGION;COUNTRY;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AFR;STP;None;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AFR;SEN;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AFR;SYC;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AFR;ZAF;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AFR;SWZ;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AFR;UGA;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AFR;TZA;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AFR;ZMB;None;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AFR;ZWE;None;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AMR;BLZ;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AMR;BOL;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AMR;BRA;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AMR;ECU;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AMR;SLV;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AMR;GTM;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AMR;GUY;Limited;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AMR;HND;None;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AMR;JAM;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AMR;DOM;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AMR;DMA;None;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AMR;CUB;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS;PUBLISHED;2012-2014;AMR;CRI;Larger scale;;;;;;;http://apps.who.int/gho/athena/api/GHO/VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS.csv
