iso3;admiss_age;ATTR_ENDPOINT
AFG;5.0;nan
ALB;5.0;nan
DZA;5.0;nan
AND;5.0;nan
AGO;5.0;nan
ATG;3.0;nan
ARG;5.0;nan
ARM;5.0;nan
AUS;4.0;nan
AUT;4.0;nan
AZE;4.0;nan
BHS;5.0;nan
BHR;4.0;nan
BGD;3.0;nan
BRB;5.0;nan
BLR;5.0;nan
BEL;4.0;nan
BLZ;3.0;nan
BEN;3.0;nan
BTN;2.0;nan
BOL;3.0;nan
BIH;4.0;nan
BWA;4.0;nan
BRA;5.0;nan
BRN;5.0;nan
BGR;5.0;nan
BFA;5.0;nan
BDI;5.0;nan
KHM;4.0;nan
CMR;3.0;nan
CAN;5.0;nan
CPV;4.0;nan
CAF;3.0;nan
TCD;3.0;nan
CHL;5.0;nan
CHN;5.0;nan
COL;4.0;nan
COM;4.0;nan
COD;5.0;nan
COG;5.0;nan
CRI;4.0;nan
CIV;5.0;nan
HRV;4.0;nan
CUB;5.0;nan
CYP;4.0;nan
CZE;4.0;nan
DNK;4.0;nan
DJI;5.0;nan
DMA;2.0;nan
DOM;3.0;nan
ECU;4.0;nan
EGY;4.0;nan
SLV;3.0;nan
GNQ;5.0;nan
ERI;3.0;nan
EST;4.0;nan
ETH;3.0;nan
FJI;4.0;nan
FIN;4.0;nan
FRA;5.0;nan
GAB;5.0;nan
GMB;5.0;nan
GEO;5.0;nan
DEU;4.0;nan
GHA;4.0;nan
GRC;4.0;nan
GRD;5.0;nan
GTM;3.0;nan
GIN;5.0;nan
GNB;3.0;nan
GUY;4.0;nan
HTI;4.0;nan
HND;3.0;nan
HUN;5.0;nan
ISL;5.0;nan
IND;3.0;nan
IDN;4.0;nan
IRN;4.0;nan
IRQ;4.0;nan
IRL;5.0;nan
ISR;4.0;nan
ITA;4.0;nan
JAM;4.0;nan
JPN;4.0;nan
JOR;5.0;nan
KAZ;5.0;nan
KEN;5.0;nan
KIR;3.0;nan
PRK;5.0;nan
KOR;4.0;nan
KWT;4.0;nan
KGZ;5.0;nan
LAO;3.0;nan
LVA;4.0;nan
LBN;3.0;nan
LSO;4.0;nan
LBR;4.0;nan
LBY;5.0;nan
LIE;4.0;nan
LTU;5.0;nan
LUX;4.0;nan
MKD;4.0;nan
MDG;4.0;nan
MWI;3.0;nan
MYS;4.0;nan
MDV;5.0;nan
MLI;3.0;nan
MLT;5.0;nan
MHL;1.0;nan
MRT;3.0;nan
MUS;5.0;nan
MEX;4.0;nan
FSM;1.0;nan
MDA;5.0;nan
MCO;5.0;nan
MNG;5.0;nan
MNE;4.0;nan
MAR;4.0;nan
MOZ;4.0;nan
MMR;5.0;nan
NAM;5.0;nan
NRU;;nan
NPL;3.0;nan
NLD;5.0;nan
NZL;1.0;nan
NIC;5.0;nan
NER;3.0;nan
NGA;3.0;nan
NOR;4.0;nan
OMN;4.0;nan
PAK;1.0;nan
PLW;1.0;nan
PAN;3.0;nan
PNG;5.0;nan
PRY;4.0;nan
PER;3.0;nan
PHL;4.0;nan
POL;5.0;nan
PRT;5.0;nan
QAT;5.0;nan
ROU;5.0;nan
RUS;5.0;nan
RWA;5.0;nan
WSM;4.0;nan
SMR;1.0;nan
STP;3.0;nan
SAU;4.0;nan
SEN;4.0;nan
SRB;4.0;nan
SYC;4.0;nan
SLE;4.0;nan
SGP;4.0;nan
SVK;4.0;nan
SVN;4.0;nan
SLB;2.0;nan
SOM;4.0;nan
ZAF;4.0;nan
SSD;3.0;nan
ESP;5.0;nan
LKA;3.0;nan
KNA;;nan
LCA;4.0;nan
VCT;3.0;nan
SDN;3.0;nan
SUR;3.0;nan
SWZ;4.0;nan
SWE;5.0;nan
CHE;4.0;nan
SYR;4.0;nan
TJK;4.0;nan
TZA;3.0;nan
THA;4.0;nan
TLS;4.0;nan
TGO;4.0;nan
TON;1.0;nan
TTO;5.0;nan
TUN;5.0;nan
TUR;4.0;nan
TKM;5.0;nan
TUV;3.0;nan
UGA;3.0;nan
UKR;5.0;nan
ARE;4.0;nan
GBR;4.0;nan
USA;5.0;nan
URY;4.0;nan
UZB;5.0;nan
VUT;4.0;nan
VEN;3.0;nan
VNM;4.0;nan
YEM;4.0;nan
ZMB;4.0;nan
ZWE;5.0;nan
