GHO;PUBLISHSTATE;YEAR;REGION;COUNTRY;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
SA_0000001555;PUBLISHED;2016;AFR;BFA;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;CMR;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;MWI;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;MUS;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;NER;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;BLZ;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;CAN;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;CRI;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;AZE;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;BIH;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;LVA;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;MLT;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;NLD;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;PHL;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;SGP;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;GMB;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;CIV;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;TJK;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;KIR;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;VNM;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;CPV;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;GAB;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;LSO;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
