Participant 2, 3, 4;Signature;Definitive signature(s), Acceptance(A);ATTR_ENDPOINT
Afghanistan;;19 Apr 1948 A;nan
Albania;22 Jul 1946;26 May 1947 A;nan
Algeria;;8 Nov 1962 A;nan
Andorra;;15 Jan 1997 A;nan
Angola;;15 May 1976 A;nan
Antigua and Barbuda;;12 Mar 1984 A;nan
Argentina;22 Jul 1946;22 Oct 1948 A;nan
Armenia;;4 May 1992 A;nan
Australia;22 Jul 1946;2 Feb 1948 A;nan
Austria;22 Jul 1946;30 Jun 1947 A;nan
Azerbaijan;;2 Oct 1992 A;nan
Bahamas;;1 Apr 1974 A;nan
Bahrain;;2 Nov 1971 A;nan
Bangladesh;;19 May 1972 A;nan
Barbados;;25 Apr 1967 A;nan
Belarus;22 Jul 1946;7 Apr 1948 A;nan
Belgium;22 Jul 1946;25 Jun 1948 A;nan
Belize;;23 Aug 1990 A;nan
Benin;;20 Sep 1960 A;nan
Bhutan;;8 Mar 1982 A;nan
Bolivia (Plurinational State of);22 Jul 1946;23 Dec 1949 A;nan
Bosnia and Herzegovina;;10 Sep 1992 A;nan
Botswana;;26 Feb 1975 A;nan
Brazil;22 Jul 1946;2 Jun 1948 A;nan
Brunei Darussalam;;25 Mar 1985 A;nan
Bulgaria;22 Jul 1946;9 Jun 1948 A;nan
Burkina Faso;;4 Oct 1960 A;nan
Burundi;;22 Oct 1962 A;nan
Cabo Verde;;5 Jan 1976 A;nan
Cambodia;;17 May 1950 A;nan
Cameroon;;6 May 1960 A;nan
Canada;22 Jul 1946;29 Aug 1946 A;nan
Central African Republic;;20 Sep 1960 A;nan
Chad;;1 Jan 1961 A;nan
Chile;22 Jul 1946;15 Oct 1948 A;nan
China 4, 5, 6;;22 Jul 1946 s;nan
Colombia;22 Jul 1946;14 May 1959 A;nan
Comoros;;9 Dec 1975 A;nan
Congo;;26 Oct 1960 A;nan
Cook Islands;;9 May 1984 A;nan
Costa Rica;22 Jul 1946;17 Mar 1949 A;nan
Côte d'Ivoire;;28 Oct 1960 A;nan
Croatia;;11 Jun 1992 A;nan
Cuba;22 Jul 1946;9 May 1950 A;nan
Cyprus;;16 Jan 1961 A;nan
Czech Republic 7;;22 Jan 1993 A;nan
Democratic People's Republic of Korea;;19 May 1973 A;nan
Democratic Republic of the Congo;;24 Feb 1961 A;nan
Denmark;22 Jul 1946;19 Apr 1948 A;nan
