COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2021;No Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2021;No Data;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2021;No Data;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2021;No Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2021;No Data;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2021;Draft Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2021;No Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2021;No Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2021;No Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BG;BGR;BGR;nan
BFA;Burkina Faso;2021;No Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BF;BFA;BFA;nan
BDI;Burundi;2021;Draft Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;BI;BDI;BDI;nan
CPV;Cabo Verde;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;CV;CPV;CPV;nan
KHM;Cambodia;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;KH;KHM;KHM;nan
CMR;Cameroon;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;CM;CMR;CMR;nan
CAN;Canada;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;;;CAN;nan
CAF;Central African Republic;2021;No Data;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;CF;CAF;CAF;nan
TCD;Chad;2021;No Data;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;TD;TCD;TCD;nan
CHL;Chile;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;CL;CHL;CHL;nan
CHN;China;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;CN;CHN;CHN;nan
COL;Colombia;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;CO;COL;COL;nan
COM;Comoros;2021;No Data;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;KM;COM;COM;nan
COG;Congo;2021;No Data;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;CG;COG;COG;nan
COD;DR Congo;2021;Draft Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;;;COD;nan
CRI;Costa Rica;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;CR;CRI;CRI;nan
CIV;Côte d'Ivoire;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;;;CIV;nan
HRV;Croatia;2021;Legislation;Despite the importance of consumer confidence for business-to-consumer e-commerce, many developing and transition economies still lack laws to protect consumers online. In as many as 52 countries, it was not possible to obtain data, suggesting that online consumer protection is not being fully addressed. Out of 142 countries for which data are available, 115 have adopted legislation on consumer protection related to e-commerce. That share varies from 78% in Europe to 52% in Africa and 71% in the Americas.;;;;;;;;;;;;HR;HRV;HRV;nan
