iso3;light_age;ATTR_ENDPOINT
AFG;5.0;nan
ALB;5.0;nan
DZA;3.0;nan
AND;4.0;nan
AGO;4.0;nan
ATG;1.0;nan
ARG;4.0;nan
ARM;4.0;nan
AUS;3.0;nan
AUT;3.0;nan
AZE;4.0;nan
BHS;1.0;nan
BHR;5.0;nan
BGD;2.0;nan
BRB;5.0;nan
BLR;4.0;nan
BEL;5.0;nan
BLZ;2.0;nan
BEN;2.0;nan
BTN;3.0;nan
BOL;2.0;nan
BIH;5.0;nan
BWA;4.0;nan
BRA;5.0;nan
BRN;4.0;nan
BGR;5.0;nan
BFA;3.0;nan
BDI;2.0;nan
KHM;2.0;nan
CMR;4.0;nan
CAN;1.0;nan
CPV;1.0;nan
CAF;2.0;nan
TCD;2.0;nan
CHL;5.0;nan
CHN;5.0;nan
COL;5.0;nan
COM;1.0;nan
COD;5.0;nan
COG;5.0;nan
CRI;5.0;nan
CIV;5.0;nan
HRV;5.0;nan
CUB;5.0;nan
CYP;5.0;nan
CZE;5.0;nan
DNK;3.0;nan
DJI;5.0;nan
DMA;1.0;nan
DOM;1.0;nan
ECU;5.0;nan
EGY;2.0;nan
SLV;2.0;nan
GNQ;5.0;nan
ERI;4.0;nan
EST;3.0;nan
ETH;4.0;nan
FJI;3.0;nan
FIN;4.0;nan
FRA;4.0;nan
GAB;5.0;nan
GMB;5.0;nan
GEO;4.0;nan
DEU;3.0;nan
GHA;3.0;nan
GRC;1.0;nan
GRD;5.0;nan
GTM;4.0;nan
GIN;2.0;nan
GNB;4.0;nan
GUY;5.0;nan
HTI;5.0;nan
HND;4.0;nan
HUN;5.0;nan
ISL;3.0;nan
IND;4.0;nan
IDN;3.0;nan
IRN;5.0;nan
IRQ;5.0;nan
IRL;4.0;nan
ISR;4.0;nan
ITA;3.0;nan
JAM;3.0;nan
JPN;3.0;nan
JOR;5.0;nan
KAZ;4.0;nan
KEN;3.0;nan
KIR;2.0;nan
PRK;5.0;nan
KOR;5.0;nan
KWT;5.0;nan
KGZ;4.0;nan
LAO;2.0;nan
LVA;3.0;nan
LBN;4.0;nan
LSO;3.0;nan
LBR;3.0;nan
LBY;5.0;nan
LIE;4.0;nan
LTU;5.0;nan
LUX;1.0;nan
MKD;5.0;nan
MDG;5.0;nan
MWI;4.0;nan
MYS;1.0;nan
MDV;5.0;nan
MLI;2.0;nan
MLT;4.0;nan
MHL;;nan
MRT;2.0;nan
MUS;5.0;nan
MEX;5.0;nan
FSM;;nan
MDA;5.0;nan
MCO;;nan
MNG;5.0;nan
MNE;5.0;nan
MAR;5.0;nan
MOZ;5.0;nan
MMR;5.0;nan
NAM;4.0;nan
NRU;;nan
NPL;4.0;nan
NLD;3.0;nan
NZL;1.0;nan
NIC;5.0;nan
NER;4.0;nan
NGA;1.0;nan
NOR;3.0;nan
OMN;1.0;nan
PAK;;nan
PLW;;nan
PAN;2.0;nan
PNG;5.0;nan
PRY;4.0;nan
PER;2.0;nan
PHL;1.0;nan
POL;5.0;nan
PRT;1.0;nan
QAT;5.0;nan
ROU;5.0;nan
RUS;4.0;nan
RWA;5.0;nan
WSM;1.0;nan
SMR;;nan
STP;4.0;nan
SAU;3.0;nan
SEN;2.0;nan
SRB;5.0;nan
SYC;2.0;nan
SLE;3.0;nan
SGP;3.0;nan
SVK;1.0;nan
SVN;3.0;nan
SLB;1.0;nan
SOM;5.0;nan
ZAF;5.0;nan
SSD;2.0;nan
ESP;5.0;nan
LKA;1.0;nan
KNA;;nan
LCA;3.0;nan
VCT;1.0;nan
SDN;4.0;nan
SUR;4.0;nan
SWZ;5.0;nan
SWE;3.0;nan
CHE;3.0;nan
SYR;3.0;nan
TJK;4.0;nan
TZA;4.0;nan
THA;5.0;nan
TLS;3.0;nan
TGO;5.0;nan
TON;;nan
TTO;5.0;nan
TUN;3.0;nan
TUR;4.0;nan
TKM;1.0;nan
TUV;4.0;nan
UGA;2.0;nan
UKR;4.0;nan
ARE;5.0;nan
GBR;4.0;nan
USA;4.0;nan
URY;3.0;nan
UZB;5.0;nan
VUT;2.0;nan
VEN;4.0;nan
VNM;3.0;nan
YEM;5.0;nan
ZMB;3.0;nan
ZWE;5.0;nan
