COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_NOTE_OF_SOURCE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2018;no;;"The indicator assesses whether the law specifically requires ISPs to report suspected CSAM to law enforcement (or another mandated agency) 
168: While some countries may have general reporting laws (i.e., anyone with knowledge of any crime must report the crime to the appropriate authorities), only those countries that specifically require ISPs to report suspected CSAM to law enforcement (or another
mandated agency) are included as having ISP reporting laws. Note that there are also provisions in some national laws (mostly within the European Union) that limit ISP liability as long as an ISP removes illegal content once it learns of its presence; however, such
legislation is not included in this section.";Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2018;no;;"The indicator assesses whether the law specifically requires ISPs to report suspected CSAM to law enforcement (or another mandated agency) 
168: While some countries may have general reporting laws (i.e., anyone with knowledge of any crime must report the crime to the appropriate authorities), only those countries that specifically require ISPs to report suspected CSAM to law enforcement (or another
mandated agency) are included as having ISP reporting laws. Note that there are also provisions in some national laws (mostly within the European Union) that limit ISP liability as long as an ISP removes illegal content once it learns of its presence; however, such
legislation is not included in this section.";;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2018;no;;"The indicator assesses whether the law specifically requires ISPs to report suspected CSAM to law enforcement (or another mandated agency) 
168: While some countries may have general reporting laws (i.e., anyone with knowledge of any crime must report the crime to the appropriate authorities), only those countries that specifically require ISPs to report suspected CSAM to law enforcement (or another
mandated agency) are included as having ISP reporting laws. Note that there are also provisions in some national laws (mostly within the European Union) that limit ISP liability as long as an ISP removes illegal content once it learns of its presence; however, such
legislation is not included in this section.";;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2018;no;;"The indicator assesses whether the law specifically requires ISPs to report suspected CSAM to law enforcement (or another mandated agency) 
168: While some countries may have general reporting laws (i.e., anyone with knowledge of any crime must report the crime to the appropriate authorities), only those countries that specifically require ISPs to report suspected CSAM to law enforcement (or another
mandated agency) are included as having ISP reporting laws. Note that there are also provisions in some national laws (mostly within the European Union) that limit ISP liability as long as an ISP removes illegal content once it learns of its presence; however, such
legislation is not included in this section.";;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2018;no;;"The indicator assesses whether the law specifically requires ISPs to report suspected CSAM to law enforcement (or another mandated agency) 
168: While some countries may have general reporting laws (i.e., anyone with knowledge of any crime must report the crime to the appropriate authorities), only those countries that specifically require ISPs to report suspected CSAM to law enforcement (or another
mandated agency) are included as having ISP reporting laws. Note that there are also provisions in some national laws (mostly within the European Union) that limit ISP liability as long as an ISP removes illegal content once it learns of its presence; however, such
legislation is not included in this section.";;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2018;no;;"The indicator assesses whether the law specifically requires ISPs to report suspected CSAM to law enforcement (or another mandated agency) 
168: While some countries may have general reporting laws (i.e., anyone with knowledge of any crime must report the crime to the appropriate authorities), only those countries that specifically require ISPs to report suspected CSAM to law enforcement (or another
mandated agency) are included as having ISP reporting laws. Note that there are also provisions in some national laws (mostly within the European Union) that limit ISP liability as long as an ISP removes illegal content once it learns of its presence; however, such
legislation is not included in this section.";;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2018;no;;"The indicator assesses whether the law specifically requires ISPs to report suspected CSAM to law enforcement (or another mandated agency) 
168: While some countries may have general reporting laws (i.e., anyone with knowledge of any crime must report the crime to the appropriate authorities), only those countries that specifically require ISPs to report suspected CSAM to law enforcement (or another
mandated agency) are included as having ISP reporting laws. Note that there are also provisions in some national laws (mostly within the European Union) that limit ISP liability as long as an ISP removes illegal content once it learns of its presence; however, such
legislation is not included in this section.";;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2018;no;;"The indicator assesses whether the law specifically requires ISPs to report suspected CSAM to law enforcement (or another mandated agency) 
168: While some countries may have general reporting laws (i.e., anyone with knowledge of any crime must report the crime to the appropriate authorities), only those countries that specifically require ISPs to report suspected CSAM to law enforcement (or another
mandated agency) are included as having ISP reporting laws. Note that there are also provisions in some national laws (mostly within the European Union) that limit ISP liability as long as an ISP removes illegal content once it learns of its presence; however, such
legislation is not included in this section.";;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2018;yes;;"The indicator assesses whether the law specifically requires ISPs to report suspected CSAM to law enforcement (or another mandated agency) 
168: While some countries may have general reporting laws (i.e., anyone with knowledge of any crime must report the crime to the appropriate authorities), only those countries that specifically require ISPs to report suspected CSAM to law enforcement (or another
mandated agency) are included as having ISP reporting laws. Note that there are also provisions in some national laws (mostly within the European Union) that limit ISP liability as long as an ISP removes illegal content once it learns of its presence; however, such
legislation is not included in this section.";;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2018;no;The Austrian legislation foresees the need for mandatory deletion of child pornography on the Internet on basis of paragraph 16 of the E-Commerce Law, paragraph 26 of the Austrian criminal code and paragraph 110 of the Austrian code of criminal procedure. Paragraph 16 of the E-Commerce Law obligates host providers, as soon as they have knowledge about unlawful content, to immediately delete said content and to block the access to said content respectively… For private persons there is no obligation to notify the police, therefore, internet service providers are not obligated to notify law enforcement or other institutions in case of suspicion of child pornography. Letter from Thomas Stölzl, Counselor, Embassy of Austria, Washington, D.C., to the International Centre for Missing & Exploited Children (Sep. 4, 2012) (on file with the International Centre for Missing & Exploited Children).;"The indicator assesses whether the law specifically requires ISPs to report suspected CSAM to law enforcement (or another mandated agency) 
168: While some countries may have general reporting laws (i.e., anyone with knowledge of any crime must report the crime to the appropriate authorities), only those countries that specifically require ISPs to report suspected CSAM to law enforcement (or another
mandated agency) are included as having ISP reporting laws. Note that there are also provisions in some national laws (mostly within the European Union) that limit ISP liability as long as an ISP removes illegal content once it learns of its presence; however, such
legislation is not included in this section.";;;;;;;;;;;;AT;AUT;AUT;nan
