GHO;PUBLISHSTATE;YEAR;REGION;COUNTRY;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;COD;No data received;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;SLE;No data received;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;ETH;No data received;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;TZA;No data received;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;DNK;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;MCO;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EMR;QAT;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;WPR;WSM;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;CZE;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AMR;SLV;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;GAB;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EMR;MAR;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;NER;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;WPR;TUV;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;UKR;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AMR;BLZ;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;MDG;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;SRB;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;SYC;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EMR;AFG;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;HRV;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;WPR;FJI;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;WPR;LAO;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;MWI;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AMR;PER;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;FRA;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;TKM;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;ARM;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;WPR;AUS;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EMR;DJI;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AMR;DMA;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;FIN;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;WPR;MYS;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;CHE;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EMR;LBN;Don't know;;;;;;Country responded Don't know.;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;BIH;No data received;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;CPV;No data received;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;KAZ;No response;;;;;;No response given to this particular question.;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;GNQ;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;WPR;KIR;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;MLI;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AMR;NIC;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;STP;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;WPR;VNM;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AMR;BHS;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;BEN;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;KGZ;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;LVA;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;LUX;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;NAM;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;TUR;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;AFR;ZWE;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;EUR;GRC;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
NCD_CCS_DietPlan;PUBLISHED;2013;WPR;JPN;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_DietPlan.csv
