COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2023;No - no policy/strategy or legislation.;"Scores: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 0";"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 0";Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2023;Yes - there is policy/strategy AND legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 1";;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 2";;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 3";;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 4";;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 5";;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 6";;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 7";;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2023;Yes - there is policy/strategy AND legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 8";;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2023;Yes - there is policy/strategy AND legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 9";;;;;;;;;;;;AT;AUT;AUT;nan
