Participant;Signature;Approval(AA), Acceptance(A), Accession(a), Succession(d), Ratification;ATTR_ENDPOINT
Afghanistan;12 Jun 1992;19 Sep 2002;nan
Albania;;3 Oct 1994 a;nan
Algeria;13 Jun 1992;9 Jun 1993;nan
Andorra;;2 Mar 2011 a;nan
Angola;14 Jun 1992;17 May 2000;nan
Antigua and Barbuda;4 Jun 1992;2 Feb 1993;nan
Argentina;12 Jun 1992;11 Mar 1994;nan
Armenia;13 Jun 1992;14 May 1993 A;nan
Australia;4 Jun 1992;30 Dec 1992;nan
Austria;8 Jun 1992;28 Feb 1994;nan
Azerbaijan;12 Jun 1992;16 May 1995;nan
Bahamas;12 Jun 1992;29 Mar 1994;nan
Bahrain;8 Jun 1992;28 Dec 1994;nan
Bangladesh;9 Jun 1992;15 Apr 1994;nan
Barbados;12 Jun 1992;23 Mar 1994;nan
Belarus;11 Jun 1992;11 May 2000 AA;nan
Belgium;4 Jun 1992;16 Jan 1996;nan
Belize;13 Jun 1992;31 Oct 1994;nan
Benin;13 Jun 1992;30 Jun 1994;nan
Bhutan;11 Jun 1992;25 Aug 1995;nan
Bolivia (Plurinational State of);10 Jun 1992;3 Oct 1994;nan
Bosnia and Herzegovina;;7 Sep 2000 a;nan
Botswana;12 Jun 1992;27 Jan 1994;nan
Brazil;4 Jun 1992;28 Feb 1994;nan
Brunei Darussalam;;7 Aug 2007 a;nan
Bulgaria;5 Jun 1992;12 May 1995;nan
Burkina Faso;12 Jun 1992;2 Sep 1993;nan
Burundi;11 Jun 1992;6 Jan 1997;nan
Cabo Verde;12 Jun 1992;29 Mar 1995;nan
Cambodia;;18 Dec 1995 a;nan
Cameroon;14 Jun 1992;19 Oct 1994;nan
Canada;12 Jun 1992;4 Dec 1992;nan
Central African Republic;13 Jun 1992;10 Mar 1995;nan
Chad;12 Jun 1992;7 Jun 1994;nan
Chile;13 Jun 1992;22 Dec 1994;nan
China 2, 3;11 Jun 1992;5 Jan 1993;nan
Colombia;13 Jun 1992;22 Mar 1995;nan
Comoros;11 Jun 1992;31 Oct 1994;nan
Congo;12 Jun 1992;14 Oct 1996;nan
Cook Islands;12 Jun 1992;20 Apr 1993;nan
Costa Rica;13 Jun 1992;26 Aug 1994;nan
Côte d'Ivoire;10 Jun 1992;29 Nov 1994;nan
Croatia;11 Jun 1992;8 Apr 1996 A;nan
Cuba;13 Jun 1992;5 Jan 1994;nan
Cyprus;12 Jun 1992;15 Oct 1997;nan
Czech Republic;18 Jun 1993;7 Oct 1993 AA;nan
Democratic People's Republic of Korea;11 Jun 1992;5 Dec 1994 AA;nan
Democratic Republic of the Congo;11 Jun 1992;9 Jan 1995;nan
Denmark;9 Jun 1992;21 Dec 1993;nan
Djibouti;12 Jun 1992;27 Aug 1995;nan
Dominica;;21 Jun 1993 a;nan
Dominican Republic;12 Jun 1992;7 Oct 1998;nan
Ecuador;9 Jun 1992;23 Feb 1993;nan
Egypt;9 Jun 1992;5 Dec 1994;nan
El Salvador;13 Jun 1992;4 Dec 1995;nan
Equatorial Guinea;;16 Aug 2000 a;nan
Eritrea;;24 Apr 1995 a;nan
