Participant;Signature;Ratification, Acceptance(A), Approval(AA), Accession(a);ATTR_ENDPOINT
Afghanistan;22 Apr 2016;15 Feb 2017;nan
Albania;22 Apr 2016;21 Sep 2016;nan
Algeria;22 Apr 2016;20 Oct 2016;nan
Andorra;22 Apr 2016;24 Mar 2017;nan
Angola;22 Apr 2016;16 Nov 2020;nan
Antigua and Barbuda;22 Apr 2016;21 Sep 2016;nan
Argentina;22 Apr 2016;21 Sep 2016;nan
Armenia;20 Sep 2016;23 Mar 2017;nan
Australia;22 Apr 2016;9 Nov 2016;nan
Austria;22 Apr 2016;5 Oct 2016;nan
Azerbaijan;22 Apr 2016;9 Jan 2017;nan
Bahamas;22 Apr 2016;22 Aug 2016;nan
Bahrain;22 Apr 2016;23 Dec 2016;nan
Bangladesh;22 Apr 2016;21 Sep 2016;nan
Barbados;22 Apr 2016;22 Apr 2016;nan
Belarus;22 Apr 2016;21 Sep 2016 A;nan
Belgium;22 Apr 2016;6 Apr 2017;nan
Belize;22 Apr 2016;22 Apr 2016;nan
Benin;22 Apr 2016;31 Oct 2016;nan
Bhutan;22 Apr 2016;19 Sep 2017;nan
Bolivia (Plurinational State of);22 Apr 2016;5 Oct 2016;nan
Bosnia and Herzegovina;22 Apr 2016;16 Mar 2017;nan
Botswana;22 Apr 2016;11 Nov 2016;nan
Brazil;22 Apr 2016;21 Sep 2016;nan
Brunei Darussalam;22 Apr 2016;21 Sep 2016;nan
Bulgaria;22 Apr 2016;29 Nov 2016;nan
Burkina Faso;22 Apr 2016;11 Nov 2016;nan
Burundi;22 Apr 2016;17 Jan 2018;nan
Cabo Verde;22 Apr 2016;21 Sep 2017;nan
Cambodia;22 Apr 2016;6 Feb 2017;nan
Cameroon;22 Apr 2016;29 Jul 2016;nan
Canada;22 Apr 2016;5 Oct 2016;nan
Central African Republic;22 Apr 2016;11 Oct 2016;nan
Chad;22 Apr 2016;12 Jan 2017;nan
Chile;20 Sep 2016;10 Feb 2017;nan
China;22 Apr 2016;3 Sep 2016;nan
Colombia;22 Apr 2016;12 Jul 2018;nan
Comoros;22 Apr 2016;23 Nov 2016;nan
Congo;22 Apr 2016;21 Apr 2017;nan
Cook Islands;24 Jun 2016;1 Sep 2016;nan
Costa Rica;22 Apr 2016;13 Oct 2016;nan
Côte d'Ivoire;22 Apr 2016;25 Oct 2016;nan
Croatia;22 Apr 2016;24 May 2017;nan
Cuba;22 Apr 2016;28 Dec 2016;nan
Cyprus;22 Apr 2016;4 Jan 2017;nan
Czech Republic;22 Apr 2016;5 Oct 2017;nan
Democratic People's Republic of Korea;22 Apr 2016;1 Aug 2016;nan
Democratic Republic of the Congo;22 Apr 2016;13 Dec 2017;nan
Denmark 1;22 Apr 2016;1 Nov 2016 AA;nan
Djibouti;22 Apr 2016;11 Nov 2016;nan
Dominica;22 Apr 2016;21 Sep 2016;nan
Dominican Republic;22 Apr 2016;21 Sep 2017;nan
Ecuador;26 Jul 2016;20 Sep 2017;nan
Egypt;22 Apr 2016;29 Jun 2017;nan
El Salvador;22 Apr 2016;27 Mar 2017;nan
Equatorial Guinea;22 Apr 2016;30 Oct 2018;nan
Eritrea;22 Apr 2016;;nan
Estonia;22 Apr 2016;4 Nov 2016;nan
Eswatini;22 Apr 2016;21 Sep 2016;nan
Ethiopia;22 Apr 2016;9 Mar 2017;nan
European Union;22 Apr 2016;5 Oct 2016;nan
Fiji;22 Apr 2016;22 Apr 2016;nan
Finland;22 Apr 2016;14 Nov 2016;nan
France;22 Apr 2016;5 Oct 2016;nan
Gabon;22 Apr 2016;2 Nov 2016;nan
Gambia;26 Apr 2016;7 Nov 2016;nan
Georgia;22 Apr 2016;8 May 2017 AA;nan
Germany;22 Apr 2016;5 Oct 2016;nan
Ghana;22 Apr 2016;21 Sep 2016;nan
Greece;22 Apr 2016;14 Oct 2016;nan
Grenada;22 Apr 2016;22 Apr 2016;nan
Guatemala;22 Apr 2016;25 Jan 2017;nan
Guinea;22 Apr 2016;21 Sep 2016;nan
Guinea-Bissau;22 Apr 2016;22 Oct 2018;nan
Guyana;22 Apr 2016;20 May 2016;nan
Haiti;22 Apr 2016;31 Jul 2017;nan
Holy See;;4 Sep 2022 a;nan
Honduras;22 Apr 2016;21 Sep 2016;nan
Hungary;22 Apr 2016;5 Oct 2016;nan
Iceland;22 Apr 2016;21 Sep 2016 A;nan
India;22 Apr 2016;2 Oct 2016;nan
Indonesia;22 Apr 2016;31 Oct 2016;nan
Iran (Islamic Republic of);22 Apr 2016;;nan
Iraq;8 Dec 2016;1 Nov 2021;nan
Ireland;22 Apr 2016;4 Nov 2016;nan
Israel;22 Apr 2016;22 Nov 2016;nan
Italy;22 Apr 2016;11 Nov 2016;nan
Jamaica;22 Apr 2016;10 Apr 2017;nan
Japan;22 Apr 2016;8 Nov 2016 A;nan
Jordan;22 Apr 2016;4 Nov 2016;nan
Kazakhstan;2 Aug 2016;6 Dec 2016;nan
Kenya;22 Apr 2016;28 Dec 2016;nan
Kiribati;22 Apr 2016;21 Sep 2016;nan
Kuwait;22 Apr 2016;23 Apr 2018;nan
Kyrgyzstan;21 Sep 2016;18 Feb 2020;nan
Lao People's Democratic Republic;22 Apr 2016;7 Sep 2016;nan
Latvia;22 Apr 2016;16 Mar 2017;nan
Lebanon;22 Apr 2016;5 Feb 2020;nan
Lesotho;22 Apr 2016;20 Jan 2017;nan
Liberia;22 Apr 2016;27 Aug 2018;nan
Libya;22 Apr 2016;;nan
Liechtenstein;22 Apr 2016;20 Sep 2017;nan
Lithuania;22 Apr 2016;2 Feb 2017;nan
Luxembourg;22 Apr 2016;4 Nov 2016;nan
Madagascar;22 Apr 2016;21 Sep 2016;nan
Malawi;20 Sep 2016;29 Jun 2017;nan
Malaysia;22 Apr 2016;16 Nov 2016;nan
Maldives;22 Apr 2016;22 Apr 2016;nan
Mali;22 Apr 2016;23 Sep 2016;nan
Malta;22 Apr 2016;5 Oct 2016;nan
Marshall Islands;22 Apr 2016;22 Apr 2016;nan
Mauritania;22 Apr 2016;27 Feb 2017;nan
Mauritius;22 Apr 2016;22 Apr 2016;nan
Mexico;22 Apr 2016;21 Sep 2016;nan
Micronesia (Federated States of);22 Apr 2016;15 Sep 2016;nan
Monaco;22 Apr 2016;24 Oct 2016;nan
Mongolia;22 Apr 2016;21 Sep 2016;nan
Montenegro;22 Apr 2016;20 Dec 2017;nan
Morocco;22 Apr 2016;21 Sep 2016;nan
Mozambique;22 Apr 2016;4 Jun 2018;nan
Myanmar;22 Apr 2016;19 Sep 2017;nan
Namibia;22 Apr 2016;21 Sep 2016;nan
Nauru;22 Apr 2016;22 Apr 2016;nan
Nepal;22 Apr 2016;5 Oct 2016;nan
Netherlands 2;22 Apr 2016;28 Jul 2017 A;nan
New Zealand 3;22 Apr 2016;4 Oct 2016;nan
Nicaragua;;23 Oct 2017 a;nan
Niger;22 Apr 2016;21 Sep 2016;nan
Nigeria;22 Sep 2016;16 May 2017;nan
Niue;28 Oct 2016;28 Oct 2016;nan
North Macedonia;22 Apr 2016;9 Jan 2018;nan
Norway;22 Apr 2016;20 Jun 2016;nan
Oman;22 Apr 2016;22 May 2019;nan
Pakistan;22 Apr 2016;10 Nov 2016;nan
Palau;22 Apr 2016;22 Apr 2016;nan
Panama;22 Apr 2016;21 Sep 2016;nan
Papua New Guinea;22 Apr 2016;21 Sep 2016;nan
Paraguay;22 Apr 2016;14 Oct 2016;nan
Peru;22 Apr 2016;25 Jul 2016;nan
Philippines;22 Apr 2016;23 Mar 2017;nan
Poland;22 Apr 2016;7 Oct 2016;nan
Portugal;22 Apr 2016;5 Oct 2016;nan
Qatar;22 Apr 2016;23 Jun 2017;nan
Republic of Korea;22 Apr 2016;3 Nov 2016;nan
Republic of Moldova;21 Sep 2016;20 Jun 2017;nan
Romania;22 Apr 2016;1 Jun 2017;nan
Russian Federation;22 Apr 2016;7 Oct 2019 A;nan
Rwanda;22 Apr 2016;6 Oct 2016;nan
Samoa;22 Apr 2016;22 Apr 2016;nan
San Marino;22 Apr 2016;26 Sep 2018;nan
Sao Tome and Principe;22 Apr 2016;2 Nov 2016;nan
Saudi Arabia;3 Nov 2016;3 Nov 2016;nan
Senegal;22 Apr 2016;21 Sep 2016;nan
Serbia;22 Apr 2016;25 Jul 2017;nan
Seychelles;25 Apr 2016;29 Apr 2016;nan
Sierra Leone;22 Sep 2016;1 Nov 2016;nan
Singapore;22 Apr 2016;21 Sep 2016;nan
Slovakia;22 Apr 2016;5 Oct 2016;nan
Slovenia;22 Apr 2016;16 Dec 2016;nan
Solomon Islands;22 Apr 2016;21 Sep 2016;nan
Somalia;22 Apr 2016;22 Apr 2016;nan
South Africa;22 Apr 2016;1 Nov 2016;nan
South Sudan;22 Apr 2016;23 Feb 2021;nan
Spain;22 Apr 2016;12 Jan 2017;nan
Sri Lanka;22 Apr 2016;21 Sep 2016;nan
St. Kitts and Nevis;22 Apr 2016;22 Apr 2016;nan
St. Lucia;22 Apr 2016;22 Apr 2016;nan
St. Vincent and the Grenadines;22 Apr 2016;29 Jun 2016;nan
State of Palestine;22 Apr 2016;22 Apr 2016;nan
Sudan;22 Apr 2016;2 Aug 2017;nan
Suriname;22 Apr 2016;13 Feb 2019;nan
Sweden;22 Apr 2016;13 Oct 2016;nan
Switzerland;22 Apr 2016;6 Oct 2017;nan
Syrian Arab Republic;;13 Nov 2017 a;nan
Tajikistan;22 Apr 2016;22 Mar 2017;nan
Thailand;22 Apr 2016;21 Sep 2016;nan
Timor-Leste;22 Apr 2016;16 Aug 2017;nan
Togo;19 Sep 2016;28 Jun 2017;nan
Tonga;22 Apr 2016;21 Sep 2016;nan
Trinidad and Tobago;22 Apr 2016;22 Feb 2018;nan
Tunisia;22 Apr 2016;10 Feb 2017;nan
Türkiye;22 Apr 2016;11 Oct 2021;nan
Turkmenistan;23 Sep 2016;20 Oct 2016;nan
Tuvalu;22 Apr 2016;22 Apr 2016;nan
Uganda;22 Apr 2016;21 Sep 2016;nan
Ukraine;22 Apr 2016;19 Sep 2016;nan
United Arab Emirates;22 Apr 2016;21 Sep 2016 A;nan
United Kingdom of Great Britain and Northern Ireland 4;22 Apr 2016;18 Nov 2016;nan
United Republic of Tanzania;22 Apr 2016;18 May 2018;nan
United States of America 5;22 Apr 2016;20 Jan 2021 A;nan
Uruguay;22 Apr 2016;19 Oct 2016;nan
Uzbekistan;19 Apr 2017;9 Nov 2018;nan
Vanuatu;22 Apr 2016;21 Sep 2016;nan
Venezuela (Bolivarian Republic of);22 Apr 2016;21 Jul 2017;nan
Viet Nam;22 Apr 2016;3 Nov 2016 AA;nan
Yemen;23 Sep 2016;;nan
Zambia;20 Sep 2016;9 Dec 2016;nan
Zimbabwe;22 Apr 2016;7 Aug 2017;nan
