Participant;Signature;Approval(AA), Formal confirmation(c), Acceptance(A), Accession(a), Succession(d), Ratification;ATTR_ENDPOINT
Afghanistan;22 Mar 1989;25 Mar 2013;nan
Albania;;29 Jun 1999 a;nan
Algeria;;15 Sep 1998 a;nan
Andorra;;23 Jul 1999 a;nan
Angola;;6 Feb 2017 a;nan
Antigua and Barbuda;;5 Apr 1993 a;nan
Argentina;28 Jun 1989;27 Jun 1991;nan
Armenia;;1 Oct 1999 a;nan
Australia;;5 Feb 1992 a;nan
Austria;19 Mar 1990;12 Jan 1993;nan
Azerbaijan;;1 Jun 2001 a;nan
Bahamas;;12 Aug 1992 a;nan
Bahrain;22 Mar 1989;15 Oct 1992;nan
Bangladesh;;1 Apr 1993 a;nan
Barbados;;24 Aug 1995 a;nan
Belarus;;10 Dec 1999 a;nan
Belgium;22 Mar 1989;1 Nov 1993;nan
Belize;;23 May 1997 a;nan
Benin;;4 Dec 1997 a;nan
Bhutan;;26 Aug 2002 a;nan
Bolivia (Plurinational State of);22 Mar 1989;15 Nov 1996;nan
Bosnia and Herzegovina;;16 Mar 2001 a;nan
Botswana;;20 May 1998 a;nan
Brazil;;1 Oct 1992 a;nan
Brunei Darussalam;;16 Dec 2002 a;nan
Bulgaria;;16 Feb 1996 a;nan
Burkina Faso;;4 Nov 1999 a;nan
Burundi;;6 Jan 1997 a;nan
Cabo Verde;;2 Jul 1999 a;nan
Cambodia;;2 Mar 2001 a;nan
Cameroon;;9 Feb 2001 a;nan
Canada;22 Mar 1989;28 Aug 1992;nan
Central African Republic;;24 Feb 2006 a;nan
Chad;;10 Mar 2004 a;nan
Chile;31 Jan 1990;11 Aug 1992;nan
China 6, 7;22 Mar 1990;17 Dec 1991;nan
Colombia;22 Mar 1989;31 Dec 1996;nan
Comoros;;31 Oct 1994 a;nan
Congo;;20 Apr 2007 a;nan
Cook Islands;;29 Jun 2004 a;nan
Costa Rica;;7 Mar 1995 a;nan
Côte d'Ivoire;;1 Dec 1994 a;nan
Croatia;;9 May 1994 a;nan
Cuba;;3 Oct 1994 a;nan
Cyprus;22 Mar 1989;17 Sep 1992;nan
Czech Republic 8;;30 Sep 1993 d;nan
Democratic People's Republic of Korea;;10 Jul 2008 a;nan
Democratic Republic of the Congo;;6 Oct 1994 a;nan
Denmark;22 Mar 1989;6 Feb 1994 AA;nan
Djibouti;;31 May 2002 a;nan
Dominica;;5 May 1998 a;nan
Dominican Republic;;10 Jul 2000 a;nan
Ecuador;22 Mar 1989;23 Feb 1993;nan
Egypt 9;;8 Jan 1993 a;nan
El Salvador;22 Mar 1990;13 Dec 1991;nan
Equatorial Guinea;;7 Feb 2003 a;nan
Eritrea;;10 Mar 2005 a;nan
Estonia;;21 Jul 1992 a;nan
Eswatini;;8 Aug 2005 a;nan
Ethiopia;;12 Apr 2000 a;nan
European Union;22 Mar 1989;7 Feb 1994 AA;nan
Finland;22 Mar 1989;19 Nov 1991 A;nan
France;22 Mar 1989;7 Jan 1991 AA;nan
Gabon;;6 Jun 2008 a;nan
Gambia;;15 Dec 1997 a;nan
Georgia;;20 May 1999 a;nan
Germany 10;23 Oct 1989;21 Apr 1995;nan
Ghana;;30 May 2003 a;nan
Greece;22 Mar 1989;4 Aug 1994;nan
Grenada;;15 Oct 2021 a;nan
Guatemala;22 Mar 1989;15 May 1995;nan
Guinea;;26 Apr 1995 a;nan
Guinea-Bissau;;9 Feb 2005 a;nan
Guyana;;4 Apr 2001 a;nan
Haiti;22 Mar 1989;;nan
Honduras;;27 Dec 1995 a;nan
Hungary;22 Mar 1989;21 May 1990 AA;nan
Iceland;;28 Jun 1995 a;nan
India;15 Mar 1990;24 Jun 1992;nan
Indonesia;;20 Sep 1993 a;nan
Iran (Islamic Republic of);;5 Jan 1993 a;nan
Iraq;;2 May 2011 a;nan
Ireland;19 Jan 1990;7 Feb 1994;nan
Israel;22 Mar 1989;14 Dec 1994;nan
Italy;22 Mar 1989;7 Feb 1994;nan
Jamaica;;23 Jan 2003 a;nan
Japan;;17 Sep 1993 a;nan
Jordan;22 Mar 1989;22 Jun 1989 AA;nan
Kazakhstan;;3 Jun 2003 a;nan
Kenya;;1 Jun 2000 a;nan
Kiribati;;7 Sep 2000 a;nan
Kuwait;22 Mar 1989;11 Oct 1993;nan
Kyrgyzstan;;13 Aug 1996 a;nan
Lao People's Democratic Republic;;21 Sep 2010 a;nan
Latvia;;14 Apr 1992 a;nan
Lebanon;22 Mar 1989;21 Dec 1994;nan
Lesotho;;31 May 2000 a;nan
Liberia;;22 Sep 2004 a;nan
Libya;;12 Jul 2001 a;nan
Liechtenstein;22 Mar 1989;27 Jan 1992;nan
Lithuania;;22 Apr 1999 a;nan
Luxembourg;22 Mar 1989;7 Feb 1994;nan
Madagascar;;2 Jun 1999 a;nan
Malawi;;21 Apr 1994 a;nan
Malaysia;;8 Oct 1993 a;nan
Maldives;;28 Apr 1992 a;nan
Mali;;5 Dec 2000 a;nan
Malta;;19 Jun 2000 a;nan
Marshall Islands;;27 Jan 2003 a;nan
Mauritania;;16 Aug 1996 a;nan
Mauritius;;24 Nov 1992 a;nan
Mexico;22 Mar 1989;22 Feb 1991;nan
Micronesia (Federated States of);;6 Sep 1995 a;nan
Monaco;;31 Aug 1992 a;nan
Mongolia;;15 Apr 1997 a;nan
Montenegro 11;;23 Oct 2006 d;nan
Morocco;;28 Dec 1995 a;nan
Mozambique;;13 Mar 1997 a;nan
Myanmar;;6 Jan 2015 a;nan
Namibia;;15 May 1995 a;nan
Nauru;;12 Nov 2001 a;nan
Nepal;;15 Oct 1996 a;nan
Netherlands 12;22 Mar 1989;16 Apr 1993 A;nan
New Zealand 13;18 Dec 1989;20 Dec 1994;nan
Nicaragua;;3 Jun 1997 a;nan
Niger;;17 Jun 1998 a;nan
Nigeria;15 Mar 1990;13 Mar 1991;nan
North Macedonia;;16 Jul 1997 a;nan
Norway;22 Mar 1989;2 Jul 1990;nan
Oman;;8 Feb 1995 a;nan
Pakistan;;26 Jul 1994 a;nan
Palau;;8 Sep 2011 a;nan
Panama;22 Mar 1989;22 Feb 1991;nan
Papua New Guinea;;1 Sep 1995 a;nan
Paraguay;;28 Sep 1995 a;nan
Peru;;23 Nov 1993 a;nan
Philippines;22 Mar 1989;21 Oct 1993;nan
Poland;22 Mar 1990;20 Mar 1992;nan
Portugal 6;26 Jun 1989;26 Jan 1994;nan
Qatar;;9 Aug 1995 a;nan
Republic of Korea;;28 Feb 1994 a;nan
Republic of Moldova;;2 Jul 1998 a;nan
Romania;;27 Feb 1991 a;nan
Russian Federation;22 Mar 1990;31 Jan 1995;nan
Rwanda;;7 Jan 2004 a;nan
Samoa;;22 Mar 2002 a;nan
Sao Tome and Principe;;12 Nov 2013 a;nan
Saudi Arabia;22 Mar 1989;7 Mar 1990;nan
Senegal;;10 Nov 1992 a;nan
Serbia 14;;18 Apr 2000 a;nan
Seychelles;;11 May 1993 a;nan
Sierra Leone;;1 Nov 2016 a;nan
Singapore;;2 Jan 1996 a;nan
Slovakia 8;;28 May 1993 d;nan
Slovenia;;7 Oct 1993 a;nan
Solomon Islands;;25 Aug 2022 a;nan
Somalia;;26 Jul 2010 a;nan
South Africa;;5 May 1994 a;nan
Spain 15, 16;22 Mar 1989;7 Feb 1994;nan
Sri Lanka;;28 Aug 1992 a;nan
St. Kitts and Nevis;;7 Sep 1994 a;nan
St. Lucia;;9 Dec 1993 a;nan
St. Vincent and the Grenadines;;2 Dec 1996 a;nan
State of Palestine;;2 Jan 2015 a;nan
Sudan;;9 Jan 2006 a;nan
Suriname;;20 Sep 2011 a;nan
Sweden;22 Mar 1989;2 Aug 1991;nan
Switzerland;22 Mar 1989;31 Jan 1990;nan
Syrian Arab Republic;11 Oct 1989;22 Jan 1992;nan
Tajikistan;;30 Jun 2016 a;nan
Thailand;22 Mar 1990;24 Nov 1997;nan
Togo;;2 Jul 2004 a;nan
Tonga;;26 Mar 2010 a;nan
Trinidad and Tobago;;18 Feb 1994 a;nan
Tunisia;;11 Oct 1995 a;nan
Türkiye;22 Mar 1989;22 Jun 1994;nan
Turkmenistan;;25 Sep 1996 a;nan
Tuvalu;;21 Aug 2020 a;nan
Uganda;;11 Mar 1999 a;nan
Ukraine;;8 Oct 1999 a;nan
United Arab Emirates;22 Mar 1989;17 Nov 1992;nan
United Kingdom of Great Britain and Northern Ireland 7, 15;6 Oct 1989;7 Feb 1994;nan
United Republic of Tanzania;;7 Apr 1993 a;nan
United States of America 17;22 Mar 1990;;nan
Uruguay;22 Mar 1989;20 Dec 1991;nan
Uzbekistan;;7 Feb 1996 a;nan
Vanuatu;;16 Oct 2018 a;nan
Venezuela (Bolivarian Republic of);22 Mar 1989;3 Mar 1998;nan
Viet Nam;;13 Mar 1995 a;nan
Yemen;;21 Feb 1996 a;nan
Zambia;;15 Nov 1994 a;nan
Zimbabwe;;1 Mar 2012 a;nan
