Participant;Signature, Succession to signature(d);Ratification, Acceptance(A), Approval(AA), Accession(a);ATTR_ENDPOINT
Afghanistan;;20 Feb 2013 a;nan
Albania;5 Dec 2001;4 Oct 2004;nan
Algeria;5 Sep 2001;22 Sep 2006;nan
Angola;;23 Oct 2006 a;nan
Antigua and Barbuda;23 May 2001;10 Sep 2003;nan
Argentina;23 May 2001;25 Jan 2005;nan
Armenia;23 May 2001;26 Nov 2003;nan
Australia;23 May 2001;20 May 2004;nan
Austria;23 May 2001;27 Aug 2002;nan
Azerbaijan;;13 Jan 2004 a;nan
Bahamas;20 Mar 2002;3 Oct 2005;nan
Bahrain;22 May 2002;31 Jan 2006;nan
Bangladesh;23 May 2001;12 Mar 2007;nan
Barbados;;7 Jun 2004 a;nan
Belarus;;3 Feb 2004 a;nan
Belgium;23 May 2001;25 May 2006;nan
Belize;14 May 2002;25 Jan 2010;nan
Benin;23 May 2001;5 Jan 2004;nan
Bolivia (Plurinational State of);23 May 2001;3 Jun 2003;nan
Bosnia and Herzegovina;23 May 2001;30 Mar 2010;nan
Botswana;;28 Oct 2002 a;nan
Brazil;23 May 2001;16 Jun 2004;nan
Brunei Darussalam;21 May 2002;;nan
Bulgaria;23 May 2001;20 Dec 2004;nan
Burkina Faso;23 May 2001;31 Dec 2004;nan
Burundi;2 Apr 2002;2 Aug 2005;nan
Cabo Verde;;1 Mar 2006 a;nan
Cambodia;23 May 2001;25 Aug 2006;nan
Cameroon;5 Oct 2001;19 May 2009;nan
Canada;23 May 2001;23 May 2001;nan
Central African Republic;9 May 2002;12 Feb 2008;nan
Chad;16 May 2002;10 Mar 2004;nan
Chile;23 May 2001;20 Jan 2005;nan
China 8;23 May 2001;13 Aug 2004;nan
Colombia;23 May 2001;22 Oct 2008;nan
Comoros;23 May 2001;23 Feb 2007;nan
Congo;4 Dec 2001;12 Feb 2007;nan
Cook Islands;;29 Jun 2004 a;nan
Costa Rica;16 Apr 2002;6 Feb 2007;nan
Côte d'Ivoire;23 May 2001;20 Jan 2004;nan
Croatia;23 May 2001;30 Jan 2007;nan
Cuba;23 May 2001;21 Dec 2007;nan
Cyprus;;7 Mar 2005 a;nan
Czech Republic;23 May 2001;6 Aug 2002;nan
Democratic People's Republic of Korea;;26 Aug 2002 a;nan
Democratic Republic of the Congo;;23 Mar 2005 a;nan
Denmark 9;23 May 2001;17 Dec 2003;nan
Djibouti;15 Nov 2001;11 Mar 2004;nan
Dominica;;8 Aug 2003 a;nan
Dominican Republic;23 May 2001;4 May 2007;nan
Ecuador;28 Aug 2001;7 Jun 2004;nan
Egypt;17 May 2002;2 May 2003;nan
El Salvador;30 Jul 2001;27 May 2008;nan
Equatorial Guinea;;24 Dec 2019 a;nan
Eritrea;;10 Mar 2005 a;nan
Estonia;;7 Nov 2008 a;nan
Eswatini;;13 Jan 2006 a;nan
Ethiopia;17 May 2002;9 Jan 2003;nan
European Union;23 May 2001;16 Nov 2004 AA;nan
Fiji;14 Jun 2001;20 Jun 2001;nan
Finland;23 May 2001;3 Sep 2002 A;nan
France;23 May 2001;17 Feb 2004 AA;nan
Gabon;21 May 2002;7 May 2007;nan
Gambia;23 May 2001;28 Apr 2006;nan
Georgia;23 May 2001;4 Oct 2006;nan
Germany;23 May 2001;25 Apr 2002;nan
Ghana;23 May 2001;30 May 2003;nan
Greece;23 May 2001;3 May 2006;nan
