Participant;Signature;Ratification, Accession(a), Acceptance(A), Approval(AA);ATTR_ENDPOINT
Albania;18 Mar 1992;5 Jan 1994;nan
Austria;18 Mar 1992;25 Jul 1996;nan
Azerbaijan;;3 Aug 2000 a;nan
Belarus;;29 May 2003 a;nan
Belgium;18 Mar 1992;8 Nov 2000;nan
Bosnia and Herzegovina;;3 Dec 2009 a;nan
Bulgaria;18 Mar 1992;28 Oct 2003;nan
Cameroon;;1 Nov 2022 a;nan
Chad;;22 Feb 2018 a;nan
Croatia;;8 Jul 1996 a;nan
Czech Republic;;12 Jun 2000 a;nan
Denmark 2;18 Mar 1992;28 May 1997 AA;nan
Estonia;18 Mar 1992;16 Jun 1995;nan
European Union;18 Mar 1992;14 Sep 1995 AA;nan
Finland;18 Mar 1992;21 Feb 1996 A;nan
France 3;18 Mar 1992;30 Jun 1998 AA;nan
Germany;18 Mar 1992;30 Jan 1995;nan
Ghana;;22 Jun 2020 a;nan
Greece;18 Mar 1992;6 Sep 1996;nan
Guinea-Bissau;;14 Jun 2021 a;nan
Hungary;18 Mar 1992;2 Sep 1994 AA;nan
Italy;18 Mar 1992;23 May 1996;nan
Kazakhstan;;11 Jan 2001 a;nan
Latvia;18 Mar 1992;10 Dec 1996;nan
Liechtenstein;;19 Nov 1997 a;nan
Lithuania;18 Mar 1992;28 Apr 2000;nan
Luxembourg;20 May 1992;7 Jun 1994;nan
Montenegro;;23 Jun 2014 a;nan
Netherlands 4;18 Mar 1992;14 Mar 1995 A;nan
North Macedonia;;28 Jul 2015 a;nan
Norway;18 Sep 1992;1 Apr 1993 AA;nan
Poland;18 Mar 1992;15 Mar 2000;nan
Portugal 5;9 Jun 1992;9 Dec 1994;nan
Republic of Moldova;;4 Jan 1994 a;nan
Romania;18 Mar 1992;31 May 1995;nan
Russian Federation;18 Mar 1992;2 Nov 1993 A;nan
Senegal;;31 Aug 2018 a;nan
Serbia;;27 Aug 2010 a;nan
Slovakia;;7 Jul 1999 a;nan
Slovenia;;13 Apr 1999 a;nan
Spain;18 Mar 1992;16 Feb 2000;nan
Sweden;18 Mar 1992;5 Aug 1993;nan
Switzerland;18 Mar 1992;23 May 1995;nan
Togo;;28 Sep 2021 a;nan
Turkmenistan;;29 Aug 2012 a;nan
Ukraine;;8 Oct 1999 a;nan
United Kingdom of Great Britain and Northern Ireland;18 Mar 1992;;nan
Uzbekistan;;4 Sep 2007 a;nan
