COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_COMMENT_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2019;No;;;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;nan
ALB;Albania;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;;;;;;;;;;;;;;AL;ALB;ALB;nan
AND;Andorra;2019;No;;;;;;;;;;;;;;AD;AND;AND;nan
DZA;Algeria;2019;No;;;;;;;;;;;;;;DZ;DZA;DZA;nan
AGO;Angola;2019;No;;;;;;;;;;;;;;AO;AGO;AGO;nan
ATG;Antigua and Barbuda;2019;No;;;;;;;;;;;;;;AG;ATG;ATG;nan
ARG;Argentina;2019;No;;;;;;;;;;;;;;AR;ARG;ARG;nan
ARM;Armenia;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;AM;ARM;ARM;nan
AUS;Australia;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;AU;AUS;AUS;nan
AUT;Austria;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;AT;AUT;AUT;nan
AZE;Azerbaijan;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2019;There is a pollutant release and transfer register, but there is no specific national legal instrument;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BZ;BLZ;BLZ;nan
