id;label;self;iso2;iso3;join_date;leave_date;local_website;latest_validation_date;status.id;status.label;RAW_OBS_VALUE;status.color;status_history;validation_data.2019;validation_data.2020;summary_data.2009;summary_data.2010;summary_data.2011;summary_data.2012;summary_data.2013;summary_data.2014;summary_data.2015;summary_data.2016;summary_data.2017;summary_data.2018;summary_data.2019;validation_data.2018;validation_data.2022;validation_data;summary_data;validation_data.2016;summary_data.2003;summary_data.2004;summary_data.2005;summary_data.2006;summary_data.2007;summary_data.2008;validation_data.2021;summary_data.2001;summary_data.2002;summary_data.2020;validation_data.2017;summary_data.1999;summary_data.2000;TIME_PERIOD;ATTR_ENDPOINT
AF;Afghanistan;https://eiti.org/api/v2.0/implementing_country/AF;AF;AFG;2010-02-10;;https://www.aeiti.af/en;2020-10-28;suspended-political-instability;Suspended due to political instability;https://eiti.org/api/v2.0/country_status/suspended-political-instability;6d5339;[{'id': '2377', 'label': 'Afghanistan status', 'date': '2020-10-28', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2441', 'label': 'Afghanistan joined', 'date': '2010-02-10', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4369', 'label': '2018-2019 EITI Report published', 'date': '2021-05-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}, {'id': '4615', 'label': 'Suspension', 'date': '2022-01-24', 'status.id': 'suspended-political-instability', 'status.label': 'Suspended due to political instability', 'status.self': 'https://eiti.org/api/v2.0/country_status/suspended-political-instability', 'status.color': '6d5339'}];22272;22508;AF2009;AF2010;AF2011;AF2012;AF2013;AF2014;AF2015;AF2016;AF2017;AF2018;AF2019;;;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
AL;Albania;https://eiti.org/api/v2.0/implementing_country/AL;AL;ALB;2009-05-15;;http://www.albeiti.org/;2022-02-16;Moderate;Moderate;https://eiti.org/api/v2.0/country_status/Moderate;89AA2E;[{'id': '2337', 'label': 'Albania status', 'date': '2022-02-16', 'status.id': 'Moderate', 'status.label': 'Moderate', 'status.self': 'https://eiti.org/api/v2.0/country_status/Moderate', 'status.color': '89AA2E'}, {'id': '2401', 'label': 'Albania joined', 'date': '2009-05-15', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4526', 'label': '2017-2018 EITI Report published', 'date': '2020-11-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];22188;;AL2009;AL2010;AL2011;AL2012;AL2013;AL2014;AL2015;AL2016;AL2017;AL2018;;22148;25743;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
AM;Armenia;https://eiti.org/api/v2.0/implementing_country/AM;AM;ARM;2017-09-03;;https://www.eiti.am/en/;2020-07-09;satisfactory-progress;Satisfactory progress;https://eiti.org/api/v2.0/country_status/satisfactory-progress;2B8636;[{'id': '2394', 'label': 'Armenia status', 'date': '2020-07-09', 'status.id': 'satisfactory-progress', 'status.label': 'Satisfactory progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/satisfactory-progress', 'status.color': '2B8636'}, {'id': '2456', 'label': 'Armenia joined', 'date': '2017-09-03', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4299', 'label': 'Online reporting portal launched ', 'date': '2018-01-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;22464;;;;;;;;AM2016;AM2017;AM2018;AM2019;;;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
AO;Angola;https://eiti.org/api/v2.0/implementing_country/AO;AO;AGO;2022-06-16;;;;to-be-assessed;Yet to be assessed;https://eiti.org/api/v2.0/country_status/to-be-assessed;7f7f7f;[{'id': '4627', 'label': 'Angola becomes an EITI member', 'date': '2022-06-16', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4630', 'label': 'Candidature application is submitted', 'date': '2022-03-30', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}, {'id': '4633', 'label': 'Validation status', 'date': '2022-06-16', 'status.id': 'to-be-assessed', 'status.label': 'Yet to be assessed', 'status.self': 'https://eiti.org/api/v2.0/country_status/to-be-assessed', 'status.color': '7f7f7f'}];;;;;;;;;;;;;;;;[];[];;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
AR;Argentina;https://eiti.org/api/v2.0/implementing_country/AR;AR;ARG;2019-02-27;;https://www.argentina.gob.ar/eiti;2022-06-17;Moderate;Moderate;https://eiti.org/api/v2.0/country_status/Moderate;89AA2E;[{'id': '2397', 'label': 'Argentina status', 'date': '2022-06-17', 'status.id': 'Moderate', 'status.label': 'Moderate', 'status.self': 'https://eiti.org/api/v2.0/country_status/Moderate', 'status.color': '89AA2E'}, {'id': '2459', 'label': 'Argentina joined', 'date': '2019-02-27', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3682', 'label': 'First EITI Report published', 'date': '2020-12-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;;;;;;;;;;;AR2018;;;25859;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
AU;Australia ;https://eiti.org/api/v2.0/implementing_country/AU;AU;AUS;;;;;other;Other;https://eiti.org/api/v2.0/country_status/other;808080;[{'id': '2388', 'label': 'Australia  status', 'date': None, 'status.id': 'other', 'status.label': 'Other', 'status.self': 'https://eiti.org/api/v2.0/country_status/other', 'status.color': '808080'}];;;;;;;;;;;;;;;;[];[];;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
AZ;Azerbaijan;https://eiti.org/api/v2.0/implementing_country/AZ;AZ;AZE;2007-09-27;2017-03-10;;2016-10-26;other;Other;https://eiti.org/api/v2.0/country_status/other;808080;[{'id': '2364', 'label': 'Azerbaijan status', 'date': None, 'status.id': 'other', 'status.label': 'Other', 'status.self': 'https://eiti.org/api/v2.0/country_status/other', 'status.color': '808080'}, {'id': '2428', 'label': 'Azerbaijan joined', 'date': '2007-09-27', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '2463', 'label': 'Azerbaijan left', 'date': '2017-03-10', 'status.id': 'left', 'status.label': 'Left', 'status.self': 'https://eiti.org/api/v2.0/country_status/left', 'status.color': None}];;;AZ2009;AZ2010;AZ2011;AZ2012;AZ2013;AZ2014;AZ2015;;;;;;;;;22152;AZ2003;AZ2004;AZ2005;AZ2006;AZ2007;AZ2008;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
BF;Burkina Faso;https://eiti.org/api/v2.0/implementing_country/BF;BF;BFA;2011-10-25;;http://www.itie-bf.gov.bf/;2020-01-23;meaningful-progress;Meaningful progress;https://eiti.org/api/v2.0/country_status/meaningful-progress;89AA2E;[{'id': '2376', 'label': 'Burkina Faso status', 'date': '2020-01-23', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2440', 'label': 'Burkina Faso joined', 'date': '2011-10-25', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4102', 'label': '2010 Report published', 'date': '2012-07-20', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;22411;BF2009;BF2010;BF2011;BF2012;BF2013;BF2014;BF2015;BF2016;BF2017;BF2018;BF2019;22146;;;;;;;;;;BF2008;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
CD;Democratic Republic of the Congo;https://eiti.org/api/v2.0/implementing_country/CD;CD;COD;2007-09-27;;http://www.itierdc.net/;2022-12-13;High;High;https://eiti.org/api/v2.0/country_status/High;2B8636;[{'id': '2340', 'label': 'Democratic Republic of Congo status', 'date': '2019-10-16', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2404', 'label': 'Democratic Republic of Congo joined', 'date': '2007-09-27', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4155', 'label': 'Validation started', 'date': '2022-01-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}, {'id': '4872', 'label': 'Validation', 'date': '2022-10-13', 'status.id': 'High', 'status.label': 'High', 'status.self': 'https://eiti.org/api/v2.0/country_status/High', 'status.color': '2B8636'}];22291;;CD2009;CD2010;CD2011;CD2012;CD2013;CD2014;CD2015;CD2016;CD2017;;;;26081;;;;;;;;CD2007;CD2008;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
CF;Central African Republic;https://eiti.org/api/v2.0/implementing_country/CF;CF;CAF;2008-11-21;;http://www.itie-rca.org/;;to-be-assessed;Yet to be assessed;https://eiti.org/api/v2.0/country_status/to-be-assessed;7f7f7f;[{'id': '2358', 'label': 'Central African Republic status', 'date': '2021-10-19', 'status.id': 'to-be-assessed', 'status.label': 'Yet to be assessed', 'status.self': 'https://eiti.org/api/v2.0/country_status/to-be-assessed', 'status.color': '7f7f7f'}, {'id': '2422', 'label': 'Central African Republic joined', 'date': '2008-11-21', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4167', 'label': 'Suspension is lifted', 'date': '2021-10-19', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;;CF2009;CF2010;;;;;;;;;;;;[];;;;;;CF2006;CF2007;CF2008;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
