goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;dimensions.Reporting Type;ATTR_ENDPOINT
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;4;Afghanistan;2015.0;8;Float;;;;;;Ministry of Agriculture, Irrigation and Livestock;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;2;Africa;2015.0;18;Float;;;;;;United Nations Convention to Combat Desertification (UNCCD);;['Regional data are based on the country-level data submitted in UNCCD 2018 national reports from 123 countries and estimates prepared by UNCCD based on global data sources.'];NA;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;248;Åland Islands;2015.0;NaN;String;;;;;;United Nations Convention to Combat Desertification (UNCCD);;[''];NA;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;8;Albania;2015.0;8;Float;;;;;;Ministry of Environment;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;12;Algeria;2015.0;1;Float;;;;;;Direction Générale des Forêts;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;16;American Samoa;2015.0;NaN;String;;;;;;United Nations Convention to Combat Desertification (UNCCD);;[''];NA;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;19;Americas;2015.0;27;Float;;;;;;United Nations Convention to Combat Desertification (UNCCD);;['Regional data are based on the country-level data submitted in UNCCD 2018 national reports from 123 countries and estimates prepared by UNCCD based on global data sources.'];NA;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;20;Andorra;2015.0;NaN;String;;;;;;UNCCD;;[''];E;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;24;Angola;2015.0;20;Float;;;;;;Ministry of Environment;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;660;Anguilla;2015.0;NaN;String;;;;;;United Nations Convention to Combat Desertification (UNCCD);;[''];NA;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;28;Antigua and Barbuda;2015.0;NaN;String;;;;;;United Nations Convention to Combat Desertification (UNCCD);;[''];NA;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
