goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;attributes.Observation Status;dimensions.Sex;dimensions.Reporting Type;dimensions.Activity;ATTR_ENDPOINT
['8'];['8.3'];['8.3.1'];SL_ISV_IFEM;Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%);4877;8;Albania;2012.0;66.6;Float;;;;;;LFS - Labour Force Survey;;['Repository: ILO-STATISTICS - Micro data processing'];C;PERCENT;A;BOTHSEX;G;TOTAL;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_ISV_IFEM&pageSize=999999999
['8'];['8.3'];['8.3.1'];SL_ISV_IFEM;Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%);4877;8;Albania;2012.0;98.9;Float;;;;;;LFS - Labour Force Survey;;['Repository: ILO-STATISTICS - Micro data processing'];C;PERCENT;A;FEMALE;G;ISIC4_A;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_ISV_IFEM&pageSize=999999999
['8'];['8.3'];['8.3.1'];SL_ISV_IFEM;Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%);4877;8;Albania;2012.0;96.2;Float;;;;;;LFS - Labour Force Survey;;['Repository: ILO-STATISTICS - Micro data processing'];C;PERCENT;A;MALE;G;ISIC4_A;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_ISV_IFEM&pageSize=999999999
['8'];['8.3'];['8.3.1'];SL_ISV_IFEM;Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%);4877;8;Albania;2012.0;97.6;Float;;;;;;LFS - Labour Force Survey;;['Repository: ILO-STATISTICS - Micro data processing'];C;PERCENT;A;BOTHSEX;G;ISIC4_A;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_ISV_IFEM&pageSize=999999999
['8'];['8.3'];['8.3.1'];SL_ISV_IFEM;Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%);4877;8;Albania;2012.0;40.2;Float;;;;;;LFS - Labour Force Survey;;['Repository: ILO-STATISTICS - Micro data processing'];C;PERCENT;A;BOTHSEX;G;NONAGR;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_ISV_IFEM&pageSize=999999999
['8'];['8.3'];['8.3.1'];SL_ISV_IFEM;Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%);4877;8;Albania;2012.0;63.4;Float;;;;;;LFS - Labour Force Survey;;['Repository: ILO-STATISTICS - Micro data processing'];C;PERCENT;A;MALE;G;TOTAL;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_ISV_IFEM&pageSize=999999999
['8'];['8.3'];['8.3.1'];SL_ISV_IFEM;Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%);4877;8;Albania;2012.0;70.6;Float;;;;;;LFS - Labour Force Survey;;['Repository: ILO-STATISTICS - Micro data processing'];C;PERCENT;A;FEMALE;G;TOTAL;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_ISV_IFEM&pageSize=999999999
['8'];['8.3'];['8.3.1'];SL_ISV_IFEM;Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%);4877;8;Albania;2012.0;33.5;Float;;;;;;LFS - Labour Force Survey;;['Repository: ILO-STATISTICS - Micro data processing'];C;PERCENT;A;FEMALE;G;NONAGR;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_ISV_IFEM&pageSize=999999999
['8'];['8.3'];['8.3.1'];SL_ISV_IFEM;Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%);4877;8;Albania;2012.0;43.8;Float;;;;;;LFS - Labour Force Survey;;['Repository: ILO-STATISTICS - Micro data processing'];C;PERCENT;A;MALE;G;NONAGR;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_ISV_IFEM&pageSize=999999999
['8'];['8.3'];['8.3.1'];SL_ISV_IFEM;Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%);4877;8;Albania;2013.0;24.1;Float;;;;;;LFS - Labour Force Survey;;['Repository: ILO-STATISTICS - Micro data processing'];C;PERCENT;A;FEMALE;G;NONAGR;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_ISV_IFEM&pageSize=999999999
