Country;ATTR_RATIFICATION_DATE;TIME_PERIOD;ATTR_ENDPOINT
Afghanistan;10.11.2009;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Albania;16.07.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Algeria;16.08.1989;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Andorra;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Angola;20.09.1984;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Antigua and Barbuda;06.10.1986;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Argentina;26.11.1986;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Armenia;07.06.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Australia;21.06.1991;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Austria;13.08.1982;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Azerbaijan;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Bahamas;10.04.1980;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Bahrain;30.10.1986;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Bangladesh;08.09.1980;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Barbados;19.02.1990;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Belarus;23.10.1989;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Belgium;20.05.1986;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Belize;29.06.1984;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Benin;28.05.1986;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Bhutan;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Bolivia;08.12.1983;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Bosnia and Herzegovina;31.12.1992;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Botswana;23.05.1979;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Brazil;05.05.1992;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Brunei Darussalam;14.10.1991;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Bulgaria;26.09.1989;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Burkina Faso;20.10.1987;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Burundi;10.06.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Cabo Verde;16.03.1995;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Cambodia;14.01.1998;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Cameroon;16.03.1984;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Canada;20.11.1990;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Central African Republic;17.07.1984;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Chad;17.01.1997;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Chile;24.04.1991;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
China;14.09.1983;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Colombia;01.09.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Comoros;21.11.1985;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Congo;10.11.1983;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Cook Islands;07.05.2002;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Costa Rica;15.12.1983;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Côte d'Ivoire;20.09.1989;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Croatia;11.05.1992;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Cuba;25.11.1982;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Cyprus;01.06.1979;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Czech Republic;05.02.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Democratic People's Republic of Korea;09.03.1988;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Democratic Republic of the Congo;03.06.1982;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Denmark;17.06.1982;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Djibouti;08.04.1991;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Dominica;25.04.1996;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Dominican Republic;26.05.1994;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Ecuador;10.04.1979;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Egypt;09.10.1992;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
El Salvador;23.11.1978;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Equatorial Guinea;24.07.1986;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Eritrea;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Estonia;18.01.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Eswatini;02.11.1995;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Ethiopia;08.04.1994;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Fiji;30.07.2008;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Finland;07.08.1980;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
France;11.04.2001;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Gabon;08.04.1980;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Gambia;12.01.1989;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Georgia;14.09.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Germany;14.02.1991;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Ghana;28.02.1978;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Greece;31.03.1989;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Grenada;23.09.1998;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Guatemala;19.10.1987;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Guinea;11.07.1984;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Guinea-Bissau;21.10.1986;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Guyana;18.01.1988;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Haiti;20.12.2006;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Holy See;21.11.1985;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Honduras;16.02.1995;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Hungary;12.04.1989;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Iceland;10.04.1987;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
India;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Indonesia;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Iraq;01.04.2010;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Ireland;19.05.1999;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Islamic Republic of Iran;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Israel;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Italy;27.02.1986;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Jamaica;29.07.1986;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Japan;31.08.2004;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Jordan;01.05.1979;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Kazakhstan;05.05.1992;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Kenya;23.02.1999;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Kiribati;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Kuwait;17.01.1985;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Kyrgyzstan;18.09.1992;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Lao People's Democratic Republic;18.11.1980;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Latvia;24.12.1991;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Lebanon;23.07.1997;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Lesotho;20.05.1994;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Liberia;30.06.1988;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Libya;07.06.1978;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Liechtenstein;10.08.1989;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Lithuania;13.07.2000;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Luxembourg;29.08.1989;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
