ISO3;Year;population;Conflict Internal Displacements (Raw);RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_ENDPOINT
AB9;2014;;;;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AB9;2015;;;;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AB9;2016;;;;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AB9;2017;;;;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AB9;2018;;150;;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AB9;2019;;;;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AB9;2020;;4742;;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AB9;2021;;600;;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
ABW;2021;;;;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AFG;2013;31541.2085;124000;393.13648999847294;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AFG;2014;32716.21;156193;477.41776935653616;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AFG;2015;33753.499;335409;993.7014233694704;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AFG;2016;34636.2075;652594;1884.1381522500697;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AFG;2017;35643.4175;473892;1329.535811205533;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AFG;2018;36686.784;371779;1013.3867280380858;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AFG;2019;37769.4985;460692;1219.7461398646847;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AFG;2020;38972.2305;404139;1036.992224502008;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AFG;2021;40099.462;723082;1803.2212003243335;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AGO;2013;26147.002;;;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AGO;2015;28127.721;;;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AGO;2016;29154.7455;;;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AGO;2017;30208.628;;;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
AGO;2018;31273.533;;;Number of new internally displaced persons (conflict and violence) per 100.000 people for a given year. Calculated as 'Number of new IDPs (Conflict and violence)' in a given year taken from https://www.internal-displacement.org/database/displacement-data multiplied by 100 and divided by 'Total Population (given in 1.000)' ;https://api.idmcdb.org/api/displacement_data/xlsx?year=2013&year=2023&range=true&ci=IDMCWSHSOLO009
