Participant;Signature;Definitive signature(s), Ratification, Acceptance(A), Approval(AA), Accession(a);ATTR_ENDPOINT
Albania;;3 Sep 2014 a;nan
Argentina;11 May 1999;5 Jul 2007;nan
Armenia;;25 Mar 2008 a;nan
Barbados;;25 Jul 2003 a;nan
Belgium;;2 Jul 2010 a;nan
Benin;18 Jun 1998;;nan
Brazil;12 Mar 1999;;nan
Bulgaria;22 Sep 1999;20 Jun 2000;nan
Burundi;18 Jun 1998;23 Jan 2013;nan
Cabo Verde;;22 Mar 2018 a;nan
Canada;15 Jun 1999;18 May 2001;nan
Chad;20 Oct 1999;;nan
Chile;18 Jun 1998;;nan
Colombia;;12 Jun 2008 a;nan
Congo;18 Jun 1998;;nan
Costa Rica;20 Jun 2003;;nan
Cyprus;18 Jun 1998;14 Jul 2000;nan
Czech Republic;4 Sep 2002;17 Jun 2003;nan
Denmark 1;18 Jun 1998;2 Jun 2003;nan
Dominica;;26 Dec 2000 a;nan
El Salvador;9 Aug 2000;18 Apr 2002;nan
Estonia;25 May 1999;;nan
Finland;18 Jun 1998;1 Apr 1999 A;nan
France;;6 Aug 2009 a;nan
Gabon;27 Apr 2001;;nan
Germany;18 Jun 1998;;nan
Ghana;18 Jun 1998;;nan
Guinea;;8 Oct 2002 a;nan
Haiti;11 Feb 1999;;nan
Honduras;25 Feb 1999;;nan
Hungary;20 Jun 2003;7 Apr 2004;nan
Iceland;20 Jun 2003;13 May 2011;nan
India;29 Nov 1999;29 Nov 1999;nan
Ireland;;16 Aug 2007 a;nan
Italy;18 Jun 1998;;nan
Kenya;18 Jun 1998;12 Feb 2003;nan
Kuwait;18 Jun 1998;13 Jun 2002;nan
Lebanon;17 Nov 1998;27 Jan 2006;nan
Liberia;;16 Sep 2005 a;nan
Liechtenstein;;8 Jun 2004 a;nan
Lithuania;;9 Dec 2004 a;nan
Luxembourg;;8 Jun 2012 a;nan
Madagascar;12 Sep 2002;;nan
Mali;18 Jun 1998;;nan
Malta;18 Jun 1998;;nan
Marshall Islands;11 Nov 1998;;nan
Mauritania;18 Jun 1998;;nan
Mongolia;18 Jun 1998;;nan
Montenegro;;21 Jul 2010 a;nan
Morocco;1 Dec 1998;11 Mar 2003;nan
Nepal;23 Apr 1999;;nan
Netherlands 2;19 Dec 2000;6 Jul 2001 A;nan
Nicaragua;18 Jun 1998;18 Nov 1999;nan
Niger;18 Jun 1998;;nan
North Macedonia;3 Dec 1998;;nan
Oman;19 Aug 1999;16 Apr 2003;nan
Pakistan;;30 Jan 2009 a;nan
Panama;20 Sep 2001;5 Mar 2003;nan
Peru;14 Jan 1999;27 Oct 2003;nan
Poland;18 Jun 1998;;nan
Portugal;18 Jun 1998;;nan
Romania;18 Jun 1998;17 Nov 2005;nan
Russian Federation;14 Mar 2002;;nan
Senegal;20 Nov 1998;;nan
Slovakia;16 Feb 2000;6 Feb 2001;nan
Spain;;27 Feb 2006 a;nan
Sri Lanka;5 Aug 1999;13 Oct 1999;nan
St. Lucia;31 Jan 2000;;nan
St. Vincent and the Grenadines;;14 Aug 2003 a;nan
Sudan;4 Dec 1998;;nan
Sweden;10 Jun 2003;13 Sep 2004;nan
Switzerland;18 Jun 1998;24 Apr 2002;nan
Tajikistan;18 Jun 1998;;nan
Tonga;;8 May 2003 a;nan
Uganda;28 Oct 1998;5 Sep 2002;nan
United Kingdom of Great Britain and Northern Ireland;;18 Jun 2003 s;nan
United States of America;17 Nov 1998;;nan
Uruguay;13 May 2003;19 Apr 2012;nan
Uzbekistan;6 Oct 1998;;nan
Venezuela (Bolivarian Republic of);3 Apr 2003;13 May 2005;nan
